珍珠母,磁石,酒曲,半夏,赭石,酒曲,牛膝
枣仁,小麦,甘草
朱砂,天竺黄,琥珀,钩藤,丹参,珍珠,天南星
辰砂,丹参,山栀仁,郁金,黄芩,黄连
琥珀,丹参,天麻,天南星,僵蚕,麝香,龙脑
枣仁,远志,贝母,半夏,陈皮,瓜蒌,茯苓
茯神,干姜,柏子仁,陈皮,炙草,人参,益智
茯神,枣仁,金箔,远志,辰砂,珍珠,麦门冬
茯神,枣仁,琥珀,辰砂,乳香,人参
茯神,朱砂,枣仁,远志,琥珀,菖蒲,柏子仁
枣仁,辰砂,人参
安神膏,菖蒲,丹参,五味子
珍珠母,夜交藤,菖蒲,合欢皮,丹参,地黄,五味子
远志,莲须,芡实,石莲肉,麦冬,人参,甘草
茯神,枣仁,远志,琥珀,白芍,乳香,三七
茯神,朱砂,远志,麦门冬,天麻,白附子,人参
茯神,枣仁,远志,菖蒲,黄耆,炙草,酒地
茯神,枣仁,远志,芡实,牡蛎,莲须,龙骨
茯神,远志,菖蒲,麦冬,杏仁,半夏,陈皮
龙齿,菖蒲
朱砂,地黄,当归,甘草,黄连
枣仁,天竺黄,琥珀,丹参,珍珠,地黄,天南星
合欢花,夜交藤,合欢皮,丹参,桑椹子,地黄,女贞子
朱砂,金箔,琥珀,地黄,天麻,僵蚕,山药
茯神,菖蒲,龙胆草,全蝎,当归,黄连
茯神,朱砂,枣仁,白术,白参,寸冬,生地
茯神,朱砂,珍珠母,枣仁,夜交藤,琥珀,合欢花
朱砂,麦冬,知母,天冬,黄连
茯神,远志,铁粉,辰砂,菖蒲,麦门冬,天麻
茯神,远志,铁粉,辰砂,菖蒲,麦门冬,天麻
茯神,朱砂,枣仁,麝香,代赭石,乳香
辰砂,天南星,白矾,半夏
辰砂,天南星,白矾,半夏
远志,菖蒲,黑附子,牛膝,桂心,人参,茯苓
枣仁,桂枝,牡蛎,龙骨,半夏,人参,柴胡
大龟
茯神,远志,枸杞,沉香,牛膝,白芍,白术
枣仁,夜交藤,淮小麦,百合,莲肉,甘草
朱砂,天麻,僵蚕,赤金,黄土,全蝎,当归
朱砂,天竺黄,钩藤,丹参,天南星,僵蚕,滑石
粳米,白糖,鲜百合,杏仁
大米,芡实,山药,糯米,莲肉
朱砂,枣仁,麦门冬,人参,生龙脑,茯苓,甘草
枣仁,远志,柏子仁,五味子,半夏,黄耆,人参
朱砂,枣仁,远志,柏子仁,五味子,半夏,党参
茯神,菖蒲,麦门冬,枸杞,柏子仁,熟地,元参
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,牡蛎,麻黄根,柏子仁,白术,五味子,半夏
柏子仁,鹿角霜,鹿角胶,地黄,菟丝子
铅,水银
朱砂,白矾,半夏,黄丹
