半夏,白芥子,薏仁,人参,肉桂,诃黎勒,茯苓
黄芪,水牛角浓缩粉,党参,薄荷,丹参,郁金,白芍
天南星,银箔,金箔,朱砂,川甜消,丹参,生犀末
天竺黄,天南星,生龙脑,金箔,丹参,白矾,腻粉
银箔,朱砂,金箔,龙脑,牙消,丹参,蛤粉
天竺黄,天南星,朱砂,僵蚕,全蝎,丹参,琥珀
天竺黄,朱砂,龙脑,真珠,丹参,黄芩,升麻
百部,桔梗,陈皮,麦冬,元参,甘草,花粉
贝母,半夏,远志,陈皮,黄芩,茯苓,瓜蒌
半夏,天南星,金箔,远志,僵蚕,陈皮,辰砂
半夏,紫菀,葶苈,杏仁,桔梗,陈皮,五味子
半夏,缩砂仁,杏仁,桔梗,陈皮,五味子,紫苏
半夏,杏仁,桔梗,陈皮,前胡,紫苏,千葛
紫菀,款冬花,桔梗,五味子,麦冬,牛膝,天冬
远志,辰砂,丹参,菖蒲,麦门冬,茯神,人参
半夏,杏仁,桔梗,远志,陈皮,麦冬,菖蒲
银箔,朱砂,金箔,远志,琥珀,全蝎,真珠末
天南星,黑附子,白附子,茯苓,白术
贝母,枇杷叶,薄荷,小木通,金银花,葛根,桑叶
贝母,半夏,桔梗,陈皮,枳实,芍药,神曲
粳米,陈茶叶
半夏,全蝎,丁香,术香,砂仁,槟榔,肉豆蔻
半夏,天南星,山芋,远志,辰砂,天麻,麦门冬
天南星,二,天麻,辰砂,白附子,麝香,白芷
天南星,天麻,白附子,辰砂,麝香,白芷,川芎
半夏,天南星,辰砂,白矾
半夏,天南星,陈皮,皂角,神曲,白矾,白芷
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,茯苓,生姜,甘草
粳米,茶叶,白糖
半夏,陈皮,神曲,茱萸,茯苓,砂仁,苍术
半夏,陈皮,茱萸,茯苓,苍术,黄连
山芋,陈皮,五味子,麦门冬,肉苁蓉,沉香,百合
半夏,陈皮,柴胡,生姜,甘草
贝母,半夏,桔梗,芍药,柴胡,黄芩,夏枯草
半夏,薄荷,柴胡,黄芩,红花,苏叶,赤芍
贝母,蜂蜜,葶苈,桑白皮,麻黄
贝母,杏仁,桔梗,枇杷叶,白糖,尼泊金,薄荷5厘
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
半夏,白蔻,牛膝,薏仁,钩藤,赤芍,菊花
桔梗,龙脑,三十,两细辛,薄荷,二十,七十五
1,12千克,150克,薄荷,780克,09千克,3
苏合香,白檀香,香附,熏陆香,吃力伽,诃梨勒皮,脑香
贝母,青礞石,硼砂,沉香,猪脱氧胆酸,人工竺黄,麝香
贝母,冰糖,粳米
贝母,粳米,砂糖
贝母,桔梗,陈皮,茯苓,瓜蒌,花粉
贝母,紫菀,百部,杏仁,五味子,甘草
贝母,款冬花,杏仁,五味子,甘草,知母
贝母,杏仁,石膏,柴胡,百合,人参,茯苓
贝母,紫菀,杏仁,桔梗,甘草
紫菀,五味子,黄耆,人参,地黄,桑白皮
半夏,胆南星,远志,黄芪,菖蒲,茯神,当归
半夏,紫菀,杏仁,桔梗,黄芪,百合,茯苓
缩砂仁,盐,栝楼,薄荷,白檀,白芷,荆芥
缩砂仁,桔梗,四,薄荷,三,川芎,甘草
缩砂仁,桔梗,薄荷,川芎,甘草,防风
缩砂仁,桔梗,薄荷,川芎,甘草,防风
鸡苏叶,缩砂仁,盐,瓜蒌根十,荆芥,甘草
鸡苏叶,缩砂仁,盐,瓜蒌根,甘草,荆芥
鸡苏叶,缩砂仁,盐,瓜蒌根,甘草,荆芥
百部,杏仁,麻黄
朱砂,梅片,熊胆,麝香5厘,象牙末,丹参5厘,珍珠
紫菀,杏仁,葶苈,清夏,五味子,制覆花,五爪红
贝母,真麝香,上肉桂,辰砂,巴豆,柴胡,血竭
贝母,桔梗,麦冬,元参,白芍,当归,百合
贝母,桔梗,麦冬,白芍,当归,百合,地黄
牵牛,龙脑,甘遂末,雷丸末,粉霜,轻粉
贝母,麦冬,板蓝根,石膏,黄芩,银花,蝉蜕
生龙脑,朱砂,麦门冬,人参,茯苓,甘草,枣仁
贝母,白矾,地黄,知母,诃黎勒皮,玄参
半夏,干姜,人参,白术,甘草
天南星,全蝎,地龙干,白僵蚕,五灵脂
天南星,远志,辰砂,天麻,菖蒲,麝1字,人参
天竺黄,天南星,檀香,金箔,枳实,辰砂,琥珀
天竺黄,胆南星,僵蚕,全蝎,辰砂,丹参,琥珀
天竺黄,郁金,白矾,雄黄
半夏,杏仁,枳实,茶叶,石膏,瓜蒌霜,生姜
贝母,天南星,杏仁,桔梗,陈皮,丹参,山楂
天南星,半复,黄芩
半夏,黑附子,生姜
半夏,广皮,茯苓,苍术,甘草,厚朴
贝母,半夏,桔梗,瓜萎仁,枳亮,知母
半夏,杏仁
半夏,桔梗,陈皮,旋复花,芍药,芎藭,人参
半夏,神曲,柴胡,升麻,茯苓,苍术,生姜
半夏,陈皮,天麻,神曲,大麦蘖面,泽泻,黄耆
半夏,天麻,白术
半夏,陈皮,天麻,茯苓,白术,蔓荆子,生姜
半夏,陈皮,炒曲,大麦糵面,茯芩,天麻,泽泻
半夏,秫米
半夏,麦芽,陈皮,香附,神曲,茯苓,苍术
半夏,紫苏,茯苓,诃黎勒皮,枳壳,厚朴
半夏,昆布,杏仁,桔梗,射干,茯苓,槟榔
半夏,干苏叶,茯苓,生姜,厚朴
贝母,半夏,天南星,白附子,白矾,人参,茯苓
半夏,防风
半夏,朱砂,白矾,黄丹
半夏,白矾
半夏,瓜蒌子
半夏,茯苓,枳壳,朴消
半夏,陈皮,郁李仁,槟榔,木香
半夏,沉香,破故纸,猪苓
半夏,天南星,香附,石膏,栀子
陈皮,八角金盘,琥珀,冬葵子,芦根,赤小豆,益母草
檀香,白葡萄干,拳参,丁香,石膏,红花,北沙参
檀香,白葡萄干,拳参,丁香,石膏,红花,北沙参
硼砂,片脑,紫苏,白檀香,薄荷,桂花,霍香叶
贝母,柴胡,金银花,当归,黄柏,大黄,栀子
天南星,朱砂,神曲,巴豆
胆南星,朱砂,全蝎,丹参,巴豆,神曲,大黄
荸荠,雪梨,白萝卜,生藕,麦冬,白茅根,生地
胆南星,薄荷,淡全蝎,天麻,芥穗,人参,独活
半夏,胆南星,党参,全蝎,橘络,天麻,钩藤
贝母,天竺黄,天南星,桔梗,远志,僵蚕,陈皮
贝母,半夏,胆南星,焦三仙,僵蚕,陈皮,天麻
贝母,胆南星,朱砂,梅片,僵蚕,陈皮,薄荷
天南星,僵蚕,全蝎,辰砂,天麻,白附子,琥珀
半夏,天南星,皂角,白矾,生姜
贝母,五味子,麦门冬,莲肉,琥珀,白芍,枸杞
半夏,杏仁,豆
半夏,干蝎,甘菊,独活,川芎,防风
半夏,陈皮,黑牵牛,京三棱,青皮,槟榔,木香
半夏,天南星,黑牵牛,白矾,猪牙皂角
天南星,木香
半夏,天南星,干姜
贝母,紫菀,百部,杏仁,瓜蒌仁,桔梗,马兜铃
半夏,干姜,胡椒,蝎尾
半夏,桔梗,僵蚕,活蝎子,黄连,蝉蜕,羌活
款冬花,杏仁,远志,苏子,五味子,代赭石,胡桃肉
贝母,杏仁,葶苈,僵蚕,陈皮,枇杷叶,苏子
半夏,款冬花,杏仁,苏子,黄芩,桑白皮,白果
半夏,款冬花,杏仁,苏子,黄芩,桑白皮,白果
杏仁,陈皮,五味子,石膏,砂仁,麻黄,甘草
桔梗,陈皮,五味子,石膏,麻黄,木香
贝母,半夏,莱菔,白芥子,杏仁,陈皮,苏子
天竺黄,银箔,生犀角,金箔,远志,龙脑,真珠末
玄明粉,薄荷,朱砂面,竹沥膏,姜汁,煅金礞石,生硼砂
半夏,麦芽,陈皮,川丁皮,广荗,荜澄茄,茯苓
半夏,款冬花,枳实,五味子,人参,苦梗,茯苓
半夏,天南星,薄荷,寒水石,藿香,白蛤粉,白矾
半夏,天南星,薄荷,寒水石,藿香,白矾,人参
半夏,杏仁,巴豆,马兜铃
贝母,杏仁,陈皮,旋复花,麦冬,石斛,赭石
天南星,龙脑,真珠末,天麻,白附子,丹参,犀角
天竺黄,龙脑,天麻,丹参,人参,铅白霜,茯苓
贝母,陈皮,五味子,麦门冬,菖蒲,丹参,当归
半夏,白檀香,丁香,姜黄,人参,白术,生姜
半夏,紫团参,鳖甲,甘草,阿胶
贝母,半夏,青礞石,杏仁,葶苈,陈皮,枇杷叶
半夏,广皮,茯苓,甘草,羌活,防风
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,陈皮,胆草,茯苓
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,广皮,茯苓,苍术,甘草,厚朴
半夏,陈皮,苏梗,茯苓,甘草,厚朴
半夏,陈皮,枳实,香附,当归,茯苓,川芎
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,麦门冬,百合,罂粟壳
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,麦门冬,知母,天门冬
半夏,天南星,桔梗,僵蚕,陈皮,菖蒲,川朴
天竺黄,百部,竹茹,陈皮,瓜蒌仁,麦冬,天冬
贝母,麦冬,知母,天门冬
贝母,淡天冬,提麦冬,北沙参,南沙参,知母
竹茹,远志,菖蒲,牡蛎,白芍,泽泻,茯苓
半夏,天南星,白僵蚕,飞过枯矾
半夏,陈皮,黑附子,白姜,草果子,甘草,厚朴
贝母,桔梗,陈皮,元参,黄芩,前胡,赤芍
贝母,桔梗,陈皮,芍药,黄芩,前胡,白芷
半夏,天麻,人参,茯苓,独活,白芷,芎
贝母,半夏,玉竹,麦冬,广皮,天冬,石斛
半夏,陈皮,茯苓,甘草
山芋,远志,陈皮,桔梗,五味子,麦门冬,芍药
贝母,杏仁,葶苈,桔梗,陈皮,代赭石,旋覆花
鱼腥草,陈皮,白花蛇舌草,党参,黄芪,铁树叶,薏仁
贝母,贝母,半夏,半夏,白芥子,杏仁,苏子
贝母,竹茹,蒌仁,麦冬,郁金,石膏,白芍
半夏,黑牵牛子,粉霜,白矾
硼砂,陈皮,薄荷,五味子,乌梅,甘草
贝母,半夏,桔梗,陈皮,玄明粉,香附,神曲
贝母,半夏,桔梗,陈皮,玄明粉,香附,神曲
半夏
半夏,檀香,百药煎,陈皮,五味子,薄荷,乌梅肉
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,皂角,陈皮,香附,神曲
半夏,天南星,莱菔,陈皮,瓜蒌仁,枳实,香附
竹茹,陈皮,郁金,缩砂,菖蒲,苍术,厚朴
杏仁,百药煎,黑矾,乌梅,甘草
半夏,丁香,白矾,草豆蔻
半夏,陈皮,枳实,五味子,薄荷,丁香,沉香
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,开金锁,生干蟾
蜈蚣,桔梗,僵蚕,知柏,钩藤,全蝎,丹参
贝母,半夏,桔梗,远志,陈皮,五味子,麻黄浸膏
四季青,平地木,干日红,鼠曲草
半夏,竹茹,陈皮,枳实,麦门冬,石膏,人参
天竺黄,枳实,生川军,生石决明,钩藤,牡蛎,黄芩
贝母,桔梗,陈皮,枳实,片芩,当归,砂仁
杏仁,瓜蒌仁,黄连
半夏,杏仁,牡蛎,桂枝,白芍,黄连,瓜蒌皮
半夏,远志,五味子,桂枝,合桃肉,熟附块,云苓
杏仁,山芋,栝楼,甘草
半夏,昆布,海藻,陈皮,牡蛎,夏枯草,莪术
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,香附,白芍,人参
半夏,陈皮,当归,白芍,人参,茯苓,白术
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,党参,陈皮,紫河车,黄耆,茯苓,白术
半夏,天南星,百药煎,五味子,明矾,乌梅肉,池矾
半夏,天南星,香墨,白附子,芎,杜仲,续断
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,黄芩,黄芩,泽泻,白矾
贝母,桔梗,诃子,薄荷,薄荷,胖大海,蝉蜕
贝母,天竺黄,半夏,胆南星,白芥子,葶苈,桔梗
半夏,海粉,杏仁,诃子,香附,栝楼,青黛
款冬花,蛤蚧,成炼钟乳,肉桂,白矾,甘草
贝母,半夏,莱菔,白芥子,杏仁,党参,蛤蚧
半夏,陈皮,藿香,人参,茯苓,苍术,甘草
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,丁香,藿香,茯苓,生姜
半夏,竹茹,碧玉散,陈广皮,青蒿脑4,青子芩4,茯苓
桔梗,僵蚕,天麻,全蝎,麻黄,川芎,白芷
半夏,朱砂,白矾,雄黄
天南星,海藻,海带,琥珀,血竭,麝香,京墨
胆南星,朱砂,薄荷,琥珀,制军,苏珠,犀角
贝母,半夏,石膏,天冬,百合,血琥珀,京知母
天竺黄,天南星,檀香,朱砂,枳实,琥珀,红参
天竺黄,天南星,檀香,金箔,枳实,粉草,水飞朱砂
天竺黄,天南星,朱砂,僵蚕,全蝎,丹参,琥珀
天竺黄,天南星,檀香,蜂蜜,金箔,朱砂,枳实
贝母,天竺黄,胆南星,僵蚕,全蝎,琥珀,飞腰黄
天竺黄,胆南星,辰砂,沉香,琥珀,月石,腰黄
天竺黄,天南星,真麝香,僵蚕,辰砂,钩藤,琥珀
贝母,天竺黄,胆南星,朱砂,桔梗,僵蚕,全蝎
天南星,远志,菖蒲,大辰砂,人乳,茯神,人参
贝母,天竺黄,青礞石,月石,伽楠香,麝香,羚羊角
贝母,青礞石,沉香,月石,麝香,天竹黄,羚羊角
金箔,远志,桔梗,辰砂,麝香3厘,香附,丹参
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,海藻,昆布,海带,陈皮,当归
海藻,昆布,柴胡,小麦,龙胆草
海石,香附
海石,香附,蚶壳,石礞,红花,莪术,桃仁
透骨草,烧酒,老葱胡,马前子,红花,三七,川羌
半夏,昆布,陈皮,白芍,当归,红花,人参
半夏,陈皮,当归,白芍,茯苓,地黄,川芎
贝母,桔梗,麦冬,黄芩,枸杞,白芍,当归
天竺黄,朱砂,梅片,白蔻,僵蚕,油松节,苓块
半夏,枳实,麦门冬,芍药,桂心,防己,旋覆花
杏仁,葶苈,蛤蚧,商陆,防己,茯苓,桑白皮
白芥子,陈皮,上肉桂,全丝瓜,白僵蚕,干姜,莪术
天竺黄,天南星,桔梗,僵蚕,陈皮,薄荷,天麻
半夏,丁香,生姜,甘草,厚朴,枣仁
杏仁,陈皮,紫苏,茯苓,桑白皮,甘草,麻黄
天南星,全蝎,粉草,天麻,人参,独活,川芎
天南星,全蝎,粉草,天麻,人参,独活,川芎
半夏,天南星,皂角,白附子,寒水石,白矾,干生姜
天南星,陈皮,陈皮,蒌仁,清夏,沉香,元芩
贝母,半夏,海藻,昆布,海带,枳实,牡蛎
半夏,桔梗,干姜,茯苓
半夏,天南星,杏仁,皂角,陈皮,麦蘖,香附
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
半夏,天南星,巴豆,干姜,枯矾,滑石
半夏,天南星,杏仁,陈皮,瓜蒌仁,香附,紫苏
半夏,葶苈,杏仁,桔梗,陈皮,五味子,旋覆花
半夏,葶苈,硼砂,桔梗,陈皮,麦蘖,沉香
半夏,天南星,陈皮,辰砂,皂,人参,腻粉
半夏,紫菀,葶苈,杏仁,桔梗,陈皮,五味子
贝母,紫菀,款冬花,杏仁,葶苈,桔梗,陈皮
半夏,款冬花,葶苈,杏仁,桔梗,陈皮,五味子
檀香,硼砂,柿霜,白冰糖,薄荷,白葛粉,乌梅肉
半夏,紫菀,杏仁,葶苈,桔梗,远志,瓜蒌仁
天南星,真麝香,直僵蚕,代赭石,梅冰片,净全蝎,节白附
半夏,陈皮,黑牵牛,京三棱,青皮,槟榔,木香
天南星,朱砂,蜈蚣,蝉壳,僵蚕,全蝎,蛇黄
