半夏,白芥子,诃黎勒,薏仁,人参,肉桂,芡实
水牛角浓缩粉,黄芪,党参,丹参,郁金,薄荷,黄芩
天南星,银箔,朱砂,金箔,川甜消,丹参,人参
天竺黄,天南星,生龙脑,金箔,丹参,白矾,腻粉
银箔,朱砂,金箔,牙消,龙脑,丹参,人参
天竺黄,天南星,朱砂,僵蚕,丹参,琥珀,全蝎
天竺黄,朱砂,真珠,龙脑,丹参,黄芩,升麻
百部,陈皮,桔梗,麦冬,元参,花粉,甘草
贝母,半夏,远志,陈皮,黄芩,甘草,茯苓
半夏,天南星,远志,金箔,天麻,辰砂,陈皮
半夏,紫菀,葶苈,杏仁,桔梗,陈皮,紫苏
半夏,缩砂仁,杏仁,桔梗,陈皮,紫苏,五味子
半夏,杏仁,桔梗,陈皮,紫苏,前胡,千葛
紫菀,款冬花,桔梗,麦冬,天冬,五味子,牛膝
半夏,杏仁,桔梗,远志,陈皮,菖蒲,麦冬
银箔,朱砂,白僵蚕,远志,金箔,天麻,真珠末
天南星,白附子,黑附子,白术,茯苓
贝母,薄荷,枇杷叶,金银花,小木通,桑叶,葛根
贝母,半夏,桔梗,陈皮,芍药,神曲,枳实
粳米,陈茶叶
半夏,术香,丁香,全蝎,砂仁,槟榔,肉豆蔻
半夏,天南星,山芋,远志,天麻,辰砂,菖蒲
天南星,二,天麻,辰砂,白附子,麝香,白芷
天南星,天麻,辰砂,白附子,麝香,川芎,白芷
半夏,天南星,辰砂,白矾
半夏,天南星,陈皮,神曲,皂角,白矾,麦糵
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,甘草,茯苓,生姜
粳米,白糖,茶叶
半夏,陈皮,神曲,茱萸,砂仁,甘草,茯苓
半夏,陈皮,茱萸,茯苓,苍术,黄连
山芋,陈皮,五味子,肉苁蓉,枸杞,麦门冬,牛膝
半夏,陈皮,柴胡,甘草,生姜
贝母,半夏,桔梗,芍药,柴胡,黄芩,夏枯草
半夏,薄荷,柴胡,黄芩,苏叶,赤芍,红花
贝母,葶苈,蜂蜜,麻黄,桑白皮
贝母,杏仁,桔梗,白糖,枇杷叶,尼泊金,苯甲酸
贝母,桔梗,薄荷,枇杷叶
贝母,杏仁,蜂蜜
半夏,白蔻,钩藤,牛膝,薏仁,菊花,赤芍
