没药,乳香,白粟米,白莴苣子,乌梅
蓖麻仁,片松香,铜绿,杏仁
鹅不食草,踯躅花,白芷,羌活,蔓荆子,皮硝,青黛
草乌,威灵仙,藁本,红花,紫荆皮,蜂房,白蔹
芙蓉叶,赤小豆,五倍子,白芷,黄柏,赤芍,贝母
三七,威灵仙,五灵脂,玄胡,蒲黄,红花,郁金
破故纸,五灵脂,乳香,白芷,羌活,白术,茴香
石韦,海金沙,关木通,白芍,滑石,当归,地黄
破故纸,没药,五灵脂,乳香,白芷,羌活,白术
草乌,萆薢,红花,白芷,川乌,当归,细辛
三七,没药,乳香,炙马钱子,鸡血藤,骨碎补,川芎
草乌,萆薢,红花,白芷,川乌,当归,细辛
草乌,樟脑,没药,乳香,木瓜,白芷,独活
威灵仙,白僵蚕,地龙,白芷,漏芦,当归,芎藭
三七,樟脑,水杨酸甲酯,颠茄流浸膏,红花,土鳖虫,白芷
没药,乳香,蜈蚣,雄黄,黄米,菖蒲
没药,乳香,红花,白芍,羌活,川断,苏木
樟脑,甘松,辣椒,干羌,独活,冰片,川乌
三七,没药,血竭,透骨草,乳香,红花,白芷
三七,没药,乳香,红花,芍药,紫荆藤,苏木末
没药,乳香,红花,独活,羌活,桃仁,乌药
没药,乳香,白芷,当归,赤芍,丹皮,地黄
三七,红花,寸冬,夏枯草,黄柏,当归,生地
银花,槐角,槐花,黄柏,滑石,当归,生地
草乌,白芷,芍药,肉桂,军姜,天南星
血竭,乳香,自然铜,土鳖虫,当归
没药,乳香,桃仁,乌药,归尾,苏木,赤芍
草乌,红花,白芷,独活,羌活,桃仁,川乌
金铃子,玄胡
银花,没药,乳香,地丁,红花,蒲公英,当归
威灵仙,生姜,红花,白芍,桂枝,穿山龙,麻黄
没药,乳香,白芍,贯众,栀子,甘草,苍术
没药,乳香,轻粉,当归,黄占,洋樟,猪油
三七,没药,乳香,苏木末,落得打,刘寄奴,萹蓄
没药,乳香,麻黄,马钱子
透骨草,铁屑,当归,防风,川芎
老鹳草
血竭,没药,朴消,红花,羌活,车前,菊花
草乌,白芷,独活,羌活,石斛,川乌,天麻
乳香,木瓜,白芍,牛膝,龟甲,黑木耳,当归
没药,乳香,轻粉,冰片
元胡,甘松,鹿角胶,白芨,白芍,黄芪,螵蛸
闹羊花,蒲黄,红花,白芷,当归
乳香,白黄蜡,珠子沥青
草乌,威灵仙,乳香,五灵脂,牵牛子,川楝,乌药
草乌,威灵仙,萆薢,乳香,五灵脂,牵牛子,川楝
没药,乳香,川乌,当归,丁香,川芎,苍术
元胡,蔻仁,片姜黄,生白芍,砂仁,川楝,枳壳
血竭,没药,乳香,地龙,自然铜,无名异,木鳖子
破故纸,延胡索,牛膝,杜仲,当归
没药,乳香,金银花,白芷,芍药,花粉,归梢
没药,乳香,木瓜,自然铜,独活,牛膝,羌活
血竭,轻粉,干胭脂,密陀僧
生姜,玄胡素,桃仁,红花,牛膝,穿山甲,乌药
白芥子,郁李仁,白芷,白芍,香附,川芎,甘草
元参,金银花,当归,甘草
樟脑,水杨酸甲酯,颠茄流浸膏,芸香浸膏,伤湿止痛流浸膏,冰片,薄荷
元胡,紫草,细木通,茯苓皮,紫参,大青叶,地丁
乌蛇,酒,败龟,茄子根,骨碎补,大麻仁,松节
萆薢,独活,羌活,牛膝,天麻,杜仲,当归
银花,没药,乳香,白芷,归尾,花粉,牛蒡
玄胡索,破故纸,牛膝,当归
玄胡索,朴消
玄胡索,白芍,当归,熟地,川芎
没药,乳香,麝香,黄米饭,犀黄
银花,败酱草,红藤,乳没4,薏仁,桃仁,延胡索
藁本,桑叶,白茅根,荷叶,苦丁茶,白芷,夏枯草
三七,麦冬,北沙参,赤芍
三七,没药,乳香,骨碎补,川断,接骨草,刘寄奴
