金钱草,滑石,车前子,海金砂,木通,琥珀末,青皮
银花,泽泻,茯苓,生地炭,归身炭,范制面,绵耆
金银花,槐花,连翘,夏枯草,红花,甘草
茵陈,泽泻,猪苓,苍术,青皮,茯苓,知母
赤小豆,当归
檀香,生军,苍术,沉香,木香,雄黄,麝香
薏仁,大豆,通草,0,焦山栀,晚蚕沙,木瓜
薏仁,蒲公英,金银花,败酱草,冬瓜子,大黄,京赤药
扁豆,通草,白术炭,莲子,苍术炭,诃子,党参
皂刺,浮萍,何首乌,茯苓,防风,荆芥,苦参
乌梅肉,巴豆,青皮,莪术,沉香,木香,陈皮
椿根白皮,龟版,侧柏叶,芍药,升麻,香附
泽泻,猪苓,茯苓,肉桂,柴胡,白术
泽泻,猪苓,茯苓,柴胡,黄芩,白术
莲子心,车前子,萆薢,黄柏,茯苓,菖蒲,丹参
川萆解,益智仁,菖蒲,乌药
莲子心,车前子,川萆,黄柏,茯苓,菖蒲,丹参
鹿角霜,木通,芡实,党参,生白芍,故纸,茯苓
茜草,檀香,益智仁,乌梅肉,玫瑰花,鸡冠花,没石子
茵陈,葶苈,龙胆草,山栀仁,黄芩
赤小豆,滑石,冬葵子,八角金盘,琥珀,芦根,陈皮
扁豆,使君子,砂仁,糯米,白米,生米仁,建莲
滑石,泽泻,车前子,木通,瞿麦,淡竹叶,赤苓
茵陈,虎杖,玉米须,川楝,郁金,木香,黄芩
益智,蓬术,巴豆,青皮,三棱,桂心
泽泻,茯苓,芍药,当归,芎,白术
茵陈,泽泻,猪苓,苍术,党参,防风,知母
桂枝,干地龙,小木通,香独活,酒杭芍,川断,木瓜
大豆,泽泻,水,茯苓,枳实,防风,黑附子
白糖,萆薢,冬葵子
滑石,茯苓,枳实,陈皮,当归,川芎,香附
匾蓄,凤尾草,菟丝子,飞廉草,茯苓,熟地
薏仁,猪苓,茯苓皮,通草,大腹皮,淡竹叶
桂枝,茯苓,白术,甘草
戎盐,茯苓,白术
滑石,海金沙,关木通,地黄,白芍,当归,川芎
茵陈,泽泻,猪苓,木通,茯苓,枳壳,栀子
滑石,泽泻,猪苓,车前子,木通,萹蓄,瞿麦
茵陈,地黄,地黄,枇杷叶,石斛,枳壳,天门冬
茵陈,地黄,地黄,枇杷叶,石斛,枳壳,天门冬
茵陈,滑石,木通,白蔻,薄荷,菖蒲,贝母
赤小豆,绿豆,黑豆,甘草
旱莲草,苋菜,蜂蜜10毫升,甘草
滑石,泽泻,茯苓,寒水石,人参,木香,石膏
泽泻,茯苓,青皮,芍药,木香,当归,枳壳
白糖,茯苓皮,冬瓜皮,生姜皮,黄芪,枣仁
滑石,茯苓皮,猪苓,白蔻仁,通草,大腹皮,黄芩
赤小豆,昆布,黄耆
茵陈,金银花,大豆,板蓝根,败酱草,赤芍,柴胡
茵陈,蒲公英,板蓝根,虎杖,陈皮
青子芩4,碧玉散,陈广皮,青蒿脑4,茯苓,竹茹,枳壳
冬瓜皮,葫芦壳,西瓜皮,枣仁
粳米,新鲜荷叶,冰糖
滑石,砂仁,益智仁,竺黄,白梅花,茯苓,远志
滑石,生杭芍,黄柏,知母
栝楼,寒水石,菟丝子,白石脂,知母,桂心
茵陈,薏仁,泽泻,猪苓,木通,苍术,茯苓
金银花,木通,苍术,何首乌,防风,荆芥,苦参
金钱草,石苇,滑石,冬葵子,海金砂,鸡内金,牛膝
扁豆,猪苓,泽泻,苍术,香薷,茯苓,木瓜
金银花,蒲公英,冬瓜子,大活血,木香,大黄
薏仁,金钱草,冬葵子,萆薢,木通,海金沙,琥珀末
麦冬,茯苓,干葛,人参,石膏,半夏,白术
匾蓄,猪苓,苍术,黄柏,茯苓,白芍,木香
银花,银花叶,赤豆卷,茯苓,山萸,肉苁蓉,当归
金银花,滑石,泽泻,车前子,赤芍,连翘,花粉
泽泻,猪苓,茯苓,肉桂,知母,石膏,半夏
白附,苍术,荆芥,白芷,白蒺藜,草乌
泽泻,猪苓,砂仁,茯苓,木香,人参,陈皮
泽泻,猪苓,苍术,茯苓,肉桂,柴胡,生草
泽泻,猪苓,苍术,茯苓,肉桂,柴胡,生草
桂枝,三七,干姜炭,党参,茯苓,枳实,牡蛎
滑石,泽泻,猪苓,桂枝,云苓,寒水石,琥珀
金银花,泽泻,六一散,大青叶,木通,连翘,龙胆草
旱莲草,槐花,仙鹤草,菜苋,胡麻仁,侧柏叶,地榆
茵陈,泽泻,茯苓,枳实,山楂,荷叶,连翘
麦冬,泽泻,猪苓,香薷,茯苓,人参减半,石莲肉
泽泻,猪苓,茯苓,羌活,白术
银花,地丁,车前子,半枝莲,大黄,京赤芍,四季青
茜草,元参,赤芍,黄柏,白芍,贝母,当归
金银花,滑石,板蓝根,大青叶,赤芍,鲜芦根,白藓皮
金银花,滑石,大青叶,赤芍,鲜芦根,生栀仁,连翘
蒲公英,金银花,地丁,大青叶,赤芍,黄柏,牛膝
蒲公英,金银花,地丁,大青叶,赤芍,黄柏,牛膝
薏仁,竹叶,白蔻仁,六一散,豆豉,僵蚕,杏仁
薏仁,竹叶,六一散,白蔻,豆豉,3寸,僵蚕
泽泻,车前子,青连翘,苦木通,龙胆草,丹皮,生地
薏仁,泽泻,木香,当归,羚羊角,五加皮,茯神
茵陈,滑石,木通,白蔻,薄荷,菖蒲,藿香
扁豆,薏仁,砂仁,党参,茯苓,建曲,石斛
地肤子,路路通,白芨,地龙,何首乌,防风,荆芥
桂枝,白芍,干姜,黄芩,细辛,栀子,半夏
茵陈,茯苓皮,苍术,桑枝,菖蒲,大腹皮,防己
泽泻,淮药,附片,茯苓,肉桂,熟地,萸肉
扁豆,大豆,萆藓,芡实,生薏米,黄柏,茯苓
黑豆,苍术,山楂,陈皮,麦芽,神曲,厚朴
扁豆,麦冬,猪苓,泽泻,车前子,通草,党参
石榴皮,紫蔻,血琥珀,砂仁,油朴,清夏,苍术
白花蛇舌草,泽泻,半枝莲,黄柏,党参,干蟾,苡米根
茜草,苍术,玉竹,海风藤,白酒,千年健,威灵仙
淀粉,葵菜叶,味精,食盐
泽泻,茯苓,葵子,石韦,白术
滑石,猪苓,车前子,木通,瞿麦,茯苓,枳实
滑石,昆布,海金砂,枳实,柴胡,白芍,鸡内金
茵陈,白花蛇舌草,虎杖,茯苓,柴胡,白芍,当归
薏仁,白花蛇舌草,板蓝根,赤芍,木贼草,牡蛎,马齿苋
泽泻,车前子,关木通,地黄,柴胡,龙胆,当归
鹿角霜,秋石,茯苓
粳米,鹿头肉,香子,高良姜,蔓荆子
石榴皮,谷芽,乌梅炭,椿根皮,槟榔
苡米,莱菔,地榆,赤芍,枳实,大黄,木香
仙灵脾,黄酒,黑豆皮,肉桂,葱白,生姜,豉
茵陈,银花,苡米,竹叶,车前子,白茅根,黄柏
茵陈,板蓝根,败酱草,玉米须,郁金,金银草,栀子
茵陈,金钱草,枳实,皮硝,郁金,大黄,木香
木通,纯苏叶,砂仁,苍术,赤芍,鸡心,茯苓
六一散,泽泻,车前子,木通,赤苓,生地,黄芩
麦冬,赤芍,茯苓,枳实,沙参,五味子,川芎
五物香薷饮加木瓜
滑石,甘草
赤小豆,生梓白皮,连轺,杏仁,生姜,枣仁,麻黄
薏仁,杏仁,麻黄,甘草
蒲公英,银花,地丁,竹叶,元参,赤芍,丹皮
