冰片,雄黄,牛黄,大黄,桔梗,黄芩,甘草
山栀仁,牛黄,郁金,黄芩,黄连,辰砂
冰片,胆南星,朱砂,牛黄,僵蚕,全蝎,天麻
黄酒,牛蒡根,蝉蜕
绿豆粉,乳香
连翘,芍药,薄荷,山栀子,黄连,桔梗,木香
白酒,炒杏仁,鲜仙人掌,羌活
地龙,黄柏,乳香,黄芩,黄连,川大黄
冰片,珍珠,水牛角浓缩粉,朱砂,郁金,雄黄,牛黄
冰片,珍珠,水牛角浓缩粉,朱砂,郁金,雄黄,牛黄
犀角,朱砂,梅片,郁金,真珠,雄黄,牛黄
板蓝根,大青叶,败酱草,赤芍,夏枯草,苡仁,牡蛎粉
金银花,连翘,土茯苓,丹皮,地丁,山栀子,大豆黄卷
冰片,软石膏,胡黄连,辰砂
枯矾,朱砂,雄黄,轻扮,寒水石,乳香,蜗牛
地丁草,松节油,天花粉,大黄,南星,独活,白芷
板蓝根,连翘,白花蛇舌草,射干,荆芥,浙贝,葛根
牛蒡子,连翘,天花粉,升麻,干葛,桔梗,黄芩
野菊花,三颗针,紫地丁,法半夏,郁金,大黄,黄芩
西瓜霜,飞青黛,西牛黄,濂珠,老式大泥冰,西月石
冰片,山豆根,青黛,硼砂,明矾牛黄,芒消
矮茶风,墨旱莲,侧耳根,女贞子,破故纸,五味子
连翘,野菊花,黄柏,辛夷,细辛,苍耳子,白芷
辛荑,芥穗,龙胆草,牛角,蔓荆子,黄芩,薄荷
大青叶,贯众,珠兰茶,明雄黄,上梅冰片,上朱砂,南薄荷
牛蒡子,连翘,紫草茸,陈枳壳,升麻,蝉蜕,如有闰月
金银花,牛蒡子,连翘,薄荷,鲜竹叶,知母,绿豆衣
青黛,寒水石,马牙消,朴消,消石,芒消,石膏
鲜马齿苋,白蜜
金银花,板蓝根,牛蒡子,连翘,生石膏,桑叶,蝉蜕
金银花,板蓝根,山豆根,连翘,玄参,紫花地丁,丹皮
野菊花,白花蛇舌草,白英,三颗针,苦参,白头翁,七叶一枝花
半枝莲,白英,猕猴桃根,蛇莓,龙葵
板蓝根,山豆根,忍冬藤,土茯苓,草河车,威灵仙,白鲜皮
秦皮,白头翁,黄柏,黄连
玄参,地龙,乌嘴白雄鸭,白盐梅,古文钱,蜗牛,枇杷叶
板蓝根,糖粉,菠萝香精油,淀粉
白糖,板槛根,夏枯草
冰片,山甲,花粉,雄黄,射干,白及,川连
射干,九里明,一点红,甘草
冰片,玄明粉,鹿角霜,煅硼砂,黄柏,黄连,白矾
冰片,玄明粉,朱砂,硼砂
冰片,玄明粉,朱砂,硼砂
八角金盘,冬葵子,滑石,芦根,琥珀,赤小豆,益母草
金银花,当归尾,玄参,大黄,黄柏,炒栀子,贝母
金银花,山豆根,牛蒡子,玄参,土牛膝,丹皮,射干
连翘,紫草茸,人中黄,丹皮,川连,牛蒡,蝉退
山甲,天花粉,皂刺,全蜈蚣,乳香,知母,没药
芒硝,滑石粉,胆南星,关木通,大黄,黄芩,牵牛子
白酒,地龙,乌芋
大黄粉,麻油50毫升,生地榆粉
金银花,蒲公英,连翘,野菊花,半枝莲,地丁,草河车
山豆根,连翘,牛蒡子,人中黄,苦参,黄柏,紫苏叶
板蓝根,山豆根,玄参,桔梗,乌梅,白蔹,白薇
金银花,白术,川牛膝,苍术,茯苓皮,薏苡仁
珍珠,朱砂,牛黄,木棉花,石灰华,铁屑,珊瑚
苦参,蜂房,马钱子,刺猬皮,胡连,槐花,荆芥穗
连翘,芒硝,滑石,大黄,栀子,薄荷,白术
牛蒡子,连翘,玄参,升麻,荆芥穗,桔梗,人参
冰片,芙蓉叶,泽兰叶,大黄,黄柏,黄连,黄芩
金银花,连翘,川贝母,代赭石,苇根,葶苈子,桔梗
金银花,鱼腥草,半枝莲,虎杖,桔梗,黄芩
牛蒡子,生石膏,鱼腥草,川贝母,炒杏仁,化橘红,甘草
金银花,蒲公英,连翘,野菊花,紫花地丁,黄耆,当归
金银花,板蓝根,连翘,鱼腥草,黄芩
蒲公英,马齿苋,如意草,白矾
马齿苋,大青叶,蜂房,生苡仁
蒲公英,大青叶,丹皮,赤芍,黄芩,甘草
金银花,连翘,红藤,紫花地丁,丹皮,乳香,大黄
金银花,红藤,芒硝,三颗针,薏仁,丹皮,大黄
板蓝根,连翘,木贼,苡仁,香附
蒲公英,川楝子,生大黄,白芍药,木香,黄芩,延胡索
车前草,辣蓼,地锦草
马齿苋,铁苋菜,仙鹤草,地榆
金银花,金钗石斛,人参,黄耆,牛膝,当归
板蓝根,玄参,败酱草,赤芍,茵陈,郁金,白芍
金银花,乳香,青皮,白芷,瓜蒌,没药,当归
橄榄,萝卜
冰片,山豆根,西瓜霜,青黛,射干,大黄,薄荷脑
金银花,牛蒡子,连翘,皂刺,花粉,青皮,栝楼仁
牛蒡子,甘草金银花,栝楼,生姜
连翘,双花,苦参,黄柏,大葱,冬青叶,川椒
板蓝根,连翘,大青叶,拳参
土牛膝,金钱风,岗梅,毛冬青,山芝麻
冰片,滑石粉,甘草粉,朱砂面,雄黄
黑乌蛇,雄黄,大黄,白花蛇
连翘,玄参,丹皮,白僵蚕,黄连,土贝母,桔梗
金银花,牛蒡子,大黄,升麻,赤芍,黄柏,黄连
西瓜霜,蒸馏水,硫酸黄连素,月石,硝苯汞
金银花,连翘,甘草节,升麻,赤芍,羌活,归尾
连翘,玄参,天花粉,大黄,姜黄,薄荷,黄柏
枯矾,朱砂,五倍子,白凤仙花,百部,陈米醋,雄黄
板蓝根,虎杖,赤芍,丹皮,蝉蜕,甘草
