五灵脂,巴戟,牛膝,虎骨,菟丝子,木鳖子,地龙
枸杞,五味子,地黄,地黄,麦门冬,天门冬,山药
覆盆子,牛膝,菟丝子,白酒,枸杞,麦冬,川椒
白蔻壳,木瓜,苍术,薏仁,石斛,黄耆,五味子
覆盆子,牛膝,巴戟,菟丝子,枸杞,麦冬,川椒
覆盆子,牛膝,菟丝子,萆薢,枸杞,仙茅,拣参
天仙藤,青蒿子,苍术,黄耆,茴香,干葛,肉桂
黑牵牛,木贼,菖蒲,全蝎,茱萸,枳壳,甘草
枸杞,肉苁蓉,巴戟天,菊花
威灵仙,仙茅,苍术,白丑,何首乌,菖蒲,狗脊
苍术,川椒,茴香,熟地,川乌,山药,甘草
苍术
苍术不拘多少
苍术
牛膝,菟丝子,蛇床子,木瓜,鹿茸,破故纸,肉苁蓉
牛膝,菟丝子,鹿茸,黑附子,苁蓉
覆盆子,牛膝,菟丝子,枸杞,山芋,破故纸,肉苁蓉
菟丝子,磁石,牛酥,雄雀粪,桂心,雄黄
鹿茸,沉香,麝香
牛膝,菟丝子,枸杞,仙灵脾,破故纸,五味子,茴香
牛膝,巴戟,破故纸,石斛,茴香,沉香,黑附子
菟丝子,破故纸,沉香,没药,胡桃肉,乳香
牛膝,虎骨,龟版,锁阳,地黄,知母,当归
覆盆子,枸杞,续断,白蒺藜,菟丝饼,金樱子膏,莲须
生芩,拣参,鼠苓,麦门冬,地黄,地黄,天门冬
牛膝,川椒,破故纸,茴香,巴戟天,青盐,黑附子
牛膝,蛇床子,川椒,卷柏,石斛,黄耆,五味子
牛膝,菟丝子,远志,地黄,地骨皮,枳壳
威灵仙,乌头,破故纸,茴香,葫芦巴,高良姜,槟榔
威灵仙,乌头,苍术,巴戟天,芍药
牛膝,菟丝子,破故纸,五味子,茴香,沉香,杜仲
牛膝,地龙,枸杞,鹿茸,沉香,骨碎补,杜仲
牛膝,萆薢,破故纸,茴香,巴戟天,狗脊
萆薢,桂,黑附子,当归,厚朴,荆三棱,陈皮
牛膝,萆薢,薏仁,菖蒲,天台乌药
牛膝,三七,破故纸,肉苁蓉,骨碎补,沉香,杜仲
覆盆子,蛇床子,川椒,卷柏,远志,麦门冬,地黄
牛膝,菟丝子,枸杞,龟版,破故纸,五味子,肉苁蓉
牛膝,枸杞,黄耆,五味子,鹿角霜,杜仲,生地
菟丝子,地黄,鹿角霜,柏子仁,鹿角胶
乌头,蛇床子,马蔺子,草乌,莨菪子,黑附子,茱萸
代赭石,人中黄,磁石,没药,禹余粮,赤石脂,朱砂
枸杞,破故纸,黄耆,肉苁蓉,何首乌,人乳,茯苓
牛膝,枸杞,杜仲,生地,五加皮,当归,茯苓
牛膝,何首乌,茱萸,柏子仁,知母,当归,败龟版
代赭石,真磁石,伏火朱砂,石中黄,没药,禹余粮,赤石脂
木鳖子,茴香,茴香,远志,麦门冬,独活,地黄
牛膝,虎骨,枸杞,麦冬,川椒,苍术,破故纸
三七,枸杞,木瓜,破故纸,黄耆,骨碎补,西洋参
虎骨,破故纸,薏仁,骨碎补,杜仲,功劳叶,五加皮
三七,枸杞,木瓜,破故纸,黄耆,骨碎补,西洋参
牛膝,蛇床子,木鳖子,麦冬,鹿茸,五味子,杜仲
牛膝,巴戟,枸杞,五味子,茴香,肉苁蓉,杜仲
牛膝,杜仲,地黄,黑附子,芍药,白术,当归
牛膝,黄耆,杜仲,地黄,黑附子,芍药,白术
牛膝,黄耆,杜仲,地黄,黑附子,芍药,白术
牛膝,巴戟,菟丝子,萆薢,鹿茸,石斛,杜仲
五灵脂,麝香净肉,金箔200箔,细香墨,没药,白蒺藜,黑附子
小草,川椒,远志,杏仁,茱萸,黑附子,桂心
大朱砂
糯米5斗,面曲,地黄
牛膝,地黄,五加皮
覆盆子,菟丝子,白酒,木鳖子,地龙,川椒,赤小豆
覆盆子,牛膝,萆薢,木鳖子,地龙,川椒,黄耆
牛膝,萆薢,黄耆,杜仲,地黄,黑附子,芍药
乌头,黑附子
牛膝,菟丝子,枸杞,破故纸,黄耆,五味子,肉苁蓉
龟版,麦冬,天冬,地黄,地黄,知母,芍药
牛膝,菟丝子,枸杞,破故纸,五味子,杜仲,虎胫骨
磁石,硇砂
牛膝,何首乌
牛膝,萆薢,地骨皮,生地,枣仁,当归,桂枝
牛膝,木瓜,肉苁蓉,虎胫骨,没药,黑附子,天麻
牛膝,萆薢,木瓜,薏仁,杜仲,地黄,续断
牛膝,木瓜,黑附子,川芎,羌活
覆盆子,枸杞,杜仲,远志,柏子仁,胡桃仁,地肤子
牛膝,萆薢,苍术,黄耆,杜仲,远志,地黄
覆盆子,菟丝子,锁阳,何首乌,淫羊藿,金樱子,地黄
防己10,黑豆13,2,2,金樱子13,骨碎补10,地黄21
枸杞,地黄,山药,菊花
枸杞
覆盆子,菟丝子,枸杞,石斛,五味子,肉苁蓉,薯蓣
黄雌鸡,粳米,杏仁,地黄
牛膝,萆薢,枸杞,木瓜,麦冬,苍术,茴香
蒲公英,解盐,香附
牛膝,苍术,虎胫骨,败龟板,归梢,防己,黄柏
曲,糯米,虎胫骨
牛膝,萆薢,虎骨,枸杞,木瓜,薏仁,苍术
牛膝,萆薢,虎骨,石斛,肉苁蓉,远志,天雄
牛膝,萆薢,薏仁,仙灵脾,虎胫骨,地黄
牛膝,萆薢,虎骨,枸杞,木瓜,薏仁,苍术
牛膝,石斛,杜仲,虎胫骨,续断,狗脊,川巴戟
威灵仙,萆薢,川椒,地龙,茴香,赤小豆,川乌
萆薢,地龙,川椒,茴香,川乌,川楝,陈皮
牛膝,茴香,石斛,槟榔,芎藭,海桐皮,楝实
牛膝,菟丝子,枸杞,龟版,破故纸,胡桃肉,杜仲
威灵仙,苍术,一十,草乌,没药,狗脊,香附
威灵仙,苍术,草乌,没药,狗脊,香附,陈皮
五灵脂,木鳖子,白胶香,草乌,好墨,川乌,乌蛇
牛膝,菖蒲,何首乌,天南星
牛膝,何首乌
牛膝,何首乌
牛膝,菖蒲,何首乌,天南星
牛膝,地黄,何首乌,芍药
牛膝,黑豆,何首乌,枣仁
鸡血藤
苍术,地龙,川椒,马蔺子,石斛,茴香,巴戟天
三七,马钱子霜,金刚莲,18厘米,捆仙绳,见血清,五加皮
巴戟,广荗,牵牛头末,沉香,枳壳,槟榔,香附
枸杞,地黄,菊花
五灵脂,草乌,骨碎补,雄黑豆,地黄,石南藤,山桂皮
五灵脂,黑牵牛,破故纸,茴香,棠球子,草,庵
巴戟,川椒,茴香,川楝,山药
牛膝,巴戟,菟丝子,鹿茸,川椒,磁石,石斛
牛膝,白胶香,杏仁,没药,白蔹,磈润,沥青
黄榔刺树根,糯米饭1盏,小雄鸡
牛膝,虎骨,草乌,骨碎补,杜仲,独活,续断
菟丝子,萆薢,木瓜,肉苁蓉,巴戟天,杜仲,全蝎
牛膝,菟丝子,鹿茸,五味子,地黄,苁蓉,木瓜干
牛膝,菟丝子,枸杞,拣参,五味子,茴香,肉苁蓉
枸杞,仙茅,苍术,茴香,地黄,地黄,柏子仁
牛膝,菟丝子,枸杞,木瓜,龟版,锁阳,独活
牛膝,锁阳,地黄,知母,龟甲,羊肉,当归
川椒,栝楼,泽泻,知母,黑附子,桂心,白术
巴戟,蛇床子,鹿茸,茴香,肉苁蓉,远志,续断
牛膝,鸡血藤,肉苁蓉,骨碎补,淫羊藿,女贞子,地黄
川柏皮,苍术
萆薢,地龙,鹿茸,茴香,杜仲,青盐,没药
牛膝,鹿角
牛膝,鹿茸,木瓜,五味子,肉苁蓉,杜仲,虎胫骨
牛膝,菟丝子,鹿茸,磁石,石斛,五味子,沉香
牛膝,鹿茸,石斛,巴戟天,杜仲,远志,茱萸
牛膝,鹿茸,破故纸,桂,地黄,黑附子,苁蓉
覆盆子,巴戟,菟丝子,蛇床子,萆薢,鹿茸,石斛
牛膝,萆薢,杜仲,胡桃肉,续断,故纸,木爪
菟丝子,雄雀儿,远志,晚蚕沙半,丹参,桂心,天雄
覆盆子,牛膝,菟丝子,萆薢,蛇床子,枸杞,鹿茸
黑豆,破故纸,骨碎补,青盐,白蒺藜,白蒺藜
牛膝,木鳖子,草乌,骨碎补,狗脊,川乌,芍药
牛膝,萆薢,木瓜,苍术,薏仁,石斛,黄耆
牛膝,巴戟,萆薢,木瓜,茴香,青盐,川乌
牛膝,川椒,肉苁蓉,巴戟天,青盐
威灵仙,草乌,老鹳草,寄生,独活,续断,红花
覆盆子,牛膝,枸杞,锁阳,川椒,破故纸,黄耆
威灵仙,五灵脂,茴香,草乌,牵牛子,川楝,陈皮
威灵仙,五灵脂,萆薢,茴香,草乌,牵牛子,川楝
牛膝,菟丝子,破故纸,金樱子,何首乌,女贞子,桑叶
牛膝,木瓜,地黄,没药,全蝎,黑附子,枣仁
牛膝,菟丝子,枸杞,肉苁蓉,巴戟天,杜仲,远志
牛膝,虎骨,木瓜,黑附子,苁蓉,天麻
牛膝,萆薢,枸杞,虎胫骨,当归,干茄根,炙鳖甲
覆盆子,牛膝,菟丝子,薏仁,石斛,黄耆,五味子
牛膝,续断,五加皮,黑附子,丹参,清酒,肉桂
天仙藤,青蒿子,苍术,茴香,干葛,肉桂,芍药
覆盆子,菟丝子,白酒,五味子,枸妃子,车前子
覆盆子,蛇床子,川椒,卷柏,地黄,远志,麦门冬
牛膝,菟丝子,白酒,仙灵脾,破故纸,茴香,沉香
白酒,仙灵脾
薏仁
生姜葱白,细盐,粳米,羊骨左右
牛膝,巴戟,菟丝子,蛇床子,木鳖子,鹿茸,破故纸
牛膝,菟丝子,杜仲,何首乌,女贞子,桑叶,生地
覆盆子,牛膝,菟丝子,枸杞,巴戟天,何首乌,远志
白酒,没石子,莲子蕊,地黄,地黄,五加皮,槐角子
