珍珠母,磁石,酒曲,酒曲,半夏,赭石
枣仁,小麦,甘草
朱砂,琥珀,天竺黄,珍珠,钩藤,丹参
辰砂,丹参,山栀仁,郁金,黄芩,黄连
琥珀,丹参,天麻,天南星,龙脑,白附子
枣仁,远志,贝母,半夏,陈皮,瓜蒌
茯神,柏子仁,干姜,炙草,人参,陈皮
茯神,金箔,枣仁,远志,珍珠,辰砂
茯神,枣仁,琥珀,辰砂,人参,乳香
茯神,枣仁,朱砂,远志,琥珀,菖蒲
枣仁,辰砂,人参
安神膏,菖蒲,丹参,五味子
珍珠母,夜交藤,合欢皮,菖蒲,丹参,地黄
远志,麦冬,莲须,石莲肉,芡实,人参
茯神,枣仁,远志,琥珀,白芍,党参
茯神,朱砂,远志,麦门冬,天麻,白附子
茯神,枣仁,远志,菖蒲,党参,炙草
茯神,枣仁,远志,牡蛎,芡实,龙骨
茯神,远志,麦冬,菖蒲,半夏,陈皮
菖蒲,龙齿
朱砂,地黄,当归,甘草,黄连
枣仁,琥珀,天竺黄,珍珠,丹参,天南星
夜交藤,合欢皮,合欢花,丹参,桑椹子,地黄
金箔,朱砂,琥珀,天麻,山药,地黄
茯神,菖蒲,全蝎,龙胆草,当归,黄连
茯神,枣仁,朱砂,白参,寸冬,生地
茯神,枣仁,珍珠母,朱砂,琥珀,夜交藤
朱砂,麦冬,天冬,知母,黄连
茯神,远志,铁粉,菖蒲,辰砂,麦门冬
茯神,远志,铁粉,菖蒲,辰砂,麦门冬
茯神,枣仁,朱砂,代赭石,麝香,乳香
辰砂,天南星,白矾,半夏
辰砂,天南星,白矾,半夏
远志,菖蒲,黑附子,牛膝,人参,桂心
枣仁,桂枝,牡蛎,半夏,龙骨,人参
大龟
茯神,远志,枸杞,牛膝,沉香,白芍
枣仁,夜交藤,淮小麦,百合,莲肉,甘草
朱砂,赤金,天麻,黄土,僵蚕,全蝎
朱砂,天竺黄,钩藤,丹参,天南星,薄荷
白糖,粳米,鲜百合,杏仁
大米,芡实,山药,糯米,莲肉
枣仁,朱砂,麦门冬,人参,生龙脑,茯苓
枣仁,远志,柏子仁,五味子,半夏,黄耆
枣仁,朱砂,远志,柏子仁,五味子,半夏
茯神,菖蒲,麦门冬,枸杞,柏子仁,熟地
柏子仁,粳米,蜂蜜
柏子仁,粳米,蜂蜜
枣仁,牡蛎,柏子仁,五味子,半夏,党参
柏子仁,鹿角霜,鹿角胶,菟丝子,地黄
铅,水银
朱砂,白矾,半夏,黄丹
茯神,远志,菖蒲,麦门冬,丹参,人参
枣仁,大米,芡实,薏仁,山药,百合
檀香,枣仁,天竺黄,紫檀香,沉香,北沙参
檀香,枣仁,天竺黄,紫檀香,沉香,北沙参
枣仁,石灰华,木棉花,诃子,沉香,乳香
枣仁,石灰华,木棉花,诃子,沉香,乳香
朱砂,磁石,乳香,代赭石,人中黄,没药
朱砂,胆南星,神曲,巴豆
金箔,腻粉
茯神,远志,琥珀,天竺黄,珍珠,辰砂
远志,琥珀,珍珠,天竺黄,钩藤,丹参
枣仁,覆盆子,巴戟,天门冬,肉苁蓉,枸杞
琥珀,辰砂,天麻,天南星,白附子,防风
茯神,朱砂,琥珀,天麻,犀角,防风
琥珀,珍珠,丹参,龙涎香,马宝
檀香,赤小豆,熊胆,鹤虱,牵牛,沉香
远志,巴戟,覆盆子,菖蒲,肉苁蓉,枸杞
茯神,丹皮,淡竹叶,生地,莹白童便150毫升,原麦冬
茯神,黑附子,龙齿,郁金,泽兰,熟地
茯神,枣仁,远志,熟地,酒炒白芍,当归
茯神,朱砂,远志,麦冬,菖蒲,人参
茯神,枣仁,远志,柏子仁,地黄,五味子
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,僵蚕,全蝎,人参
金箔,枣仁,辰砂,麦门冬,僵蚕,人参
肉苁蓉,陈曲,枸杞,甘菊,地黄,桂
朱砂,天竺黄,丹参,天麻,麝香,人参
茯神,远志,天竺黄,琥珀,菖蒲,丹参
菖蒲,麦门冬,丹参,天门冬,五味子,贝母
辰砂,菖蒲,青龙齿,丹参,琥珀末,紫贝齿
枣仁,麦冬,生地,木通,玄参,茯苓
远志,柏子仁,覆盆子,菖蒲,肉苁蓉,麦门冬
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,红花,丁香
茯神,远志,菖蒲,麦门冬,天门冬,丹参
紫石英,寒水石,桂枝,牡蛎,白石脂,滑石
茯神,枣仁,远志,独活,防风,干姜
茯苓细粉,米粉,白糖等份
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,天南星,半夏
茯神,远志,辰砂,菖蒲,天南星,半夏
茯神,枣仁,远志,独活,干姜,防风
茯神,麦门冬,龙齿,防风,人参,羚羊角
茯神,枣仁,远志,独活,干姜,防风
茯神,菖蒲,麦门冬,丹皮,石斛,陈皮
寄生,风仙花全草,益母草,五味子,泽兰
肉苁蓉,枸杞,巴戟天,菊花
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,牡蛎,龙骨,芍药,桂心,甘草
朱砂,21克
珍珠母,麦冬,仙茅酒,磁石,钩藤,地黄
枣仁,枣仁,远志,龙眼肉,党参,白术
颗块朱砂,獖猪心,灯心
茯神,金箔,枣仁,远志,龙齿,颗块大朱砂
茯神,远志,山药,五味子,山萸,莲须
远志,菖蒲,五味子,茱萸,人参,龟版
