半夏,白芥子,诃黎勒,芡实,薏仁,人参
郁金,黄芪,党参,薄荷,水牛角浓缩粉,丹参
天南星,银箔,金箔,朱砂,川甜消,丹参
天竺黄,天南星,生龙脑,金箔,丹参,腻粉
银箔,朱砂,金箔,龙脑,牙消,丹参
天竺黄,天南星,朱砂,僵蚕,全蝎,丹参
天竺黄,朱砂,龙脑,真珠,丹参,黄芩
百部,桔梗,陈皮,麦冬,元参,花粉
贝母,半夏,远志,陈皮,黄芩,瓜蒌
半夏,天南星,金箔,远志,辰砂,郁金
半夏,紫菀,杏仁,葶苈,桔梗,陈皮
半夏,杏仁,缩砂仁,桔梗,陈皮,紫苏
半夏,杏仁,桔梗,陈皮,紫苏,前胡
紫菀,款冬花,桔梗,麦冬,牛膝,五味子
远志,辰砂,丹参,菖蒲,麦门冬,人参
半夏,杏仁,远志,桔梗,陈皮,菖蒲
银箔,朱砂,远志,金箔,全蝎,真珠末
天南星,黑附子,白附子,白术,茯苓
贝母,薄荷,金银花,枇杷叶,小木通,葛根
贝母,半夏,桔梗,芍药,陈皮,枳实
粳米,陈茶叶
半夏,丁香,全蝎,术香,槟榔,砂仁
半夏,天南星,远志,山芋,辰砂,天麻
天南星,辰砂,二,天麻,白附子,白芷
天南星,辰砂,天麻,白附子,白芷,川芎
半夏,天南星,辰砂,白矾
半夏,天南星,陈皮,皂角,神曲,白芷
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,生姜,茯苓,甘草
粳米,茶叶,白糖
半夏,陈皮,神曲,茱萸,黄连,砂仁
半夏,陈皮,茱萸,黄连,茯苓,苍术
山芋,陈皮,肉苁蓉,麦门冬,百合,黄耆
半夏,陈皮,柴胡,生姜,甘草
贝母,半夏,桔梗,芍药,柴胡,夏枯草
半夏,薄荷,柴胡,红花,黄芩,赤芍
贝母,葶苈,蜂蜜,麻黄,桑白皮
贝母,杏仁,桔梗,白糖,枇杷叶,苯甲酸
贝母,桔梗,薄荷,枇杷叶
贝母,杏仁,蜂蜜
半夏,白蔻,牛膝,薏仁,赤芍,钩藤
桔梗,龙脑,三十,七十五,两细辛,薄荷
1,12千克,780克,09千克,150克,薄荷
苏合香,白檀香,诃梨勒皮,丁子香,吃力伽,熏陆香
贝母,硼砂,青礞石,猪脱氧胆酸,人工竺黄,沉香
贝母,粳米,冰糖
贝母,粳米,砂糖
贝母,桔梗,陈皮,花粉,瓜蒌,茯苓
贝母,紫菀,杏仁,百部,五味子,甘草
贝母,杏仁,款冬花,五味子,甘草,知母
贝母,杏仁,柴胡,石膏,百合,人参
贝母,紫菀,杏仁,桔梗,甘草
紫菀,黄耆,人参,五味子,地黄,桑白皮
半夏,胆南星,远志,黄芪,菖蒲,当归
半夏,紫菀,杏仁,桔梗,黄芪,百合
缩砂仁,栝楼,盐,薄荷,白檀,白芷
缩砂仁,桔梗,四,薄荷,三,防风
缩砂仁,桔梗,薄荷,川芎,防风,甘草
缩砂仁,桔梗,薄荷,川芎,防风,甘草
鸡苏叶,缩砂仁,盐,瓜蒌根十,荆芥,甘草
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥,甘草
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥,甘草
百部,杏仁,麻黄
朱砂,梅片,象牙末,丹参5厘,麝香5厘,熊胆
紫菀,杏仁,葶苈,石膏,黄芩,制桑白皮
贝母,辰砂,真麝香,上肉桂,柴胡,神金
贝母,桔梗,麦冬,元参,百合,当归
贝母,桔梗,麦冬,百合,当归,地黄
牵牛,龙脑,甘遂末,雷丸末,粉霜,轻粉
贝母,板蓝根,石膏,麦冬,连翘,牛蒡
生龙脑,朱砂,麦门冬,人参,茯苓,甘草
贝母,白矾,诃黎勒皮,地黄,玄参,知母
