半夏,白芥子,诃黎勒,薏仁,人参,白术
党参,黄芪,水牛角浓缩粉,薄荷,郁金,丹参
天南星,银箔,朱砂,川甜消,金箔,生犀末
天竺黄,天南星,生龙脑,金箔,丹参,腻粉
银箔,朱砂,金箔,牙消,龙脑,丹参
天竺黄,天南星,朱砂,僵蚕,琥珀,全蝎
天竺黄,朱砂,龙脑,真珠,丹参,升麻
百部,桔梗,陈皮,元参,花粉,麦冬
贝母,半夏,远志,陈皮,瓜蒌,黄芩
半夏,天南星,远志,辰砂,金箔,天麻
半夏,紫菀,杏仁,葶苈,桔梗,陈皮
半夏,缩砂仁,杏仁,桔梗,陈皮,紫苏
半夏,杏仁,桔梗,陈皮,紫苏,前胡
紫菀,款冬花,桔梗,五味子,牛膝,天冬
半夏,杏仁,远志,桔梗,陈皮,菖蒲
朱砂,银箔,金箔,远志,琥珀,天麻
天南星,白附子,黑附子,白术,茯苓
贝母,薄荷,金银花,枇杷叶,小木通,桑叶
贝母,半夏,桔梗,芍药,枳实,陈皮
粳米,陈茶叶
半夏,丁香,全蝎,术香,槟榔,砂仁
半夏,天南星,山芋,远志,辰砂,天麻
天南星,二,白附子,辰砂,天麻,川芎
天南星,白附子,辰砂,天麻,川芎,白芷
半夏,天南星,辰砂,白矾
半夏,天南星,陈皮,皂角,神曲,白芷
半夏,天南星,辰砂,白矾
半夏,天南星,白附子,辰砂,白矾
缩砂仁,桔梗,草果仁,生姜,茯苓,甘草
粳米,白糖,茶叶
半夏,陈皮,茱萸,神曲,砂仁,苍术
半夏,陈皮,茱萸,苍术,黄连,茯苓
山芋,陈皮,肉苁蓉,五味子,百合,牛膝
半夏,柴胡,陈皮,生姜,甘草
贝母,半夏,桔梗,芍药,柴胡,黄芩
半夏,柴胡,薄荷,黄芩,苏叶,赤芍
贝母,葶苈,蜂蜜,麻黄,桑白皮
贝母,杏仁,桔梗,白糖,枇杷叶,薄荷5厘
贝母,桔梗,薄荷,枇杷叶
贝母,杏仁,蜂蜜
半夏,白蔻,钩藤,牛膝,薏仁,赤芍
桔梗,龙脑,七十五,两细辛,三十,二十
1,12千克,150克,780克,09千克,薄荷
苏合香,香附,熏陆香,吃力伽,白檀香,脑香
贝母,硼砂,青礞石,人工竺黄,沉香,猪脱氧胆酸
贝母,粳米,冰糖
贝母,粳米,砂糖
贝母,桔梗,陈皮,花粉,瓜蒌,茯苓
贝母,紫菀,杏仁,百部,五味子,甘草
贝母,款冬花,杏仁,五味子,甘草,知母
贝母,杏仁,柴胡,百合,麻黄,人参
贝母,紫菀,杏仁,桔梗,甘草
紫菀,五味子,人参,黄耆,地黄,桑白皮
半夏,胆南星,黄芪,远志,菖蒲,杭白芍
半夏,紫菀,杏仁,黄芪,桔梗,百合
缩砂仁,盐,栝楼,薄荷,白檀,白芷
缩砂仁,桔梗,四,三,薄荷,川芎
缩砂仁,桔梗,薄荷,川芎,甘草,防风
缩砂仁,桔梗,薄荷,川芎,甘草,防风
鸡苏叶,缩砂仁,盐,瓜蒌根十,荆芥,甘草
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥,甘草
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥,甘草
百部,杏仁,麻黄
朱砂,丹参5厘,麝香5厘,象牙末,梅片,熊胆
紫菀,杏仁,葶苈,清夏,五味子,五爪红
贝母,辰砂,柴胡,真麝香,上肉桂,巴豆
贝母,桔梗,元参,百合,当归,麦冬
贝母,桔梗,百合,当归,麦冬,白芍
牵牛,龙脑,甘遂末,雷丸末,粉霜,轻粉
贝母,板蓝根,桑叶,黄芩,麦冬,连翘
生龙脑,朱砂,麦门冬,人参,枣仁,甘草
贝母,地黄,诃黎勒皮,知母,玄参,白矾
半夏,人参,干姜,白术,甘草
天南星,白僵蚕,全蝎,地龙干,五灵脂
天南星,远志,辰砂,天麻,菖蒲,麝1字
天竺黄,天南星,檀香,辰砂,枳实,金箔
天竺黄,胆南星,辰砂,僵蚕,琥珀,全蝎
天竺黄,郁金,雄黄,白矾
半夏,杏仁,茶叶,枳实,瓜蒌霜,麻黄
贝母,天南星,杏仁,桔梗,陈皮,紫苏
天南星,半复,黄芩
半夏,黑附子,生姜
半夏,苍术,厚朴,广皮,茯苓,甘草
贝母,半夏,桔梗,瓜萎仁,枳亮,知母
半夏,杏仁
半夏,旋复花,桔梗,芍药,陈皮,芎藭
半夏,柴胡,神曲,升麻,生姜,苍术
半夏,天麻,陈皮,泽泻,大麦蘖面,神曲
半夏,天麻,白术
半夏,天麻,陈皮,白术,蔓荆子,生姜
半夏,天麻,陈皮,泽泻,炒曲,茯芩
半夏,秫米
半夏,麦芽,陈皮,香附,神曲,槟榔
半夏,紫苏,厚朴,茯苓,诃黎勒皮,枳壳
半夏,杏仁,昆布,桔梗,射干,槟榔
半夏,干苏叶,生姜,厚朴,茯苓
贝母,半夏,天南星,白附子,人参,白术
半夏,防风
半夏,朱砂,黄丹,白矾
半夏,白矾
半夏,瓜蒌子
半夏,茯苓,朴消,枳壳
半夏,陈皮,郁李仁,槟榔,木香
半夏,沉香,猪苓,破故纸
半夏,天南星,香附,石膏,栀子
檀香,白葡萄干,拳参,丁香,北沙参,红花
檀香,白葡萄干,拳参,丁香,北沙参,红花
硼砂,片脑,紫苏,白檀香,桂花,霍香叶
贝母,柴胡,金银花,当归,黄柏,大黄
天南星,朱砂,神曲,巴豆
胆南星,朱砂,全蝎,神曲,巴豆,丹参
荸荠,白萝卜,雪梨,生藕,白茅根,麦冬
胆南星,淡全蝎,天麻,薄荷,芥穗,人参
半夏,胆南星,党参,钩藤,天麻,橘络
贝母,天竺黄,天南星,远志,钩藤,天麻
贝母,半夏,胆南星,焦三仙,钩藤,天麻
贝母,胆南星,朱砂,钩藤,天麻,僵蚕
天南星,僵蚕,辰砂,白附子,天麻,琥珀
半夏,天南星,皂角,生姜,白矾
贝母,琥珀,莲肉,五味子,当归,枸杞
半夏,杏仁,豆
半夏,干蝎,独活,甘菊,川芎,防风
半夏,陈皮,京三棱,黑牵牛,槟榔,青皮
半夏,天南星,黑牵牛,猪牙皂角,白矾
天南星,木香
半夏,天南星,干姜
贝母,紫菀,杏仁,百部,瓜蒌仁,柿霜
半夏,蝎尾,胡椒,干姜
半夏,桔梗,僵蚕,活蝎子,麻黄,黄连
款冬花,杏仁,远志,代赭石,苏子,五味子
贝母,杏仁,葶苈,僵蚕,代赭石,陈皮
半夏,款冬花,杏仁,麻黄,苏子,黄芩
半夏,款冬花,杏仁,麻黄,苏子,黄芩
杏仁,陈皮,五味子,麻黄,石膏,砂仁
桔梗,陈皮,五味子,石膏,麻黄,木香
贝母,半夏,莱菔,白芥子,杏仁,陈皮
天竺黄,生犀角,银箔,远志,金箔,龙脑
玄明粉,姜汁,竹沥膏,煅金礞石,生硼砂,朱砂面
朱砂,薄荷,天麻,川芎,白芷,细辛
半夏,麦芽,陈皮,广荗,川丁皮,荜澄茄
半夏,款冬花,枳实,五味子,人参,麻黄
半夏,天南星,藿香,薄荷,白蛤粉,人参
半夏,天南星,藿香,薄荷,蛤粉,人参
半夏,杏仁,马兜铃,巴豆
贝母,杏仁,旋复花,陈皮,石斛,桑叶
天南星,龙脑,白附子,天麻,真珠末,丹参
天竺黄,龙脑,天麻,丹参,人参,铅白霜
贝母,陈皮,五味子,菖蒲,丹参,当归
半夏,白檀香,丁香,姜黄,人参,生姜
半夏,紫团参,鳖甲,阿胶,甘草
贝母,半夏,杏仁,葶苈,青礞石,板蓝根
半夏,广皮,茯苓,甘草,羌活,防风
杏仁,桔梗,麻黄
半夏,白芥子,海藻,昆布,胆草,陈皮
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,厚朴,广皮,茯苓,甘草
半夏,陈皮,苏梗,厚朴,茯苓,甘草
半夏,枳实,陈皮,当归,香附,川芎
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,百合,麦门冬
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,麦门冬,天门冬,知母
半夏,天南星,桔梗,僵蚕,陈皮,菖蒲
天竺黄,竹茹,百部,瓜蒌仁,陈皮,天冬
贝母,麦冬,天门冬,知母
贝母,北沙参,提麦冬,淡天冬,南沙参,知母
竹茹,远志,泽泻,菖蒲,牡蛎,白芍
半夏,天南星,白僵蚕,飞过枯矾
半夏,陈皮,黑附子,白姜,厚朴,草果子
贝母,桔梗,元参,陈皮,前胡,花粉
贝母,桔梗,芍药,陈皮,花粉,前胡
半夏,天麻,芎,人参,独活,白芷
贝母,半夏,玉竹,北沙参,天冬,蛤粉
半夏,陈皮,茯苓,甘草
山芋,桔梗,远志,陈皮,芍药,五味子
贝母,杏仁,葶苈,桔梗,代赭石,陈皮
鱼腥草,陈皮,党参,黄芪,白花蛇舌草,铁树叶
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,蒌仁,石斛,菊花炭,郁金
半夏,粉霜,黑牵牛子,白矾
硼砂,陈皮,乌梅,薄荷,五味子,甘草
贝母,半夏,桔梗,陈皮,香附,玄明粉
贝母,半夏,桔梗,陈皮,香附,玄明粉
半夏
半夏,檀香,百药煎,陈皮,薄荷,五味子
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,陈皮,萝卜子,皂角
半夏,天南星,莱菔,瓜蒌仁,枳实,陈皮
