半夏,白芥子,诃黎勒,薏仁,白术,人参
水牛角浓缩粉,党参,郁金,黄芪,薄荷,丹参
天南星,金箔,银箔,朱砂,川甜消,生犀末
天竺黄,金箔,天南星,生龙脑,丹参,腻粉
银箔,金箔,朱砂,牙消,龙脑,丹参
天竺黄,天南星,僵蚕,朱砂,琥珀,全蝎
天竺黄,真珠,朱砂,龙脑,丹参,黄芩
百部,桔梗,陈皮,麦冬,花粉,元参
贝母,半夏,远志,陈皮,黄芩,茯苓
半夏,天南星,金箔,远志,辰砂,天麻
半夏,紫菀,杏仁,葶苈,桔梗,紫苏
半夏,杏仁,缩砂仁,桔梗,紫苏,陈皮
半夏,杏仁,桔梗,紫苏,陈皮,千葛
紫菀,款冬花,桔梗,天冬,麦冬,牛膝
远志,辰砂,菖蒲,丹参,麦门冬,白术
半夏,杏仁,桔梗,远志,陈皮,麦冬
金箔,银箔,远志,朱砂,真珠末,天麻
天南星,黑附子,白附子,白术,茯苓
贝母,枇杷叶,薄荷,小木通,桑叶,金银花
贝母,半夏,桔梗,陈皮,枳实,芍药
粳米,陈茶叶
半夏,术香,全蝎,丁香,槟榔,砂仁
半夏,天南星,山芋,远志,天麻,辰砂
天南星,天麻,二,辰砂,白附子,川芎
天南星,天麻,辰砂,白附子,川芎,麝香
半夏,天南星,辰砂,白矾
半夏,天南星,陈皮,皂角,神曲,麦糵
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,生姜,茯苓,甘草
粳米,白糖,茶叶
半夏,陈皮,神曲,茱萸,砂仁,茯苓
半夏,陈皮,茱萸,茯苓,苍术,黄连
山芋,陈皮,百合,肉苁蓉,沉香,枸杞
半夏,陈皮,柴胡,生姜,甘草
贝母,半夏,桔梗,芍药,夏枯草,柴胡
半夏,薄荷,红花,柴胡,黄芩,苏叶
贝母,葶苈,蜂蜜,麻黄,桑白皮
贝母,杏仁,桔梗,白糖,枇杷叶,尼泊金
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
半夏,白蔻,钩藤,薏仁,牛膝,川芎
桔梗,二十,两细辛,三十,七十五,龙脑
1,09千克,150克,12千克,780克,薄荷
苏合香,诃梨勒皮,脑香,吃力伽,丁子香,熏陆香
贝母,硼砂,青礞石,沉香,猪脱氧胆酸,人工竺黄
贝母,冰糖,粳米
贝母,粳米,砂糖
贝母,桔梗,陈皮,花粉,茯苓,瓜蒌
贝母,紫菀,杏仁,百部,五味子,甘草
贝母,款冬花,杏仁,五味子,甘草,知母
贝母,杏仁,百合,石膏,柴胡,麻黄
