半夏,白芥子,薏仁,诃黎勒,白术,人参
黄芪,党参,薄荷,水牛角浓缩粉,郁金,丹参
天南星,银箔,朱砂,川甜消,金箔,生犀末
天竺黄,天南星,生龙脑,金箔,腻粉,丹参
朱砂,银箔,金箔,牙消,龙脑,丹参
天竺黄,天南星,朱砂,僵蚕,琥珀,全蝎
天竺黄,朱砂,真珠,龙脑,丹参,黄芩
百部,桔梗,陈皮,麦冬,元参,花粉
贝母,半夏,远志,陈皮,黄芩,瓜蒌
半夏,天南星,辰砂,远志,金箔,陈皮
半夏,紫菀,杏仁,桔梗,陈皮,紫苏
半夏,杏仁,缩砂仁,桔梗,陈皮,紫苏
半夏,杏仁,桔梗,陈皮,紫苏,前胡
紫菀,款冬花,桔梗,天冬,五味子,麦冬
远志,辰砂,菖蒲,丹参,麦门冬,白术
半夏,杏仁,远志,桔梗,陈皮,菖蒲
朱砂,银箔,远志,金箔,真珠末,天麻
天南星,白附子,黑附子,白术,茯苓
贝母,薄荷,枇杷叶,小木通,桑叶,金银花
贝母,半夏,桔梗,陈皮,枳实,芍药
粳米,陈茶叶
半夏,丁香,术香,全蝎,砂仁,槟榔
半夏,天南星,山芋,辰砂,远志,天麻
天南星,辰砂,二,天麻,白附子,川芎
天南星,辰砂,天麻,白附子,川芎,麝香
半夏,天南星,辰砂,白矾
半夏,天南星,陈皮,皂角,神曲,白矾
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,茯苓,生姜,甘草
粳米,茶叶,白糖
半夏,陈皮,神曲,茱萸,黄连,苍术
半夏,陈皮,茱萸,苍术,茯苓,黄连
山芋,陈皮,肉苁蓉,百合,五味子,麦门冬
半夏,陈皮,柴胡,生姜,甘草
贝母,半夏,桔梗,芍药,柴胡,夏枯草
半夏,薄荷,柴胡,红花,黄芩,苏叶
贝母,蜂蜜,葶苈,麻黄,桑白皮
贝母,杏仁,桔梗,白糖,枇杷叶,柠檬酸5厘
贝母,桔梗,薄荷,枇杷叶
贝母,杏仁,蜂蜜
半夏,白蔻,钩藤,薏仁,牛膝,赤芍
桔梗,二十,龙脑,两细辛,薄荷,七十五
薄荷,1,780克,12千克,150克,09千克
苏合香,白檀香,香附,脑香,熏陆香,丁子香
贝母,硼砂,青礞石,沉香,人工竺黄,猪脱氧胆酸
贝母,粳米,冰糖
贝母,粳米,砂糖
贝母,桔梗,陈皮,瓜蒌,花粉,茯苓
贝母,百部,紫菀,杏仁,五味子,甘草
贝母,款冬花,杏仁,五味子,甘草,知母
贝母,杏仁,百合,柴胡,石膏,人参
贝母,紫菀,杏仁,桔梗,甘草
紫菀,五味子,人参,地黄,黄耆,桑白皮
半夏,胆南星,远志,黄芪,菖蒲,当归
半夏,紫菀,杏仁,桔梗,黄芪,百合
缩砂仁,盐,栝楼,薄荷,白檀,荆芥
缩砂仁,桔梗,四,三,薄荷,川芎
缩砂仁,桔梗,薄荷,川芎,甘草,防风
缩砂仁,桔梗,薄荷,川芎,甘草,防风
鸡苏叶,盐,缩砂仁,瓜蒌根十,荆芥,甘草
鸡苏叶,盐,缩砂仁,瓜蒌根,荆芥,甘草
