红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,赤芍,生地,白芍
红花,刘寄奴,姜黄,芥子,路通,羌活
虎杖,茜草,全瓜蒌,赤芍,郁金,生鳖甲
地龙,荆芥,防风,川芎,全蝎,细辛
没药,紫荆皮,乳香,甘草,白芷
桃仁,牡丹,虫,石苇,桂枝,大黄
自然铜,没药,乳香,土鳖
黑豆,三七,骨碎补,血琥珀,鸡血藤膏,川续断
桃仁,红花,当归尾,薤白,川芎,栝楼
香油,三七,没药,樟脑,冰片,乳香
没药,全蜈蚣,皂刺,山甲,乳香,天花粉
丹参,杜仲,芎藭
桃仁,泽兰,红花,丹皮,白芍药,熟地黄
红花,三七,赤芍,苏木,乳香,生地
桃仁,虫,水蛭,干地黄,虻虫,杏仁
地龙,自然铜,没药,丹皮,肉桂,乳香
丹参,泽兰,黑豆,玄胡,赤芍,香附
桃仁,丹参,没药,苏木,乳香,荆芥
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,赤芍,夏枯草,莪术,三棱
玄胡,没药,丹皮,紫花地丁,赤芍,红藤
桃仁,红花,玄胡,赤芍,炮姜,红藤
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,大黄,瓜蒌根,穿山甲,柴胡
虫,全虫,蜈蚣,川山甲
桃仁,红花,玄胡,五灵脂,丹皮,赤芍
桃仁,红花,灵脂,玄胡,丹皮,赤芍
丹参,郁金,乌药,川楝,柴胡,黄芩
桃仁,牡丹,桂枝,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,泽兰,归尾,红花,玄胡,牛膝
桃仁,丹参,赤芍,莪术,三棱
桃仁,丹参,赤芍,莪术,三棱
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,蒲黄,当归,熟干地黄,甘草
没药,元胡,红藤,丹皮,紫花地丁,银花
红花,75,酒精
丹参,龙齿,参三七,姜川连,豆豉,荆芥
紫苏,肉桂,赤芍,何首乌,乌药,独活
红花,紫苏,赤芍,苏木,乳香,莪术
归尾,伸筋草,松节,路路通,姜黄,羌
香油,没药,血竭面,红粉,冰片,蜂蜡
桃仁,红花,当归尾,赤芍,白蒺藜,荆芥
桃仁,归尾,玄胡,赤芍,防风,半夏
蝙蝠,骨碎补,补骨脂,大黄,桂,当归
丹参,泽兰,金钱草,黄芪,茯苓皮,山药
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,莪术,三棱
红花,丹皮,赤芍,酒归尾,防风,木香
刘寄奴,血竭,苏木,赤芍,酒生地,川芎
红花,珍珠,冰片等,熊胆,灵芝,蟾酥
没药,肉桂,黄芪,炮姜,乳香,熟地
桃仁,红花,红花,黑豆,玄胡,没药
丹参,红花,虫,水蛭,虻虫,秦艽
桃仁,丹参,赤芍,莪术,三棱,大黄
桃仁,丹参,赤芍,莪术,三棱,大黄
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,党参,川芎,香附
桃仁,红花,没药,当归尾,姜黄,水蛭
茜草,香油,刘寄奴,伸筋草,松节,透骨草
鸡血藤,双花,元参,乳香,土茯苓,甘草
桃仁,玄胡,丹皮,水蛭,赤芍,虻虫
丹参,泽兰,玄胡,鸡血藤,没药,元参
蒲公英,赤小豆,犀黄丸,丹皮,冬瓜子,川军
香油,章丹
丹参,红花,赤芍,降香,川芎
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,没药,土鳖虫,熟军,乳香,血竭
桃仁,红花,党参,附子,白术,甘草
红花,乌药,独活,茯苓,川芎,牛膝
桃仁,益母草,炮姜,川芎,芥穗,炙草
没药,橘核,瓜蒌,荔核,乳香,当归
桃仁,归尾,红花,炮山甲,板蓝根,赤芍
桃仁,红花,白芍药,川芎,熟地黄,当归
茅根,丹皮,蒲黄,栀子,川芎,当归
丹参,茜草,土贝母,赤芍,元参,生地
酒黄芩,秦皮,丹皮,赤芍,生地,木通
茅根,茜草,鸡血藤,仙鹤草,丹皮,旱莲草
红花,赤芍,黄耆,地锦草,人参1,白术1
丹参,红花,鸡血藤,丹皮,熟地,女贞子
桃仁,丹参,红花,赤芍,生地,川芎
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,枳实
泽兰,郁金,枳实,山栀,香附,川楝
丹参,赤芍,枳实,麦冬,茯苓,沙参
凌霄花,没药,赤芍,当归,桂心,木香
红花,五灵脂,赤芍,生地,川芎,黄芩
炉甘石,珍珠,冰片,牛黄,麝香,硼砂
丹参,牡丹,败酱,茯苓,麦门冬,薏苡仁
归尾,草决,蒺藜,生地,白芍,荆芥
玄胡,肉桂,槟榔,苍术,缩砂,三棱
丹参,茜草,王不留行,清风藤,木瓜,黄柏
地龙,玄胡,没药,赤小豆,冰片,乳香
归尾,红花,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,参三七,赤芍,郁金,瓦楞子
桃仁,丹参,泽兰,红花,蒲公英,没药
地龙,仙灵脾,盐黄柏,盐知母,肉桂,黄芪
丹参,牡蛎,白花蛇舌草,郁金,黄芪,白芍
丹参,地龙,王不留行,橘叶,川楝,皂角刺
丹参,海藻,牡蛎,橘叶,橘核,昆布
红花,三七,樟脑,冰片,独活,麝香
桃仁,地龙,红花,灵脂,没药,秦艽
红花,蒲黄,黄芪,三棱,党参,川芎
桃仁,生地,大黄,鳖甲,黄芩,当归
玄胡,广郁金,枳实,白芍,乳香,香附
桃仁,泽兰,红花,当归尾,酒丹参,香附
桃仁,川芎,黑姜,炙草,当归
红花,干葛,苏叶,香附,防风,半夏
灵脂,元胡,没药,香附
玄胡,五灵脂,没药,蒲黄,赤芍,川芎
五灵脂,蒲黄
茅根,半枝莲,海金砂,金钱草,石苇,郁金
桃仁,半夏,吴萸,黄连,陈皮
干葛,山楂,生甘草,升麻,僵蚕,当归
玄胡,丹皮,北芍药,蓬术,川芎,当归
灵脂,元胡,藏红花,丹皮,熟军,炮姜
桃仁,红花,元胡,桂枝,黄柏,独活
红花,山楂,当归尾,乌药,香附,泽泻
桃仁,丹参,归尾,红花,乳香,蕺莱
桃仁,干漆,芎藭,当归,甘草,芍药
桃仁,蒲黄,大黄,大枣,消石,甘草
桃仁,赤芍,三棱,诃黎勒皮,鳖甲,白术
桃仁,红花,丹皮,赤芍,郁金,山栀
莪茂,丹皮,川芎,牛膝,当归,人参
红花,自然铜,没药,苏木,乳香,血竭
没药,骨碎补,丹皮,芥子,肉桂,五加皮
丹参,地龙,鸡血藤,地鳖虫,蜈蚣,黄芪
桃仁,红花,路路通,赤芍,生地,川芎
丹参,没药,瓜蒌,乳香,血竭,青皮
桃仁,红花,赤芍,生地,川芎,牛膝
玄胡,苦楝,川芎,地黄,当归,芍药
玄胡,当归
桃仁,赤芍,青龙齿,白芍,荆芥,木通
海藻,九肋鳖甲,麦蘖,使君子,干蟾,夜明砂
蒲公英,没药,地鳖虫,乳香,木瓜,栀子
红花,透骨草,川山甲,蓬术,独头蒜,木鳖仁
炮山甲,麻仁,五倍子,乌梅,牡蛎,苦参
丹参,三七,山楂,冰片,郁金,黄芪
茅根,山楂,过路黄,凤尾草
桃仁,丹参,自然铜,玄胡,没药,当归尾
泽兰,山楂,王不留行,牡蛎,佛手,白芍
虎杖,半枝莲,仙灵脾,仙鹤草,白花蛇舌草,鹿衔草
桃仁,没药,金钱草,赤芍,乳香,莪术
桃仁,红花,玄参,生地,麦冬,熟地
虎杖,泽兰,蒲公英,板蓝根,酒大黄,土茯苓
虎杖,土鳖虫,樟脑,鹰不扑,海风藤,穿壁风
桃仁,丹参,地龙,红花,鸡血藤,伸筋草
苦楝皮,槐皮,雄黄
