没药,乳香,白粟米,白莴苣子,乌梅
片松香,蓖麻仁,铜绿,杏仁
鹅不食草,踯躅花,羌活,白芷,蔓荆子,荆芥
草乌,威灵仙,藁本,红花,紫荆皮,白蔹
芙蓉叶,赤小豆,五倍子,白芷,贝母,黄柏
三七,威灵仙,五灵脂,玄胡,蒲黄,红花
破故纸,五灵脂,乳香,羌活,白芷,当归
关木通,海金沙,石韦,白芍,当归,滑石
破故纸,没药,五灵脂,乳香,羌活,白芷
草乌,萆薢,红花,白芷,川乌,当归
三七,没药,乳香,骨碎补,鸡血藤,炙马钱子
草乌,萆薢,红花,白芷,川乌,当归
草乌,樟脑,没药,乳香,木瓜,羌活
威灵仙,白僵蚕,地龙,白芷,当归,漏芦
三七,樟脑,水杨酸甲酯,颠茄流浸膏,红花,土鳖虫
没药,乳香,雄黄,黄米,蜈蚣,菖蒲
没药,乳香,红花,羌活,川断,白芍
樟脑,甘松,干羌,辣椒,川乌,冰片
三七,没药,血竭,透骨草,乳香,红花
三七,没药,乳香,红花,落得打,苏木末
没药,乳香,红花,川断,羌活,独活
没药,乳香,白芷,当归,赤芍,丹皮
三七,红花,寸冬,当归,夏枯草,白蒺藜
银花,槐角,槐花,滑石,当归,枳壳
草乌,白芷,芍药,军姜,肉桂,天南星
血竭,自然铜,乳香,土鳖虫,当归
没药,乳香,桃仁,苏木,乌药,归尾
草乌,红花,羌活,川乌,白芷,独活
玄胡,金铃子
银花,没药,乳香,地丁,红花,当归
威灵仙,生姜,红花,白芍,穿山龙,桂枝
没药,乳香,白芍,贯众,甘草,苍术
没药,乳香,轻粉,当归,猪油,炉甘石
三七,没药,乳香,落得打,苏木末,当归
没药,乳香,马钱子,麻黄
铁屑,透骨草,当归,防风,川芎
老鹳草
血竭,没药,朴消,红花,羌活,车前
草乌,羌活,白芷,川乌,独活,石斛
乳香,木瓜,白芍,牛膝,龟甲,黑木耳
没药,乳香,冰片,轻粉
元胡,甘松,白芨,鹿角胶,白芍,螵蛸
闹羊花,蒲黄,红花,白芷,当归
乳香,珠子沥青,白黄蜡
草乌,威灵仙,五灵脂,乳香,乌药,牵牛子
草乌,威灵仙,萆薢,五灵脂,乳香,乌药
没药,乳香,川乌,当归,丁香,川芎
元胡,蔻仁,生白芍,片姜黄,川楝,砂仁
血竭,没药,自然铜,乳香,地龙,无名异
破故纸,延胡索,牛膝,杜仲,当归
没药,乳香,花粉,金银花,白芷,芍药
没药,自然铜,木瓜,乳香,羌活,独活
血竭,轻粉,密陀僧,干胭脂
生姜,玄胡素,红花,桃仁,牛膝,穿山甲
郁李仁,白芥子,白芷,白芍,甘草,川芎
元参,金银花,当归,甘草
樟脑,水杨酸甲酯,芸香浸膏,伤湿止痛流浸膏,颠茄流浸膏,冰片
元胡,茯苓皮,细木通,大青叶,紫参,紫草
茄子根,大麻仁,乌蛇,酒,骨碎补,晚蚕沙
萆薢,羌活,牛膝,独活,当归,天麻
银花,没药,乳香,花粉,白芷,贝母
玄胡索,破故纸,牛膝,当归
玄胡索,朴消
玄胡索,白芍,当归,熟地,川芎
没药,乳香,麝香,黄米饭,犀黄
银花,红藤,败酱草,薏仁,乳没4,延胡索
藁本,荷叶,桑叶,苦丁茶,白茅根,白芷
三七,北沙参,麦冬,赤芍
三七,没药,乳香,落得打,苏木末,骨碎补
