金钱草,滑石,车前子,木通,琥珀末,海金砂
银花,泽泻,茯苓,范制面,生地炭,绵耆
金银花,槐花,连翘,夏枯草,红花,甘草
茵陈,猪苓,泽泻,苍术,茯苓,青皮
赤小豆,当归
檀香,生军,苍术,沉香,雄黄,木香
薏仁,大豆,通草,木瓜,晚蚕沙,焦山栀
薏仁,金银花,蒲公英,败酱草,冬瓜子,京赤药
扁豆,通草,白术炭,茯苓,党参,诃子
皂刺,浮萍,防风,茯苓,何首乌,荆芥
巴豆,乌梅肉,青皮,沉香,莪术,陈皮
龟版,椿根白皮,侧柏叶,芍药,升麻,香附
猪苓,泽泻,茯苓,肉桂,柴胡,白术
猪苓,泽泻,茯苓,柴胡,黄芩,白术
莲子心,车前子,萆薢,茯苓,黄柏,菖蒲
川萆解,益智仁,菖蒲,乌药
莲子心,车前子,川萆,茯苓,黄柏,菖蒲
鹿角霜,木通,生白芍,杜仲炭,螵蛸,故纸
茜草,檀香,益智仁,乌梅肉,鸡冠花,玫瑰花
茵陈,葶苈,黄芩,龙胆草,山栀仁
赤小豆,滑石,冬葵子,八角金盘,陈皮,琥珀
扁豆,使君子,砂仁,建莲,白米,生米仁
滑石,车前子,泽泻,木通,瞿麦,赤苓
茵陈,虎杖,川楝,玉米须,黄芩,郁金
益智,巴豆,蓬术,青皮,桂心,三棱
泽泻,茯苓,芍药,当归,芎,白术
茵陈,猪苓,泽泻,苍术,防风,党参
桂枝,干地龙,香独活,小木通,酒杭芍,木瓜
大豆,泽泻,防风,茯苓,水,枳实
白糖,冬葵子,萆薢
滑石,茯苓,枳实,陈皮,川芎,当归
凤尾草,匾蓄,菟丝子,飞廉草,茯苓,熟地
薏仁,猪苓,茯苓皮,通草,大腹皮,淡竹叶
桂枝,茯苓,甘草,白术
戎盐,茯苓,白术
滑石,关木通,海金沙,地黄,白芍,石韦
茵陈,猪苓,泽泻,木通,茯苓,枳壳
猪苓,滑石,车前子,泽泻,木通,萹蓄
茵陈,枇杷叶,地黄,地黄,石斛,黄芩
茵陈,枇杷叶,地黄,地黄,石斛,黄芩
茵陈,滑石,木通,薄荷,白蔻,菖蒲
赤小豆,黑豆,绿豆,甘草
旱莲草,蜂蜜10毫升,苋菜,甘草
滑石,泽泻,茯苓,寒水石,人参,木香
泽泻,茯苓,青皮,芍药,木香,枳壳
白糖,冬瓜皮,茯苓皮,生姜皮,黄芪,枣仁
猪苓,滑石,茯苓皮,白蔻仁,通草,大腹皮
赤小豆,昆布,黄耆
茵陈,金银花,大豆,板蓝根,败酱草,赤芍
茵陈,蒲公英,板蓝根,虎杖,陈皮
青蒿脑4,青子芩4,碧玉散,陈广皮,茯苓,竹茹
冬瓜皮,西瓜皮,葫芦壳,枣仁
粳米,冰糖,新鲜荷叶
滑石,砂仁,益智仁,竺黄,白梅花,茯苓
滑石,生杭芍,黄柏,知母
白石脂,菟丝子,栝楼,寒水石,知母,桂心
茵陈,薏仁,猪苓,泽泻,木通,苍术
金银花,木通,苍术,防风,何首乌,荆芥
金钱草,滑石,冬葵子,石苇,海金砂,鸡内金
扁豆,猪苓,泽泻,香薷,苍术,茯苓
金银花,蒲公英,冬瓜子,木香,大活血,大黄
薏仁,金钱草,冬葵子,木通,琥珀末,萆薢
麦冬,茯苓,干葛,人参,石膏,半夏
猪苓,匾蓄,苍术,茯苓,黄柏,白芍
银花,银花叶,赤豆卷,茯苓,牛膝,山萸
金银花,滑石,车前子,泽泻,赤芍,连翘
猪苓,泽泻,茯苓,肉桂,知母,石膏
白附,苍术,荆芥,白芷,白蒺藜,草乌
猪苓,泽泻,砂仁,茯苓,人参,木香
猪苓,泽泻,苍术,生草,茯苓,肉桂
猪苓,泽泻,苍术,生草,茯苓,肉桂
桂枝,三七,干姜炭,茯苓,党参,枳实
猪苓,滑石,桂枝,泽泻,寒水石,云苓
金银花,大青叶,六一散,泽泻,木通,黄芩
旱莲草,槐花,仙鹤草,侧柏叶,菜苋,胡麻仁
茵陈,泽泻,茯苓,枳实,山楂,连翘
猪苓,麦冬,泽泻,香薷,茯苓,人参减半
猪苓,泽泻,茯苓,羌活,白术
银花,地丁,车前子,半枝莲,四季青,京赤芍
茜草,元参,赤芍,黄柏,白芍,紫草
金银花,大青叶,板蓝根,滑石,赤芍,白藓皮
金银花,大青叶,滑石,赤芍,黄芩,连翘
金银花,蒲公英,大青叶,地丁,赤芍,黄柏
金银花,蒲公英,大青叶,地丁,赤芍,黄柏
薏仁,竹叶,白蔻仁,六一散,豆豉,僵蚕
薏仁,竹叶,六一散,豆豉,僵蚕,白蔻
泽泻,车前子,青连翘,苦木通,黄芩,龙胆草
薏仁,泽泻,羚羊角,木香,五加皮,茯神
茵陈,滑石,木通,薄荷,白蔻,菖蒲
扁豆,薏仁,砂仁,茯苓,党参,白芍
路路通,白芨,地龙,地肤子,防风,何首乌
桂枝,白芍,黄芩,干姜,麻黄,细辛
茵陈,茯苓皮,苍术,桑枝,大腹皮,防己
泽泻,附片,淮药,茯苓,肉桂,熟地
扁豆,大豆,生薏米,茯苓,芡实,黄柏
黑豆,苍术,山楂,陈皮,麦芽,甘草
扁豆,猪苓,麦冬,车前子,泽泻,通草
石榴皮,紫蔻,血琥珀,清夏,砂仁,油朴
白花蛇舌草,泽泻,半枝莲,党参,黄柏,干蟾
茜草,苍术,乳没,防风,玉竹,威灵仙
食盐,葵菜叶,味精,淀粉
泽泻,茯苓,葵子,石韦,白术
猪苓,滑石,车前子,木通,茯苓,枳实
滑石,昆布,海金砂,柴胡,鸡内金,冬葵
茵陈,白花蛇舌草,虎杖,茯苓,柴胡,白芍
薏仁,白花蛇舌草,板蓝根,赤芍,牡蛎,木贼草
泽泻,车前子,关木通,龙胆,地黄,柴胡
鹿角霜,秋石,茯苓
粳米,香子,鹿头肉,高良姜,蔓荆子
石榴皮,椿根皮,谷芽,乌梅炭,槟榔
