冰片,雄黄,牛黄,大黄,桔梗,石膏
山栀仁,郁金,牛黄,黄连,辰砂,黄芩
冰片,朱砂,胆南星,牛黄,僵蚕,全蝎
黄酒,牛蒡根,蝉蜕
绿豆粉,乳香
白酒,炒杏仁,鲜仙人掌,羌活
地龙,乳香,黄柏,黄连,黄芩,川大黄
珍珠,冰片,水牛角浓缩粉,朱砂,郁金,雄黄
珍珠,冰片,水牛角浓缩粉,朱砂,郁金,雄黄
犀角,朱砂,郁金,雄黄,牛黄,梅片
板蓝根,大青叶,赤芍,败酱草,夏枯草,牡蛎粉
金银花,连翘,土茯苓,丹皮,地丁,大豆黄卷
冰片,软石膏,胡黄连,辰砂
枯矾,朱砂,轻扮,雄黄,寒水石,乳香
地丁草,松节油,天花粉,大黄,独活,南星
板蓝根,连翘,白花蛇舌草,射干,荆芥,浙贝
牛蒡子,连翘,干葛,升麻,天花粉,桔梗
野菊花,三颗针,紫地丁,郁金,法半夏,大黄
西瓜霜,飞青黛,西月石,濂珠,西牛黄,老式大泥冰
山豆根,冰片,青黛,硼砂,明矾牛黄,芒消
墨旱莲,侧耳根,矮茶风,女贞子,破故纸,五味子
野菊花,连翘,黄柏,桔梗,辛夷,荆芥
芥穗,辛荑,龙胆草,牛角,桔梗,薄荷
大青叶,贯众,南薄荷,珠兰茶,上梅冰片,明雄黄
牛蒡子,连翘,紫草茸,陈枳壳,升麻,桔梗
金银花,牛蒡子,连翘,薄荷,鲜竹叶,绿豆衣
青黛,寒水石,朴消,马牙消,消石,芒消
鲜马齿苋,白蜜
金银花,板蓝根,生石膏,牛蒡子,连翘,桑叶
金银花,板蓝根,山豆根,连翘,玄参,丹皮
野菊花,白花蛇舌草,三颗针,白英,白头翁,苦参
半枝莲,白英,蛇莓,龙葵,猕猴桃根
板蓝根,山豆根,忍冬藤,土茯苓,威灵仙,草河车
秦皮,白头翁,黄柏,黄连
玄参,地龙,古文钱,白盐梅,乌嘴白雄鸭,蜗牛
板蓝根,菠萝香精油,糖粉,淀粉
白糖,板槛根,夏枯草
冰片,山甲,射干,雄黄,白及,川连
