当归,藁本,川芎,防风,地黄,芍药
蝎梢,天南星,天麻,川芎,防风,白僵蚕
威灵仙,刘寄奴,白芥子,红花,当归,羌活
地龙,五灵脂,桃仁,红花,牛膝,当归
橘核,煨三棱,山萸,荔枝核,通草,酒炒破故纸
王不留行,通草,当归,黄耆,川芎,熟地
酒精,75,破故纸
地龙,桃仁,赤芍,红花,黄耆,归尾
鹿角霜,川断,伸筋草,党参,当归,羌活
桂枝,粳米,石膏,甘草,知母
樟丹,枯矾,冰片,龙骨,麝香
山甲,蜈蚣,皂刺,没药,乳香,花粉
桂枝,木瓜,川断,干地龙,蜈蚣,防己
桂枝,通草,当归,芍药,枣仁,生姜
白酒,大豆,麻子仁,乌蛇
地龙,白酒,乌芋
地龙,桃仁,川断,当归,元胡,乌药
蜈蚣,淡干姜,生地,熟地,川乌,白术
地龙,木鳖子,没药,自然铜,乳香,无名异
江米酒,丹参,川芎,杜仲
鸡血藤,橘核,白芥子,丝瓜络,金银花藤,丹参
鸡血藤,蒲公英,川断,双花,石斛,苍术
鸡血藤,党参,北沙参,黄芪,生地,络石藤
红花,红花,诃子,珍珠母,芝麻,草乌
木瓜,红花,草乌,麻黄,川乌,甘草
芎劳,防己,秦艽,防风,独活,麻黄
桂枝,防己,甘草
赤芍,蜈蚣,当归,钩藤,白芍,丹参
鸡血藤,赤芍,赤小豆,防己,牛膝,当归
桃仁,瓜蒌根,红花,当归,穿山甲,柴胡
威灵仙,桂枝,荆芥,没药,防风,乳香
王不留行,刘寄奴,钩藤,金银花藤,荆芥,宽筋藤
鸡血藤,白毛草,白鱼鲄,臭梧桐,乌麻根,五月红
桂枝,芍药,防风,麻黄,生姜,甘草
桂枝,赤芍,红花,归尾,防风,独活
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
地龙,威灵仙,当归,白僵蚕,桂心,白芷
茜草,五灵脂,干地龙,远志,丹参,琥珀末
赤芍,红花,丹参,川芎,降香
桂枝,党参,寄生,牛膝,白芍,黄耆
桂枝,片姜黄,寄生,白芍,当归,秦艽
黄芪,当归,白芍,地黄,川芎,甘草
蛇床子,明矾,五倍子,白凤仙花,陈米醋,丹参
红花,樟脑,花椒,当归,肉桂,干姜
赤芍,当归,丹参,黄芪,苍术,川芎
桂枝,木瓜,干地龙,当归,丹参,川芎
赤芍,伸筋草,片姜黄,路路通,海桐皮,松节
赤芍,红花,酒归尾,没药,乳香,夏枯草
透骨草,红花,三七,归尾,防己,牛膝
地龙,桃仁,川断,蜈蚣,山甲,木鳖子
刘寄奴,红花,钩藤,当归,没药,乳香
当归,没药,乳香,丹参
当归,没药,乳香,丹参
地龙,天南星,没药,草乌,乳香,川乌
赤芍,红花,酒归尾,防风,丹皮,木香
刘寄奴,赤芍,当归,川芎,生地,枳壳
威灵仙,桃仁,红花,伸筋草,寄生,当归
茜草,刘寄奴,透骨草,伸筋草,松节,昆布
桂枝,当归,防风,黄芩,矾石,桔梗
桃仁,赤芍,当归,生地,柴胡,枣仁
木瓜,槟榔,桔梗,生姜,紫苏,茱萸
金铃子,白芍,吴萸,香缘皮,煅瓦楞,元胡
威灵仙,桃仁,海风藤,双花,牛膝,全虫
透骨草,橘络,白芥子,片姜黄,当归,丹参
官桂,天麻,羌活,防风,枣仁,甘草
当归,天南星,羌活,天麻,川芎,防风
茜草,当归,丹参,两头尖,凌霄花,延胡索
桂枝,丹参,干姜,何首乌,阿胶,丹皮
当归,白芍,柴胡,黄芩,桔梗,甘草
蜈蚣,杭白芍,全蝎,金银花,黄连,黄芩
桃仁,当归,炒芥穗,益母草,川芎,炙草
党参,牛膝,三棱,莪术,白术,甘草
威灵仙,海风藤,山楂,防风,吊子风,薏仁
鹿角霜,桃仁,白芥子,赤芍,麻黄,熟地
鸡血藤,蜈蚣,牛膝,寄生,钩藤,天麻
地龙,威灵仙,木瓜,五灵脂,赤小豆,木鳖子
红花,白芍,旱莲,牛膝,丹参,龟板
木瓜,锁阳,牛膝,远志,当归,羌活
木瓜,锁阳,牛膝,白芍,当归,羌活
瓜蒌根,防己,羌活,防风,柴胡,川乌
威灵仙,海桐皮,牛膝,当归,续断,杜仲
赤芍,黄精,党参,丹参,黄耆,郁金
地龙,乌梢蛇,全虫,蜂房,白花蛇
地龙,五灵脂,木鳖子,草乌,乳香,枫香脂
鹿角霜,木瓜,牛膝,当归,黄耆,羌活
桃仁,乌药,当归,青皮,陈皮
赤芍,红花,丹参,黄连,生地,玫瑰花
木瓜,牛膝,白芍,当归,龟甲,黑木耳
茜草,木瓜,王不留行,牛膝,丹参,薏米仁
大力子,当归,白芍,羌活,荆芥,秦艽
地龙,牛膝,玉米须,川芎,地骨皮,夏枯草
鹿角霜,甲珠,水蛭,牛膝,野南瓜,天丁
党参,当归,白芍,丹参,何首乌,山药
乌头,天南星,木香,黑附子
桂枝,乌梢蛇,蜈蚣,草乌,全蝎,川芎
威灵仙,桂枝,白芍,当归,丹参,秦艽
威灵仙,白芍,当归,秦艽,川芎,白芷
党参,枣仁,干姜,甘草,半夏,茱萸
鸡血藤,威灵仙,桂枝,赤芍,蜈蚣,橘络
威灵仙,木瓜,五灵脂,牛膝,当归,黄耆
乌药,当归,羌活,川芎,防风,麻黄
桃仁,当归,红花,白芍,川芎,黄连
桂枝,桃仁,赤芍,路路通,穿山甲,麦冬
桃仁,赤芍,红花,当归,白芍,川芎
桃仁,乌药,红花,牛膝,穿山甲,柴胡
桃仁,赤芍,红花,白芥子,当归,白芍
木瓜,赤芍,蜈蚣,自然铜,黑木耳,全蝎
柿霜饼,真辽人参,防风,麝香,石膏,僵蚕
野芋头等量,草乌,天南星,川乌,半夏
党参,牛膝,三棱,莪术,白术,甘草
赤芍,红花,白酒,樟脑,路路通,天南星
赤芍,蒲公英,红花,薄荷,酒军,蝉蜕
党参,蜈蚣,当归,白芍,黄芪,羌活
鸡血藤,木瓜,白酒,寄生,海风藤,络石藤
黄芪,当归,牛膝,防风
赤芍,大豆,干地龙,防己,牛膝,秦艽
威灵仙,桂枝,桃仁,红花,防己,天南星
赤芍,红花,牛膝,当归,川芎,独活
桃仁,红花,丹参,没药,乳香,延胡索
五灵脂,三七,丹参,延胡索,九香虫,香附
蒲公英,橘络,丝瓜络,通草,全瓜蒌,橘叶
木瓜,透骨草,红花,当归,羌活,没药
鸡血藤,牛膝,白芍,当归,丹参,没药
蝎梢,藁本,当归,黄耆,天麻,川芎
当归,牛膝,羌活,天麻,地黄,独活
金铃子,赤芍,丹参,炙刺猬皮,炒五灵脂,炒九香虫
地龙,鸡血藤,赤芍,蜈蚣,牛膝,当归
鸡血藤,乌梢蛇,防己,眼镜蛇,七叶莲,银环蛇
乌梢蛇,酒
桃仁,赤芍,红花,路路通,当归,牛膝
地龙,威灵仙,刘寄奴,丹参,川芎,琥珀
桃仁,生赤芍,青连翘,犀角汁20毫升,淡竹沥60毫升,生姜汁2滴
桂枝,三七,丹参,山楂,槐花,冰片
蚯蚓,当归,天南星,羌活,荆芥,苍术
桂枝,木瓜,赤芍,甲珠,没药,秦艽
老君髯,二郎箭,九头狮子草,白花草
赤小豆,晚蚕沙,防己,薏仁,山栀,杏仁
地龙,桂枝,五灵脂,赤芍,当归,荆芥
鸡血藤,赤芍,党参,海风藤,牛膝,当归
鹿角霜,甲珠,水蛭,锁阳,片子姜黄,熟地
桃仁,党参,炮山甲粉,玉米须,地鳖虫,栀子
桂枝,北沙参,五味子,丹参,麦冬,益母草
白糖,夜交藤,粳米,枣仁
木瓜,白芍,当归,秦艽,蜜黄耆,防风
地龙,天南星,羌活,荆芥,天麻,没药
赤芍,黄精,佛手,五味子,山楂,金樱子
5条,当归,30克,30克,30克,30克
当归,没药,乳香,厚朴,白术,陈皮
桃仁,赤芍,山甲,红花,皂刺,黄耆
威灵仙,地龙,赤芍,寄生,三七,片姜黄
地龙,威灵仙,鸡血藤,木瓜,桃仁,伸筋草
