当归,川芎,藁本,防风,地黄,芍药
蝎梢,天麻,天南星,川芎,防风,石膏
威灵仙,刘寄奴,红花,白芥子,羌活,当归
地龙,五灵脂,桃仁,红花,牛膝,羌活
橘核,通草,荔枝核,山萸,煨三棱,煨莪术
王不留行,通草,当归,黄耆,川芎,熟地
酒精,75,破故纸
地龙,赤芍,桃仁,红花,黄耆,川芎
鹿角霜,党参,黄芪,羌活,当归,川断
桂枝,粳米,石膏,甘草,知母
樟丹,枯矾,麝香,冰片,龙骨
蜈蚣,山甲,皂刺,乳香,没药,知母
木瓜,桂枝,蜈蚣,牛膝,干地龙,防己
桂枝,通草,当归,枣仁,芍药,茱萸
白酒,大豆,麻子仁,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,川断,当归,乌药
蜈蚣,淡干姜,熟地,生地,川乌,甘草
地龙,乳香,没药,木鳖子,肉桂,丁香
江米酒,丹参,川芎,杜仲
鸡血藤,橘核,白芥子,丹参,金银花藤,丝瓜络
鸡血藤,蒲公英,双花,苍术,川断,石斛
鸡血藤,党参,黄芪,北沙参,络石藤,生地
红花,红花,诃子,青金石,麝香,草乌
木瓜,红花,草乌,麻黄,川乌,甘草
芎劳,防己,防风,秦艽,独活,石膏
桂枝,防己,甘草
赤芍,蜈蚣,钩藤,当归,白芍,丹参
鸡血藤,赤芍,赤小豆,牛膝,防己,当归
桃仁,瓜蒌根,红花,当归,穿山甲,柴胡
威灵仙,桂枝,乳香,没药,防风,荆芥
刘寄奴,王不留行,钩藤,金银花藤,宽筋藤,防风
鸡血藤,金银花,乌麻根,白木槿,三白草,臭梧桐
桂枝,防风,麻黄,芍药,甘草,白术
桂枝,赤芍,红花,归尾,防风,独活
桂枝,赤芍,当归,枣仁,甘草,生姜
桂枝,赤芍,当归,枣仁,甘草,生姜
地龙,威灵仙,当归,白僵蚕,桂心,木香
茜草,五灵脂,干地龙,丹参,远志,山楂
赤芍,红花,丹参,川芎,降香
桂枝,寄生,党参,牛膝,白芍,黄耆
桂枝,寄生,片姜黄,白芍,当归,秦艽
黄芪,当归,白芍,地黄,川芎,甘草
陈米醋,明矾,白凤仙花,蛇床子,五倍子,丹参
红花,花椒,当归,樟脑,肉桂,干姜
赤芍,黄芪,当归,丹参,苍术,益母草
木瓜,桂枝,干地龙,丹参,当归,川芎
赤芍,伸筋草,片姜黄,松节,归尾,路路通
赤芍,红花,乳香,没药,夏枯草,木香
透骨草,红花,三七,牛膝,防己,乳香
地龙,桃仁,蜈蚣,山甲,川断,木鳖子
刘寄奴,红花,钩藤,乳香,当归,没药
当归,乳香,丹参,没药
当归,乳香,丹参,没药
地龙,天南星,乳香,没药,草乌,川乌
赤芍,红花,防风,木香,丹皮,酒归尾
刘寄奴,赤芍,当归,川芎,生地,血竭
威灵仙,桃仁,红花,寄生,伸筋草,当归
茜草,刘寄奴,透骨草,松节,伸筋草,昆布
桂枝,当归,防风,黄芩,干姜,桔梗
桃仁,赤芍,当归,柴胡,枣仁,生地
木瓜,桔梗,槟榔,茱萸,陈皮,紫苏
金铃子,元胡,白芍,香缘皮,煅瓦楞,吴萸
威灵仙,桃仁,海风藤,牛膝,茵陈,全虫
透骨草,橘络,片姜黄,白芥子,丹参,当归
官桂,天麻,羌活,防风,枣仁,甘草
当归,天麻,天南星,川芎,羌活,防风
茜草,两头尖,延胡索,丹参,当归,川芎
桂枝,丹参,何首乌,干姜,阿胶,甘草
当归,白芍,柴胡,黄芩,桔梗,甘草
蜈蚣,杭白芍,全蝎,黄连,金银花,石膏
桃仁,炒芥穗,当归,益母草,川芎,炙草
党参,牛膝,莪术,三棱,甘草,茯苓
威灵仙,海风藤,山楂,防风,山药,薏仁
鹿角霜,赤芍,桃仁,白芥子,麻黄,熟地
鸡血藤,蜈蚣,寄生,钩藤,牛膝,天麻
地龙,威灵仙,木瓜,五灵脂,赤小豆,乌药
红花,白芍,牛膝,丹参,龟板,朱砂
木瓜,牛膝,锁阳,羌活,当归,远志
木瓜,牛膝,锁阳,羌活,白芍,当归
瓜蒌根,防己,羌活,防风,柴胡,滑石
威灵仙,牛膝,当归,续断,大独活,骨碎补
赤芍,党参,丹参,黄精,黄耆,郁金
地龙,乌梢蛇,全虫,白花蛇,蜂房
地龙,五灵脂,乳香,草乌,木鳖子,枫香脂
木瓜,鹿角霜,牛膝,地黄,羌活,黄耆
桃仁,乌药,当归,陈皮,青皮
赤芍,红花,丹参,黄连,玫瑰花,黄芩
木瓜,牛膝,龟甲,白芍,乳香,苍术
木瓜,茜草,王不留行,牛膝,丹参,黄柏
大力子,白芍,当归,羌活,川芎,防风
地龙,牛膝,玉米须,川芎,地骨皮,夏枯草
鹿角霜,甲珠,牛膝,水蛭,熟地,大伸筋
党参,白芍,当归,丹参,香附,山药
乌头,天南星,木香,黑附子
桂枝,乌梢蛇,蜈蚣,全蝎,川芎,草乌
威灵仙,桂枝,丹参,白芍,当归,秦艽
威灵仙,白芍,当归,川芎,秦艽,葛根
党参,枣仁,甘草,干姜,茱萸,陈皮
威灵仙,鸡血藤,桂枝,赤芍,橘络,蜈蚣
威灵仙,木瓜,五灵脂,牛膝,松节,当归
乌药,当归,川芎,羌活,防风,麻黄
桃仁,红花,白芍,当归,川芎,黄连
桂枝,桃仁,赤芍,穿山甲,路路通,郁金
赤芍,桃仁,红花,白芍,当归,川芎
桃仁,红花,乌药,牛膝,穿山甲,柴胡
赤芍,桃仁,红花,牛子,白芥子,白芍
木瓜,赤芍,蜈蚣,黑木耳,全蝎,川芎
真辽人参,柿霜饼,防风,麝香,石膏,僵蚕
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,莪术,三棱,甘草,茯苓
赤芍,白酒,红花,羌活,天南星,樟脑
赤芍,红花,蒲公英,薄荷,蝉蜕,白蒺藜
党参,蜈蚣,黄芪,当归,白芍,羌活
鸡血藤,木瓜,白酒,寄生,海风藤,络石藤
黄芪,当归,牛膝,防风
赤芍,大豆,牛膝,防己,干地龙,秦艽
威灵仙,桂枝,桃仁,红花,防己,元胡
赤芍,红花,牛膝,当归,川芎,独活
桃仁,红花,丹参,乳香,延胡索,没药
五灵脂,三七,延胡索,丹参,香附,九香虫
橘络,蒲公英,全瓜蒌,通草,橘叶,丝瓜络
木瓜,透骨草,红花,羌活,乳香,当归
鸡血藤,牛膝,延胡索,丹参,白芍,当归
蝎梢,天麻,当归,黄耆,藁本,川芎
当归,天麻,牛膝,羌活,地黄,独活
赤芍,金铃子,延胡索,丹参,砂仁,蒲黄
地龙,鸡血藤,赤芍,蜈蚣,牛膝,丹参
鸡血藤,乌梢蛇,防己,闹羊花,金环蛇,七叶莲
乌梢蛇,酒
赤芍,桃仁,红花,牛膝,当归,路路通
地龙,威灵仙,刘寄奴,丹参,川芎,紫草
桃仁,淡竹沥60毫升,生地,生姜汁2滴,犀角汁20毫升,生赤芍
桂枝,三七,丹参,山楂,黄芪,川芎
蚯蚓,当归,天南星,川芎,羌活,苍术
木瓜,桂枝,赤芍,甲珠,乳香,没药
老君髯,二郎箭,白花草,九头狮子草
赤小豆,晚蚕沙,防己,山栀,薏仁,滑石
地龙,桂枝,五灵脂,赤芍,当归,官桂
鸡血藤,赤芍,党参,牛膝,当归,乳香
鹿角霜,甲珠,水蛭,锁阳,熟地,片子姜黄
桃仁,党参,玉米须,地鳖虫,炮山甲粉,栀子
桂枝,五味子,丹参,益母草,北沙参,川芎
夜交藤,白糖,粳米,枣仁
木瓜,白芍,当归,防风,秦艽,熟地
地龙,羌活,天麻,天南星,乳香,没药
赤芍,佛手,五味子,黄精,山楂,金樱子
5条,于术,当归,30克,30克,30克
当归,乳香,没药,陈皮,厚朴,白术
赤芍,桃仁,红花,皂刺,山甲,黄耆
地龙,威灵仙,赤芍,三七,寄生,黄芪
地龙,威灵仙,鸡血藤,木瓜,桃仁,红花
