丹参,川芎,甘草,莲子心,薄荷,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连,黄芩
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,大黄,黄连,地龙,黄芩
椒目,艾曲,细辛,干姜,黑附子,桂
油,葱,活鲤鱼,苎麻根,糯米,盐
香油,白蜡,冰片面,生马钱子,以上8味药料,轻粉面
没药,葶苈,大戟,乳香,甘遂,黑牵牛
白花败酱草,辅料,丛枝蓼
车前子,青粱米
粳米,车前子
赤小豆,葱,辣椒,鸡汤,活鲤鱼1尾,草果
大腹子,紫苏,桑白皮,人参,五味子,陈皮
蟾酥,没药,血竭,乳香,硼砂,铜绿
蟾酥,没药,乳香,铜绿,枯矾,寒水石
花椒,铜绿,李仁,青盐,菊花,白矾
粳米,白糖,茶叶
冰片,没药,川军,赤芍,乳香,白芷
葶苈,紫苏,郁李仁,琥珀,沉香,防己
续随子,甘遂,黑牵牛,全蝎,白牵牛,青皮
板蓝根,连翘,白花蛇舌草,贝母,射干,荆芥
白胶香,蓖麻子仁
橘核,煨莪术,青盐,荔枝核,酒炒破故纸,煨三棱
冰片,枯矾,龙衣,胭脂,麝香5厘,陈皮
西瓜霜,西丹参,西月石,飞青黛,老式大泥冰,濂珠
大梅片,真熊胆,瓜制枪消,关犀黄,珍珠,枣仁
玄明粉,西月石,飞辰砂,炒僵蚕,梅冰
冰片,硼砂,青黛,山豆根,明矾丹参,皮硝
硼砂,马勃,人指甲,人中白,贝母,梅片5厘
大梅片,真熊胆,瓜制枪消,明硼砂,白玄明粉,明雄精
白芷,赤豆,紫荆皮,菖蒲,独活
白芷,川紫荆皮,木蜡,独活,芍药
白芷,薄荷,苍耳子,麻油,液状石腊,冰片粉
蒲公英,赤芍,三七,土鳖虫,自然铜,透骨草
没药,五倍子,赤芍,乳香,自然铜,苏木
乳香,北细辛,苍术,甘草
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,雄黄,火消,皂矾,水银
油,油,白蜡,商陆根,柳白皮,黄丹
