丹参,川芎,甘草,莲子心,当归,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连,槟榔
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,大黄,地龙,黄连,黄芩
椒目,艾曲,细辛,黑附子,桂,干姜
葱,油,活鲤鱼,苎麻根,姜,盐
香油,白蜡,冰片面,生马钱子,以上8味药料,黄柏
葶苈,大戟,乳香,没药,甘遂,黑牵牛
丛枝蓼,辅料,白花败酱草
车前子,青粱米
粳米,车前子
葱,赤小豆,活鲤鱼1尾,鸡汤,辣椒,姜
大腹子,紫苏,桑白皮,人参,陈皮,五味子
血竭,蟾酥,没药,乳香,铜绿,硼砂
蟾酥,乳香,没药,铜绿,寒水石,胆矾
花椒,铜绿,李仁,青盐,菊花,白矾
粳米,白糖,茶叶
冰片,乳香,没药,川军,赤芍,花粉
葶苈,紫苏,郁李仁,琥珀,泽泻,沉香
甘遂,续随子,黑牵牛,全蝎,白牵牛,萝卜子
板蓝根,连翘,白花蛇舌草,射干,贝母,荆芥
白胶香,蓖麻子仁
橘核,酒炒破故纸,荔枝核,煨莪术,煨三棱,青盐
冰片,龙衣,枯矾,麝香5厘,胭脂,陈皮
西瓜霜,西丹参,西月石,老式大泥冰,飞青黛,濂珠
大梅片,瓜制枪消,真熊胆,关犀黄,珍珠,枣仁
玄明粉,西月石,炒僵蚕,飞辰砂,梅冰
冰片,硼砂,山豆根,青黛,明矾丹参,皮硝
硼砂,青鱼胆,马勃,贝母,梅片5厘,人中白
大梅片,瓜制枪消,真熊胆,白玄明粉,明硼砂,直僵蚕
紫荆皮,赤豆,白芷,独活,菖蒲
川紫荆皮,白芷,木蜡,独活,芍药
白芷,苍耳子,辛夷,薄荷,液状石腊,冰片粉
蒲公英,土鳖虫,三七,自然铜,赤芍,透骨草
乳香,没药,五倍子,自然铜,赤芍,苏木
乳香,北细辛,苍术,甘草
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,皂矾,雄黄,朱砂,水银
白蜡,油,油,黄丹,商陆根,柳白皮
