丹参,川芎,甘草,薄荷,当归,朱砂
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,槟榔,黄连
白酒,鲜仙人掌,杏仁,羌活
乳香,地龙,黄柏,大黄,黄芩,黄连
艾曲,椒目,黑附子,桂,细辛,干姜
油,葱,苎麻根,活鲤鱼,糯米,姜
香油,白蜡,冰片面,黄柏,大黄,待温浓时再兑
没药,葶苈,乳香,甘遂,大戟,黑牵牛
白花败酱草,丛枝蓼,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,活鲤鱼1尾,辣椒,鸡汤,草果
大腹子,紫苏,桑白皮,人参,五味子,陈皮
血竭,没药,蟾酥,乳香,铜绿,硼砂
没药,蟾酥,乳香,铜绿,雄黄,寒水石
花椒,铜绿,李仁,青盐,菊花,蕤仁
粳米,白糖,茶叶
冰片,没药,乳香,赤芍,川军,花粉
葶苈,紫苏,琥珀,沉香,防己,杏仁
续随子,甘遂,黑牵牛,萝卜子,胡椒,荜澄茄
板蓝根,连翘,贝母,射干,白花蛇舌草,荆芥
蓖麻子仁,白胶香
橘核,青盐,煨三棱,酒炒破故纸,荔枝核,煨莪术
冰片,龙衣,枯矾,麝香5厘,胭脂,陈皮
西瓜霜,西丹参,西月石,濂珠,飞青黛,老式大泥冰
大梅片,真熊胆,瓜制枪消,关犀黄,珍珠,枣仁
玄明粉,西月石,飞辰砂,梅冰,炒僵蚕
冰片,硼砂,明矾丹参,山豆根,皮硝,青黛
硼砂,贝母,马勃,琥珀,青鱼胆,人指甲
大梅片,真熊胆,瓜制枪消,直僵蚕,明雄精,明硼砂
赤豆,白芷,紫荆皮,菖蒲,独活
川紫荆皮,白芷,木蜡,独活,芍药
薄荷,苍耳子,白芷,辛夷,冰片粉,液状石腊
蒲公英,三七,赤芍,土鳖虫,自然铜,透骨草
没药,乳香,五倍子,赤芍,自然铜,无名异
乳香,北细辛,苍术,甘草
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
硼砂,食盐,雄黄,皂矾,火消,白矾
油,油,黄丹,白蜡,商陆根,柳白皮
