丹参,川芎,甘草,当归,莲子心,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连,槟榔
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,大黄,地龙,黄连,黄芩
艾曲,椒目,细辛,干姜,黑附子,桂
葱,油,活鲤鱼,苎麻根,糯米,姜
香油,白蜡,冰片面,黄柏,煅蛤粉,青黛面
没药,葶苈,大戟,乳香,甘遂,黑牵牛
辅料,白花败酱草,丛枝蓼
车前子,青粱米
粳米,车前子
葱,赤小豆,辣椒,活鲤鱼1尾,鸡汤,姜
大腹子,紫苏,桑白皮,人参,陈皮,五味子
血竭,没药,蟾酥,乳香,硼砂,铜绿
没药,蟾酥,乳香,铜绿,寒水石,枯矾
花椒,铜绿,李仁,青盐,菊花,防风
粳米,白糖,茶叶
冰片,没药,乳香,川军,赤芍,花粉
葶苈,紫苏,郁李仁,琥珀,泽泻,沉香
甘遂,续随子,黑牵牛,全蝎,白牵牛,青皮
板蓝根,白花蛇舌草,连翘,贝母,射干,荆芥
蓖麻子仁,白胶香
橘核,荔枝核,煨莪术,酒炒破故纸,煨三棱,青盐
冰片,龙衣,枯矾,麝香5厘,胭脂,陈皮
西瓜霜,西丹参,西月石,濂珠,老式大泥冰,飞青黛
大梅片,瓜制枪消,真熊胆,关犀黄,珍珠,枣仁
玄明粉,梅冰,西月石,炒僵蚕,飞辰砂
冰片,硼砂,山豆根,青黛,明矾丹参,皮硝
硼砂,人指甲,珍珠,马勃,贝母,梅片5厘
大梅片,珍珠,瓜制枪消,真熊胆,明雄精,直僵蚕
紫荆皮,赤豆,白芷,菖蒲,独活
木蜡,白芷,川紫荆皮,独活,芍药
白芷,苍耳子,辛夷,液状石腊,冰片粉,麻油
蒲公英,三七,土鳖虫,赤芍,自然铜,透骨草
没药,乳香,五倍子,赤芍,自然铜,苏木
乳香,北细辛,苍术,甘草
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
硼砂,食盐,雄黄,皂矾,水银,火消
白蜡,黄丹,油,油,商陆根,柳白皮
