百部,麦冬,花粉,元参,桔梗,甘草
贝母,枇杷叶,杏仁,桑白皮,天冬,花粉
紫菀,杏仁,半夏,葶苈,桑白皮,五味子
杏仁,半夏,麻黄,桑白皮,紫苏,茯苓
紫菀,麦冬,款冬花,桑白皮,天冬,五味子
贝母,杏仁,苏子,茯苓,姜夏,南沙参
贝母,半夏,川芎,黄连,山楂,神曲
天南星,半夏,辰砂,白矾
天南星,半夏,辰砂,白矾
青粱米,车前子
粳米,车前子
杏仁,豆豉,厚朴,连翘,桔梗,苏梗
紫菀,马兜铃,丹砂,柴胡,牛膝,茯苓
贝母,麦冬,款冬花,百合,梨清膏
贝母,蜂蜜,葶苈,麻黄,桑白皮
贝母,枇杷叶,杏仁,白糖,柠檬酸5厘,苯甲酸
贝母,枇杷叶,桔梗,薄荷
贝母,蜂蜜,杏仁
贝母,冰糖,米汤
诃子,诃子,余甘子,悬钩子茎,野姜,木香膏
诃子,诃子,余甘子,悬钩子茎,野姜,木香膏
侧耳根,墨旱莲,矮茶风,五味子,女贞子,破故纸
贝母,猪脱氧胆酸,人工竺黄,青礞石,沉香,麝香
粳米,贝母,冰糖
粳米,贝母,砂糖
紫菀,贝母,百部,杏仁,五味子,甘草
贝母,杏仁,款冬花,五味子,知母,甘草
紫菀,贝母,杏仁,桔梗,甘草
贝母
紫菀,杏仁,半夏,百合,茯苓,黄芪
百部,白酒
百部,杏仁,麻黄
粳米,杏仁,白糖,鲜百合
贝母,麦冬,百合,地黄,地黄,当归
玄明粉,白粉霜,河南真绿豆粉,白硼砂,白檀香,柿霜
冰糖,白及
瓜蒌子,半夏
郁李仁,半夏,槟榔,木香,陈皮
白砂糖,北杏,雪梨
冰糖,南天烛子
檀香,白葡萄干,拳参,北沙参,丁香,红花
檀香,白葡萄干,拳参,北沙参,丁香,红花
贝母,麦冬,天冬,五味子,川芎,当归
诃子,百部,白糖,乌梅,花粉,党参
贝母,枇杷叶,杏仁,麻黄,葶苈,苏子
杏仁,杏仁,麻黄,五味子,香精,苯甲酸钠
麻黄,五味子,桔梗,石膏,木香,陈皮
贝母,杏仁,麦冬,白蒺藜,白蒺藜,杭菊
杏仁,鼠粘子,马兜铃,糯米,阿胶,甘草
紫菀,枇杷叶,百部,杏仁,麻黄,大青叶
广皮,半夏,茯苓,厚朴,苍术,甘草
贝母,半夏,茯苓,知母,陈皮,甘草
百部,麦冬,天冬,天竺黄,瓜蒌仁,竹茹
贝母,麦冬,知母,天门冬
蜂蜜,白皮大萝卜
乌梅,五味子,硼砂,甘草,陈皮,薄荷
百部,鱼腥草,穿心莲,开金锁,生干蟾
矮地茶,铁包金,岗梅,金樱子,沙参
杏仁,蒲公英,松塔,黄豆,冰片
贝母,半夏,五味子,远志,麻黄浸膏,桔梗
平地木,四季青,干日红,鼠曲草
益智,半夏,萆薢,地黄,地黄,天麻
萝卜,橄榄
杏仁,半夏,生姜,桂枝,黄连,瓜蒌皮
干生姜,红皮,拣桂,半夏,白术,茯苓
干生姜,红皮,拣桂,半夏,白术,茯苓
诃子,杏仁,通草
诃子,甘草6,6厘米,桔梗
蛤蚧,款冬花,成炼钟乳,肉桂,白矾,甘草
贝母,杏仁,蛤蚧,半夏,桑白皮,天冬
诃子,蛤蚧,地黄,细辛,麦门冬,阿胶
白糖,菊花
皂角,枯白矾
旋复花25公斤,黄芩35公斤,猪牙皂角7,明矾10公斤,细辛12,花椒5公斤
杏仁,麻黄,桑白皮,紫苏,茯苓,陈皮
杏仁,麻黄,桑白皮,紫苏,茯苓,陈皮
天南星,元芩,清夏,海浮石,蒌仁,花粉
天南星,半夏,金箔,腻粉,山药,白矾
贝母,杏仁,半夏,紫苏,花粉,枳壳
贝母,杏仁,半夏,紫苏,花粉,枳壳
平地木,鱼腥草,蒲公英,小蓟,败酱草,鸭跖草
橘饼
紫菀,贝母,杏仁,款冬花,半夏,麻黄
紫菀,贝母,杏仁,半夏,马兜铃,五味子
紫菀,贝母,杏仁,麦冬,款冬花,半夏
粳米,陈皮
麦冬,青皮,桔梗,甘草,黄耆,人参
紫菀,鱼腥草,麻黄,四季青,枳壳,金荞麦
百部,款冬花,苏子,生姜,桔梗,陈皮
杏仁,五味子,百合,知母,麦门冬,天门冬
杏仁,栝楼,半夏,麻黄,小枳实,1
贝母,麦冬,款冬花,桑白皮,天冬,五味子
三仙饮,炙桑白皮
百部,穿心莲,葎草,玉竹,黄精,白及
檀香,高山辣根菜,石灰华,洪连,榜嘎,红景天
檀香,高山辣根菜,石灰华,洪连,榜嘎,红景天
贝母,杏仁,款冬花,麻黄,半夏,知母
紫菀,款冬花,半夏,五味子,白术,川芎
枇杷叶,瓜子草,蛇衔草,鹿衔草,肺筋草,铜钱草
杏仁,牛蒡,麻黄,紫苏,花粉,射干
紫菀,杏仁,款冬花,桑白皮,五味子,紫苏
粳米,花生仁
粳米,冰糖,落花生
