珍珠母,磁石,赭石,酒曲,酒曲,牛膝
枣仁,甘草,小麦
朱砂,珍珠,天竺黄,琥珀,防风,天麻
辰砂,黄芩,郁金,丹参,山栀仁,黄连
琥珀,天麻,乌蛇,丹参,干蝎,天南星
枣仁,远志,黄芩,贝母,瓜蒌,陈皮
茯神,柏子仁,干姜,当归,炙草,人参
茯神,金箔,珍珠,枣仁,远志,独活
茯神,枣仁,琥珀,辰砂,乳香,人参
茯神,枣仁,朱砂,远志,琥珀,柏子仁
枣仁,辰砂,人参
菖蒲,安神膏,五味子,丹参
珍珠母,合欢皮,菖蒲,夜交藤,丹参,旱莲草
远志,麦冬,石莲肉,芡实,人参,莲须
茯神,枣仁,远志,琥珀,黄耆,生地
茯神,朱砂,远志,麦门冬,天麻,人参
茯神,枣仁,远志,菖蒲,黄耆,当归
茯神,枣仁,远志,牡蛎,生地,当归
茯神,远志,菖蒲,杏仁,麦冬,陈皮
菖蒲,龙齿
朱砂,当归,地黄,甘草,黄连
枣仁,珍珠,天竺黄,琥珀,当归,人参
合欢皮,合欢花,桑椹子,夜交藤,丹参,女贞子
金箔,朱砂,琥珀,防风,天麻,山药
茯神,菖蒲,当归,全蝎,龙胆草,黄连
茯神,枣仁,朱砂,生地,当归,白参
茯神,珍珠母,枣仁,朱砂,合欢花,琥珀
朱砂,麦冬,知母,天冬,黄连
茯神,远志,铁粉,细辛,辰砂,菖蒲
茯神,远志,铁粉,细辛,辰砂,菖蒲
茯神,枣仁,朱砂,乳香,代赭石,麝香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,桂心,牛膝,人参
枣仁,黄芩,大黄,牡蛎,桂枝,龙骨
大龟
茯神,远志,熟地,黄耆,枸杞,当归
枣仁,夜交藤,百合,淮小麦,莲肉,甘草
朱砂,大黄,天麻,当归,赤金,僵蚕
朱砂,天竺黄,苍术,丹参,钩藤,天南星
白糖,粳米,杏仁,鲜百合
大米,芡实,山药,糯米,莲肉
枣仁,朱砂,麦门冬,生龙脑,人参,甘草
枣仁,远志,柏子仁,黄耆,当归,五味子
枣仁,朱砂,远志,柏子仁,当归,党参
茯神,柏子仁,菖蒲,熟地,麦门冬,枸杞
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,白术,党参,浮小麦
鹿角霜,柏子仁,鹿角胶,菟丝子,地黄
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,菖蒲,麦门冬,人参,白术
枣仁,大米,薏仁,山药,芡实,百合
檀香,枣仁,天竺黄,红花,北沙参,紫檀香
檀香,枣仁,天竺黄,红花,北沙参,紫檀香
枣仁,石灰华,乳香,木香,木棉花,沉香
枣仁,石灰华,乳香,木香,木棉花,沉香
朱砂,磁石,人中黄,乳香,代赭石,禹余粮
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,珍珠,天竺黄,远志,琥珀,辰砂
远志,珍珠,琥珀,天竺黄,天麻,防风
枣仁,巴戟,覆盆子,柏子仁,枸杞,菊花
辰砂,琥珀,防风,天麻,天南星,僵蚕
茯神,朱砂,琥珀,防风,天麻,犀角
琥珀,珍珠,丹参,马宝,龙涎香
檀香,熊胆,赤小豆,轻粉,牵牛,鹤虱
远志,巴戟,细辛,覆盆子,菖蒲,枸杞
茯神,丹皮,生地,莲子心30支,莹白童便150毫升,原麦冬
茯神,黑附子,熟地,郁金,龙齿,当归
茯神,枣仁,远志,熟地,当归,酒炒白芍
茯神,朱砂,远志,菖蒲,麦冬,人参
蝎梢,丁香,半夏
茯神,枣仁,远志,柏子仁,黄耆,五味子
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,白术,人参,僵蚕
金箔,枣仁,辰砂,麦门冬,白术,蚌粉
陈曲,肉苁蓉,枸杞,甘菊,桂,地黄
朱砂,天竺黄,天麻,丹参,人参,生龙脑
茯神,天竺黄,远志,琥珀,菖蒲,铅霜
菖蒲,麦门冬,当归,贝母,天门冬,丹参
米酒,丹参
辰砂,菖蒲,紫贝齿,丹参,琥珀末,灵磁石
枣仁,生地,麦冬,木通,甘草,茯苓
远志,覆盆子,菖蒲,柏子仁,枸杞,熟地
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,草果,红花
茯神,远志,菖蒲,麦门冬,人参,丹参
