珍珠母,磁石,赭石,酒曲,半夏,酒曲
枣仁,小麦,甘草
朱砂,天竺黄,珍珠,防风,琥珀,钩藤
辰砂,黄芩,郁金,丹参,黄连,山栀仁
琥珀,天麻,乌蛇,丹参,天南星,龙脑
枣仁,远志,黄芩,贝母,瓜蒌,陈皮
茯神,柏子仁,干姜,当归,益智,炙草
茯神,金箔,枣仁,远志,珍珠,辰砂
茯神,枣仁,辰砂,琥珀,乳香,人参
茯神,枣仁,朱砂,远志,琥珀,菖蒲
枣仁,辰砂,人参
安神膏,菖蒲,五味子,丹参
珍珠母,合欢皮,夜交藤,菖蒲,女贞子,旱莲草
远志,芡实,石莲肉,麦冬,人参,莲须
茯神,枣仁,远志,琥珀,生地,黄耆
茯神,朱砂,远志,麦门冬,莲肉,天麻
茯神,枣仁,远志,菖蒲,黄耆,杭芍
茯神,枣仁,远志,生地,芡实,牡蛎
茯神,远志,菖蒲,麦冬,桔梗,杏仁
菖蒲,龙齿
朱砂,当归,地黄,黄连,甘草
枣仁,天竺黄,珍珠,琥珀,当归,丹参
合欢皮,合欢花,夜交藤,桑椹子,女贞子,丹参
金箔,朱砂,琥珀,防风,天麻,地黄
茯神,菖蒲,当归,黄连,全蝎,龙胆草
茯神,枣仁,朱砂,生地,当归,白参
茯神,珍珠母,枣仁,朱砂,合欢花,夜交藤
朱砂,麦冬,天冬,知母,黄连
茯神,远志,细辛,辰砂,铁粉,菖蒲
茯神,远志,细辛,辰砂,铁粉,菖蒲
茯神,枣仁,朱砂,乳香,代赭石,麝香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,桂心,牛膝,人参
枣仁,黄芩,桂枝,牡蛎,大黄,人参
大龟
茯神,远志,黄耆,枸杞,熟地,海狗肾
枣仁,夜交藤,莲肉,百合,淮小麦,甘草
朱砂,大黄,当归,天麻,赤金,黄土
朱砂,天竺黄,钩藤,苍术,丹参,天南星
白糖,粳米,鲜百合,杏仁
大米,芡实,糯米,莲肉,山药
枣仁,朱砂,麦门冬,人参,生龙脑,甘草
枣仁,远志,柏子仁,黄耆,当归,五味子
枣仁,朱砂,远志,柏子仁,当归,五味子
茯神,菖蒲,柏子仁,枸杞,麦门冬,熟地
柏子仁,粳米,蜂蜜
柏子仁,粳米,蜂蜜
枣仁,柏子仁,牡蛎,浮小麦,五味子,麻黄根
柏子仁,鹿角霜,鹿角胶,菟丝子,地黄
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,菖蒲,麦门冬,丹参,人参
枣仁,大米,芡实,薏仁,莲肉,扁豆
檀香,枣仁,天竺黄,红花,北沙参,紫檀香
檀香,枣仁,天竺黄,红花,北沙参,紫檀香
枣仁,石灰华,乳香,木棉花,诃子,沉香
枣仁,石灰华,乳香,木棉花,诃子,沉香
朱砂,磁石,没药,乳香,代赭石,人中黄
朱砂,胆南星,神曲,巴豆
金箔,腻粉
茯神,远志,天竺黄,珍珠,辰砂,防风
远志,天竺黄,琥珀,珍珠,防风,贝母
枣仁,巴戟,覆盆子,柏子仁,枸杞,肉苁蓉
辰砂,琥珀,防风,天麻,天南星,全蝎
茯神,朱砂,防风,琥珀,犀角,麝1字
琥珀,珍珠,马宝,丹参,龙涎香
檀香,黄芩,赤小豆,熊胆,鹤虱,牵牛
远志,巴戟,细辛,覆盆子,菖蒲,肉苁蓉
茯神,丹皮,生地,莹白童便150毫升,原麦冬,莲子心30支
茯神,黑附子,郁金,熟地,当归,龙齿
茯神,枣仁,远志,熟地,当归,酒炒白芍
茯神,朱砂,远志,菖蒲,麦冬,人参
蝎梢,半夏,丁香
茯神,枣仁,远志,柏子仁,黄耆,五味子
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,大赭石,金银箔,人参
金箔,枣仁,辰砂,麦门冬,大赭石,蚌粉
陈曲,枸杞,肉苁蓉,桂,地黄,甘菊
朱砂,天竺黄,天麻,丹参,生龙脑,人参
茯神,远志,天竺黄,琥珀,菖蒲,铅霜
菖蒲,麦门冬,贝母,五味子,当归,丹参
米酒,丹参
辰砂,青龙齿,菖蒲,丹参,紫贝齿,琥珀末
枣仁,生地,麦冬,黄连,木通,玄参
远志,覆盆子,菖蒲,柏子仁,枸杞,生地
石灰华,珍珠,麝香等药味加工制成的丸剂,红花,丹参,草果
茯神,远志,菖蒲,麦门冬,丹参,天门冬
寒水石,桂枝,牡蛎,大黄,干姜,白石脂
茯神,枣仁,远志,细辛,防风,干姜
米粉,白糖等份,茯苓细粉
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,天南星,真铁粉
茯神,远志,辰砂,菖蒲,天南星,真铁粉
茯神,枣仁,远志,细辛,防风,干姜
茯神,防风,黄芩,麦门冬,龙齿,白鲜
茯神,枣仁,远志,细辛,防风,干姜
茯神,菖蒲,芍药,丹皮,生地,麦门冬
寄生,风仙花全草,五味子,益母草,泽兰
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,芍药,牡蛎,桂心,龙骨,生姜
朱砂,21克
珍珠母,丹皮,仙茅酒,磁石,钩藤,五味子
枣仁,枣仁,远志,龙眼肉,当归,党参
獖猪心,颗块朱砂,灯心
茯神,金箔,枣仁,远志,深红琥珀,当归
茯神,远志,山萸,五味子,山药,黄柏
远志,菖蒲,五味子,当归,茱萸,人参
远志,菖蒲,茜草,干地龙,丹参,薤白
朱砂,琥珀,当归,白僵蚕,百草霜,血苗灰
茯神,枣仁,黄芩,芍药,秦艽,黄耆
牡丹,覆盆子,鹿角胶,五味子,黑附子,黄耆
拣人参,乌犀角,防风,肉苁蓉,枸杞,麦门冬
甘桑椹,黄精,枸杞,麦门冬,天门冬,牛膝
远志,巴戟,菖蒲,枸杞,肉苁蓉,五味子
朱砂,芍药,黄芩,枳壳,栀子,槟榔
朱砂,远志,琥珀,菖蒲,白芍,丹参
茯神,枣仁,朱砂,远志,琥珀,菖蒲
