珍珠母,磁石,酒曲,赭石,半夏,牛膝
枣仁,小麦,甘草
朱砂,琥珀,珍珠,天竺黄,天麻,防风
辰砂,黄芩,丹参,郁金,黄连,山栀仁
琥珀,天麻,乌蛇,丹参,龙脑,雄黄
枣仁,远志,黄芩,贝母,陈皮,瓜蒌
茯神,柏子仁,干姜,当归,川芎,益智
茯神,金箔,远志,珍珠,枣仁,辰砂
茯神,枣仁,辰砂,琥珀,乳香,人参
茯神,远志,朱砂,枣仁,琥珀,菖蒲
枣仁,辰砂,人参
安神膏,菖蒲,五味子,丹参
珍珠母,夜交藤,菖蒲,合欢皮,丹参,旱莲草
远志,石莲肉,芡实,麦冬,人参,莲须
茯神,远志,枣仁,琥珀,生地,黄耆
茯神,远志,朱砂,天麻,麦门冬,人参
茯神,远志,枣仁,菖蒲,黄耆,党参
茯神,远志,枣仁,生地,牡蛎,芡实
茯神,远志,菖蒲,杏仁,陈皮,麦冬
菖蒲,龙齿
朱砂,当归,地黄,黄连,甘草
枣仁,珍珠,天竺黄,琥珀,当归,陈皮
夜交藤,合欢花,合欢皮,桑椹子,丹参,女贞子
金箔,朱砂,琥珀,防风,天麻,人参
茯神,菖蒲,当归,黄连,全蝎,龙胆草
茯神,朱砂,枣仁,生地,白术,当归
茯神,朱砂,珍珠母,枣仁,夜交藤,合欢花
朱砂,黄连,麦冬,天冬,知母
茯神,远志,细辛,辰砂,菖蒲,天麻
茯神,远志,细辛,辰砂,菖蒲,天麻
茯神,朱砂,枣仁,乳香,代赭石,麝香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,桂心,菖蒲,黑附子,牛膝,人参
枣仁,黄芩,牡蛎,铅丹,桂枝,柴胡
大龟
茯神,远志,熟地,黄耆,白芍,枸杞
枣仁,夜交藤,莲肉,百合,淮小麦,甘草
朱砂,天麻,赤金,黄土,大黄,当归
朱砂,天竺黄,苍术,陈皮,钩藤,丹参
粳米,白糖,鲜百合,杏仁
大米,芡实,糯米,莲肉,山药
枣仁,朱砂,麦门冬,人参,生龙脑,茯苓
枣仁,远志,黄耆,柏子仁,当归,人参
枣仁,远志,朱砂,柏子仁,党参,当归
茯神,菖蒲,熟地,柏子仁,麦门冬,枸杞
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,浮小麦,党参,白术
柏子仁,鹿角霜,鹿角胶,菟丝子,地黄
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,菖蒲,麦门冬,丹参,人参
枣仁,大米,薏仁,芡实,莲肉,百合
枣仁,檀香,天竺黄,红花,紫檀香,北沙参
枣仁,檀香,天竺黄,红花,紫檀香,北沙参
枣仁,石灰华,木棉花,诃子,乳香,沉香
枣仁,石灰华,木棉花,诃子,乳香,沉香
朱砂,磁石,乳香,人中黄,代赭石,没药
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,远志,珍珠,天竺黄,辰砂,琥珀
远志,琥珀,天竺黄,珍珠,天麻,防风
枣仁,巴戟,覆盆子,天门冬,菊花,柏子仁
辰砂,琥珀,天麻,防风,天南星,麝香
茯神,朱砂,琥珀,防风,天麻,犀角
琥珀,珍珠,丹参,马宝,龙涎香
檀香,黄芩,轻粉,熊胆,赤小豆,鹤虱
