珍珠母,磁石,酒曲,赭石,酒曲,半夏
枣仁,甘草,小麦
朱砂,天竺黄,珍珠,琥珀,天麻,防风
辰砂,郁金,黄芩,丹参,山栀仁,黄连
琥珀,天麻,乌蛇,龙脑,丹参,白附子
枣仁,远志,黄芩,贝母,陈皮,半夏
茯神,柏子仁,干姜,当归,炙草,陈皮
茯神,金箔,珍珠,枣仁,远志,辰砂
茯神,枣仁,琥珀,辰砂,人参,乳香
茯神,枣仁,朱砂,远志,琥珀,菖蒲
枣仁,辰砂,人参
菖蒲,安神膏,丹参,五味子
珍珠母,合欢皮,夜交藤,菖蒲,丹参,旱莲草
远志,石莲肉,芡实,麦冬,人参,莲须
茯神,枣仁,远志,琥珀,黄耆,生地
茯神,朱砂,远志,麦门冬,天麻,白附子
茯神,枣仁,远志,菖蒲,黄耆,当归
茯神,枣仁,远志,牡蛎,芡实,生地
茯神,远志,菖蒲,麦冬,陈皮,杏仁
菖蒲,龙齿
朱砂,当归,地黄,甘草,黄连
枣仁,天竺黄,珍珠,琥珀,丹参,当归
夜交藤,合欢花,合欢皮,桑椹子,女贞子,丹参
金箔,琥珀,朱砂,天麻,防风,山药
茯神,菖蒲,当归,全蝎,龙胆草,黄连
茯神,枣仁,朱砂,生地,当归,白术
茯神,珍珠母,枣仁,朱砂,合欢花,琥珀
朱砂,麦冬,知母,天冬,黄连
茯神,远志,铁粉,辰砂,菖蒲,细辛
茯神,远志,铁粉,辰砂,菖蒲,细辛
茯神,枣仁,朱砂,麝香,乳香,代赭石
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,桂心,牛膝,人参
枣仁,桂枝,牡蛎,黄芩,大黄,人参
大龟
茯神,远志,黄耆,枸杞,熟地,当归
枣仁,夜交藤,百合,莲肉,淮小麦,甘草
朱砂,天麻,当归,大黄,全蝎,僵蚕
朱砂,天竺黄,苍术,丹参,钩藤,天南星
白糖,粳米,鲜百合,杏仁
大米,芡实,山药,糯米,莲肉
枣仁,朱砂,麦门冬,人参,茯苓,生龙脑
枣仁,远志,柏子仁,黄耆,当归,五味子
枣仁,朱砂,远志,柏子仁,当归,五味子
茯神,菖蒲,柏子仁,麦门冬,枸杞,熟地
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,白术,五味子,浮小麦
鹿角霜,柏子仁,鹿角胶,菟丝子,地黄
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,菖蒲,麦门冬,丹参,白术
枣仁,大米,薏仁,芡实,山药,百合
檀香,枣仁,天竺黄,红花,沉香,北沙参
檀香,枣仁,天竺黄,红花,沉香,北沙参
枣仁,石灰华,沉香,乳香,诃子,木香
枣仁,石灰华,沉香,乳香,诃子,木香
朱砂,磁石,乳香,没药,人中黄,禹余粮
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,珍珠,天竺黄,远志,琥珀,辰砂
天竺黄,珍珠,远志,琥珀,天麻,防风
枣仁,巴戟,覆盆子,柏子仁,肉苁蓉,枸杞
琥珀,辰砂,天麻,防风,白附子,天南星
茯神,朱砂,琥珀,防风,天麻,犀角
珍珠,琥珀,丹参,马宝,龙涎香
檀香,牵牛,黄芩,鹤虱,熊胆,赤小豆
远志,巴戟,覆盆子,菖蒲,肉苁蓉,枸杞
茯神,丹皮,生地,原麦冬,细木通,辰砂染灯心20支
茯神,黑附子,郁金,龙齿,熟地,当归
茯神,枣仁,远志,熟地,当归,酒炒白芍
茯神,朱砂,远志,菖蒲,麦冬,白术
蝎梢,半夏,丁香
茯神,枣仁,远志,柏子仁,黄耆,五味子
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,白术,人参,全蝎
金箔,枣仁,辰砂,麦门冬,银箔,蚌粉
陈曲,枸杞,肉苁蓉,桂,地黄,甘菊
朱砂,天竺黄,天麻,丹参,麝香,人参
茯神,天竺黄,远志,琥珀,菖蒲,天麻
菖蒲,麦门冬,贝母,天门冬,丹参,当归
辰砂,菖蒲,青龙齿,丹参,紫贝齿,灵磁石
枣仁,麦冬,生地,木通,茯苓,玄参
远志,覆盆子,柏子仁,菖蒲,肉苁蓉,麦门冬
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,红花,草果
茯神,远志,菖蒲,麦门冬,丹参,天门冬
寒水石,桂枝,牡蛎,干姜,白石脂,紫石英
茯神,枣仁,远志,防风,独活,细辛
茯苓细粉,米粉,白糖等份
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,天南星,人参
茯神,远志,辰砂,菖蒲,天南星,人参
茯神,枣仁,远志,桂心,防风,独活
茯神,防风,麦门冬,龙齿,黄芩,枳实
茯神,枣仁,远志,桂心,防风,独活
茯神,菖蒲,芍药,麦门冬,丹皮,石斛
寄生,风仙花全草,益母草,五味子,泽兰
枣仁,甘草,小麦
枣仁,甘草,小麦
枣仁,甘草,小麦
桂枝,牡蛎,龙骨,甘草
枣仁,桂心,芍药,牡蛎,龙骨,甘草
朱砂,21克
珍珠母,丹皮,磁石,仙茅酒,麦冬,钩藤
枣仁,枣仁,远志,龙眼肉,当归,白术
獖猪心,颗块朱砂,灯心
茯神,金箔,枣仁,远志,龙齿,当归
茯神,远志,山药,山萸,五味子,黄柏
远志,菖蒲,当归,五味子,茱萸,人参
远志,菖蒲,丹参,陈皮,杏仁,旋覆花
朱砂,琥珀,当归,白附子,白僵蚕,百草霜
