半夏,白芥子,白术,薏仁,益智,芡实
水牛角浓缩粉,黄芪,党参,郁金,薄荷,甘松
天南星,银箔,朱砂,金箔,川甜消,铁粉
天竺黄,天南星,生龙脑,金箔,雄黄,腻粉
银箔,金箔,牙消,朱砂,龙脑,蛤粉
天竺黄,天南星,僵蚕,朱砂,全蝎,琥珀
天竺黄,真珠,龙脑,朱砂,升麻,犀角屑
百部,元参,桔梗,陈皮,麦冬,花粉
贝母,半夏,远志,陈皮,瓜蒌,黄芩
半夏,天南星,僵蚕,远志,金箔,陈皮
半夏,葶苈,紫菀,紫苏,杏仁,桔梗
半夏,缩砂仁,紫苏,杏仁,桔梗,陈皮
半夏,紫苏,杏仁,桔梗,陈皮,千葛
紫菀,款冬花,桔梗,五味子,牛膝,麦冬
半夏,远志,杏仁,桔梗,陈皮,菖蒲
银箔,金箔,朱砂,远志,白僵蚕,花蛇肉
天南星,黑附子,白术,白附子,茯苓
贝母,薄荷,小木通,金银花,桑叶,枇杷叶
贝母,半夏,芍药,陈皮,桔梗,枳实
陈茶叶,粳米
半夏,丁香,全蝎,术香,肉豆蔻,砂仁
半夏,天南星,山芋,远志,辰砂,铁粉
天南星,辰砂,二,天麻,白附子,麝香
天南星,辰砂,天麻,白附子,麝香,白芷
半夏,天南星,辰砂,白矾
半夏,天南星,皂角,陈皮,神曲,麦糵
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,草果仁,桔梗,茯苓,生姜,甘草
粳米,茶叶,白糖
半夏,陈皮,茱萸,苍术,神曲,砂仁
半夏,陈皮,茱萸,苍术,黄连,茯苓
山芋,陈皮,牛膝,五味子,柏子仁,地黄
半夏,柴胡,陈皮,生姜,甘草
贝母,半夏,芍药,夏枯草,柴胡,桔梗
半夏,柴胡,薄荷,山栀,丹皮,赤芍
贝母,葶苈,蜂蜜,桑白皮,麻黄
贝母,杏仁,白糖,桔梗,柠檬酸5厘,杨梅香精
贝母,薄荷,桔梗,枇杷叶
贝母,杏仁,蜂蜜
半夏,钩藤,牛膝,薏仁,白蔻,赤芍
七十五,三十,两细辛,二十,桔梗,龙脑
150克,780克,12千克,09千克,1,薄荷
苏合香,吃力伽,脑香,诃梨勒皮,熏陆香,丁子香
贝母,青礞石,硼砂,猪脱氧胆酸,人工竺黄,麝香
贝母,粳米,冰糖
贝母,粳米,砂糖
贝母,陈皮,桔梗,瓜蒌,花粉,茯苓
贝母,紫菀,百部,杏仁,五味子,甘草
贝母,款冬花,杏仁,五味子,知母,甘草
贝母,杏仁,柴胡,麻黄,茯苓,百合
贝母,紫菀,杏仁,桔梗,甘草
紫菀,五味子,地黄,黄耆,桑白皮,人参
半夏,胆南星,远志,黄芪,当归,茯神
