半夏,白芥子,白术,薏仁,芡实,益智
水牛角浓缩粉,黄芪,党参,郁金,甘松,薄荷
天南星,银箔,川甜消,金箔,朱砂,铁粉
天竺黄,天南星,生龙脑,金箔,雄黄,腻粉
银箔,金箔,牙消,龙脑,朱砂,雄黄
天竺黄,天南星,僵蚕,朱砂,全蝎,雄黄
天竺黄,升麻,真珠,朱砂,龙脑,黄芩
百部,桔梗,元参,陈皮,麦冬,花粉
贝母,半夏,远志,陈皮,黄芩,瓜蒌
半夏,天南星,金箔,远志,僵蚕,辰砂
半夏,紫菀,杏仁,葶苈,桔梗,陈皮
半夏,缩砂仁,杏仁,桔梗,陈皮,紫苏
半夏,杏仁,桔梗,陈皮,紫苏,前胡
紫菀,款冬花,桔梗,牛膝,天冬,麦冬
远志,辰砂,白术,菖蒲,茯神,麦门冬
半夏,远志,杏仁,桔梗,麦冬,陈皮
银箔,远志,金箔,朱砂,花蛇肉,白僵蚕
天南星,黑附子,白术,白附子,茯苓
贝母,金银花,小木通,枇杷叶,葛根,薄荷
贝母,半夏,芍药,桔梗,陈皮,苍术
陈茶叶,粳米
半夏,全蝎,丁香,术香,肉豆蔻,枳壳
半夏,天南星,山芋,远志,辰砂,天麻
天南星,辰砂,二,天麻,白附子,麝香
天南星,辰砂,天麻,白附子,麝香,川芎
半夏,天南星,辰砂,白矾
半夏,天南星,皂角,陈皮,麦糵,神曲
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,茯苓,生姜,甘草
茶叶,白糖,粳米
半夏,茱萸,陈皮,苍术,茯苓,神曲
半夏,茱萸,陈皮,苍术,茯苓,黄连
山芋,牛膝,地黄,陈皮,枸杞,柏子仁
灵脂,牙皂,二丑,沉香,香附,大黄
半夏,柴胡,陈皮,生姜,甘草
贝母,半夏,芍药,桔梗,柴胡,夏枯草
半夏,柴胡,黄芩,红花,苏叶,薄荷
贝母,葶苈,蜂蜜,麻黄,桑白皮
贝母,白糖,杏仁,桔梗,苯甲酸,尼泊金
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
半夏,牛膝,薏仁,钩藤,白蔻,白蒺藜
