红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,生地,孩儿参,茯苓
红花,刘寄奴,姜黄,桑枝,芥子,路通
虎杖,茜草,生鳖甲,蚤休,全瓜蒌,莪术
地龙,荆芥,全蝎,细辛,川芎,防风
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,人参,乌扇,紫葳
自然铜,没药,乳香,土鳖
三七,黑豆,血琥珀,鸡血藤膏,骨碎补,川续断
桃仁,红花,栝楼,薤白,当归尾,柴胡
三七,香油,没药,血竭,樟脑,乳香
没药,乳香,天花粉,山甲,皂刺,全蜈蚣
丹参,芎藭,杜仲
桃仁,泽兰,红花,白芍药,丹皮,元胡索
红花,三七,血竭,乳香,苏木,生地
桃仁,虫,干地黄,蛴螬,虻虫,水蛭
地龙,自然铜,没药,丹皮,肉桂,乳香
泽兰,丹参,黑豆,玄胡,楂炭,焦艾
桃仁,丹参,没药,苏木,细辛,乳香
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,莪术,三棱,穿山甲,赤芍
玄胡,没药,丹皮,乳香,赤芍,金银花
桃仁,红花,玄胡,川楝,桂枝,小茴香
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,穿山甲,柴胡,大黄
虫,全虫,蜈蚣,川山甲
桃仁,红花,五灵脂,玄胡,丹皮,乌药
桃仁,红花,玄胡,灵脂,丹皮,乌药
丹参,郁金,乌药,川楝,柴胡,百合
桃仁,桂枝,牡丹,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,泽兰,红花,归尾,玄胡,牛膝
桃仁,丹参,莪术,三棱,赤芍
桃仁,丹参,莪术,三棱,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,熟干地黄,芍药,当归
元胡,没药,丹皮,乳香,大黄,连翘
红花,75,酒精
丹参,丁香,石菖蒲,豆豉,龙齿,参三七
紫苏,何首乌,肉桂,乌药,香附,赤芍
红花,紫苏,黄连,苏木,乳香,莪术
归尾,伸筋草,松节,路路通,姜黄,活
