没药,乳香,白粟米,乌梅,白莴苣子
铜绿,蓖麻仁,片松香,杏仁
鹅不食草,踯躅花,羌活,荆芥,蔓荆子,黄连
草乌,威灵仙,紫荆皮,藁本,半夏,黄芩
赤小豆,芙蓉叶,甘草,五倍子,黄柏,贝母
三七,威灵仙,玄胡,红花,陈皮,归尾
破故纸,乳香,陈皮,白术,五灵脂,桂枝
关木通,石韦,海金沙,栀子,白芍,甘草
破故纸,没药,乳香,陈皮,白术,五灵脂
草乌,萆薢,红花,川乌,白芷,细辛
三七,没药,乳香,炙马钱子,肉苁蓉,鸡血藤
草乌,萆薢,红花,川乌,白芷,细辛
草乌,樟脑,没药,乳香,油松节,青风藤
威灵仙,地龙,白僵蚕,漏芦,白芷,桂心
三七,樟脑,红花,水杨酸甲酯,颠茄流浸膏,盐酸苯海拉明
没药,乳香,蜈蚣,黄米,雄黄,菖蒲
没药,乳香,红花,陈皮,甘草,白芍
樟脑,甘松,辣椒,干羌,冰片,川乌
三七,没药,乳香,血竭,红花,透骨草
三七,没药,乳香,红花,陈皮,芍药
没药,乳香,红花,陈皮,桃仁,甘草
没药,乳香,甘草,地黄,白芷,赤芍
三七,红花,甘草,黄连,夏枯草,白蒺藜
银花,槐花,黄芩,槐角,甘草,柴胡
草乌,芍药,军姜,肉桂,天南星,白芷
血竭,乳香,土鳖虫,自然铜,当归
没药,乳香,陈皮,桃仁,归尾,甘草
草乌,半夏,红花,桃仁,葱汁150毫升,山甲
玄胡,金铃子
银花,没药,乳香,红花,甘草,地丁
威灵仙,红花,生姜,白芍,甘草,桂枝
没药,乳香,栀子,甘草,白芍,柴胡
没药,乳香,黄占,猪油,轻粉,炉甘石
三七,没药,乳香,陈皮,刘寄奴,萹蓄
没药,乳香,麻黄,马钱子
透骨草,铁屑,防风,当归,川芎
老鹳草
没药,血竭,红花,朴消,羌活,车前
草乌,何首乌,天麻,甘草,石斛,川乌
乳香,茯苓,茯苓,白芍,杜仲,续断
没药,乳香,冰片,轻粉
元胡,甘松,白芨,鹿角胶,甘草,白芍
红花,蒲黄,白芷,闹羊花,当归
乳香,白黄蜡,珠子沥青
草乌,威灵仙,乳香,陈皮,五灵脂,牵牛子
草乌,威灵仙,萆薢,乳香,陈皮,五灵脂
没药,乳香,川乌,当归,丁香,川芎
元胡,陈皮,生白芍,蔻仁,片姜黄,茯苓
没药,血竭,乳香,地龙,无名异,木鳖子
破故纸,杜仲,延胡索,牛膝,当归
没药,乳香,芍药,陈皮,甘草,金银花
没药,乳香,甘草,羌活,桂枝,杜仲
血竭,密陀僧,干胭脂,轻粉
红花,生姜,桃仁,甘草,柴胡,杜仲
郁李仁,白芥子,甘草,白芍,柴胡,白芷
元参,甘草,金银花,当归
樟脑,水杨酸甲酯,颠茄流浸膏,伤湿止痛流浸膏,芸香浸膏,冰片
元胡,地丁,紫草,紫参,细木通,茯苓皮
大麻仁,茄子根,酒,松节,羌活,晚蚕沙
萆薢,羌活,独活,天麻,杜仲,地黄
银花,没药,乳香,甘草,归尾,连翘
玄胡索,破故纸,牛膝,当归
玄胡索,朴消
玄胡索,白芍,熟地,当归,川芎
没药,乳香,麝香,黄米饭,犀黄
银花,桃仁,乳没4,薏仁,红藤,败酱草
藁本,白茅根,荷叶,苦丁茶,桑叶,黄芩
三七,北沙参,麦冬,赤芍
三七,没药,乳香,接骨草,地鳖虫,刘寄奴
