没药,乳香,白莴苣子,乌梅,白粟米
铜绿,蓖麻仁,片松香,杏仁
踯躅花,鹅不食草,羌活,细辛,黄连,蔓荆子
草乌,威灵仙,紫荆皮,藁本,半夏,僵蚕
赤小豆,芙蓉叶,甘草,赤芍,五倍子,黄柏
三七,威灵仙,红花,陈皮,玄胡,蒲黄
破故纸,乳香,陈皮,白术,羌活,桂枝
海金沙,石韦,关木通,甘草,栀子,地黄
破故纸,没药,乳香,陈皮,白术,羌活
草乌,萆薢,红花,川乌,白芷,细辛
三七,没药,乳香,地黄,炙马钱子,鸡血藤
草乌,萆薢,红花,川乌,白芷,细辛
草乌,樟脑,没药,乳香,独活,香加皮
威灵仙,地龙,白僵蚕,漏芦,桂心,白芷
三七,樟脑,红花,颠茄流浸膏,水杨酸甲酯,盐酸苯海拉明
没药,乳香,菖蒲,雄黄,蜈蚣,黄米
没药,乳香,红花,甘草,陈皮,白芍
樟脑,甘松,干羌,独活,辣椒,冰片
三七,没药,血竭,透骨草,乳香,红花
三七,没药,乳香,红花,陈皮,芍药
没药,乳香,红花,甘草,陈皮,桃仁
没药,乳香,甘草,地黄,赤芍,丹皮
三七,红花,甘草,黄连,寸冬,赤芍
银花,黄芩,槐角,甘草,槐花,柴胡
草乌,芍药,肉桂,军姜,天南星,白芷
血竭,乳香,土鳖虫,自然铜,当归
没药,乳香,甘草,陈皮,归尾,桃仁
草乌,半夏,红花,桃仁,独活,山甲
金铃子,玄胡
银花,没药,乳香,红花,甘草,地丁
威灵仙,红花,生姜,白芍,甘草,穿山龙
没药,乳香,甘草,栀子,柴胡,白芍
没药,乳香,轻粉,炉甘石,白占,猪油
三七,没药,乳香,陈皮,萹蓄,落得打
没药,乳香,麻黄,马钱子
透骨草,铁屑,防风,当归,川芎
老鹳草
没药,血竭,红花,朴消,羌活,薄荷
草乌,甘草,石斛,天麻,独活,何首乌
乳香,茯苓,茯苓,白芍,杜仲,牛膝
没药,乳香,冰片,轻粉
元胡,甘松,甘草,鹿角胶,白芨,白芍
红花,蒲黄,闹羊花,白芷,当归
乳香,珠子沥青,白黄蜡
草乌,威灵仙,乳香,陈皮,牵牛子,川楝
草乌,威灵仙,萆薢,乳香,陈皮,牵牛子
没药,乳香,川乌,当归,丁香,川芎
元胡,陈皮,沉香,蔻仁,片姜黄,生白芍
没药,血竭,乳香,地龙,无名异,木鳖子
破故纸,杜仲,延胡索,牛膝,当归
没药,乳香,芍药,甘草,陈皮,金银花
没药,乳香,甘草,独活,羌活,桂枝
血竭,轻粉,干胭脂,密陀僧
红花,生姜,桃仁,甘草,柴胡,杜仲
郁李仁,白芥子,白芍,甘草,柴胡,白芷
元参,甘草,金银花,当归
樟脑,颠茄流浸膏,水杨酸甲酯,伤湿止痛流浸膏,芸香浸膏,冰片
元胡,甘草,紫参,紫草,细木通,大青叶
大麻仁,白花蛇,乌蛇,恶实根,独活,酒
萆薢,独活,天麻,地黄,羌活,杜仲
银花,没药,乳香,归尾,甘草,连翘
玄胡索,破故纸,牛膝,当归
玄胡索,朴消
玄胡索,白芍,熟地,当归,川芎
没药,乳香,麝香,黄米饭,犀黄
银花,薏仁,乳没4,桃仁,红藤,败酱草
藁本,荷叶,苦丁茶,桑叶,白茅根,黄芩
三七,麦冬,北沙参,赤芍
三七,没药,乳香,萹蓄,接骨草,落得打
