没药,乳香,乌梅,白粟米,白莴苣子
铜绿,片松香,蓖麻仁,杏仁
踯躅花,鹅不食草,羌活,黄连,防风,蔓荆子
草乌,紫荆皮,威灵仙,藁本,半夏,归尾
芙蓉叶,赤小豆,甘草,五倍子,赤芍,黄柏
三七,威灵仙,玄胡,蒲黄,郁金,陈皮
破故纸,乳香,陈皮,白术,麻黄,羌活
关木通,石韦,海金沙,甘草,栀子,地黄
破故纸,没药,乳香,陈皮,白术,麻黄
草乌,萆薢,红花,川乌,白芷,当归
三七,没药,乳香,地黄,鸡血藤,炙马钱子
草乌,萆薢,红花,川乌,白芷,当归
草乌,樟脑,没药,乳香,独活,麻黄
威灵仙,地龙,白僵蚕,桂心,漏芦,芎藭
三七,樟脑,红花,水杨酸甲酯,颠茄流浸膏,硫酸软骨素
没药,乳香,蜈蚣,黄米,雄黄,菖蒲
没药,乳香,红花,陈皮,甘草,归身
樟脑,甘松,辣椒,干羌,独活,冰片
三七,血竭,没药,透骨草,乳香,红花
三七,没药,乳香,红花,芍药,陈皮
没药,乳香,红花,陈皮,甘草,桃仁
没药,乳香,甘草,地黄,赤芍,丹皮
三七,红花,甘草,黄连,寸冬,夏枯草
银花,槐花,黄芩,甘草,槐角,柴胡
草乌,芍药,肉桂,军姜,白芷,天南星
血竭,乳香,当归,土鳖虫,自然铜
没药,乳香,陈皮,归尾,甘草,桃仁
草乌,半夏,红花,桃仁,独活,羌活
玄胡,金铃子
银花,没药,乳香,红花,甘草,地丁
威灵仙,生姜,红花,甘草,白芍,麻黄
没药,乳香,甘草,栀子,白芍,柴胡
没药,乳香,轻粉,白占,猪油,洋樟
三七,没药,乳香,陈皮,刘寄奴,苏木末
没药,乳香,麻黄,马钱子
透骨草,铁屑,防风,当归,川芎
老鹳草
血竭,没药,红花,朴消,防风,羌活
草乌,何首乌,甘草,石斛,独活,天麻
乳香,白芍,茯苓,茯苓,杜仲,续断
没药,乳香,冰片,轻粉
元胡,甘松,甘草,鹿角胶,白芨,白芍
红花,蒲黄,白芷,当归,闹羊花
乳香,珠子沥青,白黄蜡
草乌,威灵仙,陈皮,乳香,防风,牵牛子
草乌,威灵仙,萆薢,陈皮,乳香,防风
没药,乳香,川乌,当归,丁香,川芎
元胡,陈皮,生白芍,片姜黄,蔻仁,茯苓
血竭,没药,乳香,地龙,无名异,木鳖子
破故纸,杜仲,延胡索,当归,牛膝
没药,乳香,芍药,陈皮,甘草,金银花
没药,乳香,甘草,独活,麻黄,羌活
血竭,密陀僧,轻粉,干胭脂
红花,生姜,桃仁,甘草,柴胡,杜仲
白芥子,郁李仁,白芍,甘草,柴胡,白芷
元参,甘草,金银花,当归
樟脑,水杨酸甲酯,颠茄流浸膏,芸香浸膏,伤湿止痛流浸膏,冰片
元胡,地丁,茯苓皮,紫草,大青叶,甘草
松节,酒,恶实根,败龟,大麻仁,乌蛇
萆薢,天麻,地黄,独活,羌活,杜仲
银花,没药,乳香,归尾,甘草,连翘
玄胡索,破故纸,当归,牛膝
玄胡索,朴消
玄胡索,白芍,熟地,当归,川芎
没药,乳香,麝香,黄米饭,犀黄
银花,败酱草,乳没4,红藤,薏仁,桃仁
藁本,桑叶,苦丁茶,荷叶,白茅根,黄芩
三七,麦冬,北沙参,赤芍
三七,没药,乳香,接骨草,刘寄奴,地鳖虫
