金钱草,滑石,车前子,木通,琥珀末,茯苓
银花,泽泻,茯苓,条岑,绵耆,归身炭
金银花,槐花,连翘,夏枯草,红花,甘草
茵陈,猪苓,泽泻,防己,苍术,茯苓
赤小豆,当归
檀香,生军,麝香,苍术,天麻,蟾酥
薏仁,大豆,吴萸,木瓜,0,焦山栀
蒲公英,薏仁,金银花,败酱草,京赤药,枳壳
扁豆,莲子,白术炭,诃子,苍术炭,茯苓
浮萍,皂刺,苦参,茯苓,黄芩,白芷
龟版,椿根白皮,芍药,侧柏叶,香附,升麻
猪苓,泽泻,柴胡,茯苓,肉桂,白术
猪苓,泽泻,柴胡,茯苓,黄芩,白术
车前子,莲子心,萆薢,茯苓,丹参,菖蒲
川萆解,益智仁,乌药,菖蒲
车前子,莲子心,茯苓,川萆,丹参,菖蒲
鹿角霜,木通,生白芍,杜仲炭,椿皮,故纸
茜草,檀香,白芍,乌梅肉,白矾,巴戟肉
茵陈,龙胆草,山栀仁,黄芩,葶苈
赤小豆,滑石,冬葵子,益母草,八角金盘,芦根
扁豆,使君子,砂仁,生米仁,白米,建莲
滑石,泽泻,车前子,木通,淡竹叶,赤苓
茵陈,玉米须,虎杖,郁金,黄芩,川楝
益智,三棱,青皮,巴豆,蓬术,桂心
泽泻,芍药,当归,茯苓,芎,白术
茵陈,猪苓,泽泻,苦参,羌活,苍术
干地龙,桂枝,香独活,小木通,酒杭芍,川断
泽泻,大豆,黑附子,茯苓,米酒,防风
白糖,冬葵子,萆薢
滑石,当归,川芎,茯苓,半夏,香附
凤尾草,匾蓄,飞廉草,菟丝子,茯苓,熟地
猪苓,薏仁,茯苓皮,淡竹叶,大腹皮,通草
桂枝,茯苓,甘草,白术
戎盐,茯苓,白术
滑石,当归,川芎,地黄,白芍,海金沙
茵陈,猪苓,泽泻,木通,枳壳,茯苓
猪苓,泽泻,滑石,车前子,木通,茯苓
茵陈,地黄,地黄,枇杷叶,石斛,枳壳
茵陈,地黄,地黄,枇杷叶,石斛,枳壳
茵陈,滑石,木通,贝母,连翘,淡芩
赤小豆,黑豆,绿豆,甘草
旱莲草,苋菜,蜂蜜10毫升,甘草
滑石,泽泻,人参,寒水石,茯苓,石膏
泽泻,芍药,青皮,当归,茯苓,枳壳
白糖,冬瓜皮,茯苓皮,生姜皮,黄芪,枣仁
猪苓,滑石,茯苓皮,白蔻仁,大腹皮,黄芩
赤小豆,黄耆,昆布
茵陈,大豆,金银花,板蓝根,柴胡,赤芍
茵陈,蒲公英,板蓝根,虎杖,陈皮
青蒿脑4,青子芩4,陈广皮,碧玉散,茯苓,枳壳
冬瓜皮,西瓜皮,葫芦壳,枣仁
粳米,冰糖,新鲜荷叶
滑石,人参,远志,黄耆,砂仁,益智仁
滑石,生杭芍,黄柏,知母
白石脂,菟丝子,栝楼,寒水石,桂心,知母
茵陈,猪苓,薏仁,泽泻,木通,苍术
金银花,木通,苦参,苍术,连翘,防风
金钱草,滑石,石苇,冬葵子,鱼脑石,鸡内金
扁豆,猪苓,泽泻,香薷,苍术,羌活
蒲公英,金银花,大活血,冬瓜子,大黄,木香
金钱草,薏仁,冬葵子,乳香,木通,萆薢
麦冬,人参,茯苓,干葛,半夏,石膏
猪苓,匾蓄,白芍,秦皮,白头翁,苍术
银花,银花叶,赤豆卷,当归,茯苓,山萸
金银花,泽泻,滑石,车前子,赤芍,连翘
猪苓,泽泻,茯苓,半夏,肉桂,石膏
白附,苍术,白蒺藜,白芷,草乌,荆芥
猪苓,泽泻,人参,砂仁,茯苓,陈皮
猪苓,泽泻,柴胡,当归,苍术,茯苓
猪苓,泽泻,柴胡,苍术,茯苓,白芍
三七,干姜炭,桂枝,牡蛎,茯苓,半夏
猪苓,泽泻,滑石,桂枝,云苓,寒水石
金银花,六一散,泽泻,大青叶,木通,连翘
旱莲草,侧柏叶,槐花,仙鹤草,胡麻仁,菜苋
茵陈,泽泻,荷叶,茯苓,连翘,麦芽
猪苓,麦冬,泽泻,香薷,茯苓,石莲肉
猪苓,泽泻,羌活,茯苓,白术
银花,地丁,车前子,连翘,京赤芍,四季青
茜草,白芍,赤芍,元参,当归,贝母
金银花,滑石,板蓝根,大青叶,赤芍,连翘
金银花,滑石,大青叶,赤芍,连翘,黄芩
蒲公英,金银花,地丁,大青叶,赤芍,石膏
蒲公英,金银花,地丁,大青叶,赤芍,石膏
薏仁,六一散,白蔻仁,竹叶,葱白3寸,豆豉
薏仁,六一散,竹叶,豆豉,白蔻,僵蚕
泽泻,车前子,龙胆草,黄芩,丹皮,生地
薏仁,泽泻,川芎,当归,羚羊角,钩藤
茵陈,滑石,木通,枳壳,白蔻,黄芩
扁豆,薏仁,砂仁,白芍,石斛,茯苓
地肤子,地龙,路路通,白芨,白芍,当归
桂枝,干姜,白芍,细辛,半夏,黄芩
茵陈,桑枝,茯苓皮,防己,苍术,大腹皮
泽泻,淮药,萸肉,茯苓,附片,肉桂
扁豆,大豆,萆藓,枳壳,生薏米,茯苓
黑豆,苍术,麦芽,陈皮,山楂,甘草
扁豆,猪苓,泽泻,麦冬,车前子,五味子
石榴皮,人参,紫蔻,血琥珀,油朴,清夏
白花蛇舌草,泽泻,益母草,淫羊藿,山萸,红花
茜草,地黄,海风藤,玉竹,乳没,独活
食盐,淀粉,葵菜叶,味精
泽泻,葵子,茯苓,石韦,白术
猪苓,滑石,车前子,葵子,木通,茯苓
苦参,地黄
滑石,柴胡,昆布,海金砂,海藻,白芍
茵陈,白花蛇舌草,柴胡,白芍,茯苓,虎杖
薏仁,白花蛇舌草,板蓝根,牡蛎,赤芍,木贼草
泽泻,车前子,柴胡,当归,地黄,黄芩
鹿角霜,秋石,茯苓
粳米,鹿头肉,香子,高良姜,蔓荆子
石榴皮,乌梅炭,椿根皮,谷芽,槟榔
莱菔,苡米,赤芍,黄芩,地榆,大黄
黑豆皮,黄酒,仙灵脾,生姜,肉桂,陈皮
茵陈,银花,车前子,苡米,淮山,竹叶
茵陈,板蓝根,玉米须,败酱草,金银草,郁金
茵陈,金钱草,皮硝,郁金,黄芩,大黄
木通,纯苏叶,砂仁,鸡心,苍术,川芎
六一散,泽泻,车前子,木通,赤苓,黄芩
麦冬,沙参,赤芍,川芎,五味子,半夏
五物香薷饮加木瓜
滑石,甘草
赤小豆,连轺,生梓白皮,生姜,杏仁,枣仁
薏仁,杏仁,甘草,麻黄
蒲公英,银花,地丁,竹叶,元参,赤芍
白糖,鲜菠萝汁,白茅根
茵陈,地肤子,白茅根,枇杷叶,大力子,白芷
车前子,牡蛎,莲花须,茯苓,芡实,莲子肉
牡蛎,大黄
泽泻,木通,车前,萆薢,赤芍,瞿麦
滑石,蒲灰
金钱草,白芍,柴胡,黄芩,姜黄,枳壳
猪苓,泽泻,车前子,玄参,木通,萆薢
薏仁,防己,茯苓,白术
茜草,地鳖,薏米仁,清风藤,木瓜,王不留行
茵陈,柴胡,秦艽,犀角屑,茯苓,黄芩
薏仁,板蓝根,木贼,连翘,香附
滑石,瞿麦,萹蓄,甘草
