冰片,牛黄,桔梗,大黄,雄黄,甘草
牛黄,郁金,山栀仁,辰砂,黄芩,黄连
冰片,胆南星,朱砂,牛黄,全蝎,天麻
黄酒,牛蒡根,蝉蜕
绿豆粉,乳香
连翘,当归,山栀子,木香,桔梗,槟榔
白酒,炒杏仁,鲜仙人掌,羌活
地龙,黄柏,乳香,川大黄,黄芩,黄连
冰片,珍珠,水牛角浓缩粉,牛黄,郁金,栀子
冰片,珍珠,水牛角浓缩粉,牛黄,郁金,栀子
犀角,牛黄,郁金,梅片,朱砂,雄黄
板蓝根,大青叶,败酱草,苡仁,牡蛎粉,夏枯草
金银花,连翘,山栀子,大豆黄卷,生苡米,滑石块
冰片,软石膏,胡黄连,辰砂
枯矾,朱砂,蜗牛,轻扮,蟾酥,胆矾
地丁草,松节油,天花粉,川乌,大黄,南星
板蓝根,白花蛇舌草,连翘,射干,浙贝,荆芥
牛蒡子,连翘,干葛,柴胡,桔梗,天花粉
三颗针,野菊花,郁金,法半夏,紫地丁,大黄
西瓜霜,西牛黄,老式大泥冰,濂珠,飞青黛,西月石
冰片,山豆根,青黛,硼砂,芒消,明矾牛黄
墨旱莲,矮茶风,侧耳根,女贞子,五味子,破故纸
连翘,野菊花,细辛,辛夷,桔梗,黄柏
芥穗,辛荑,细辛,龙胆草,桔梗,川芎
大青叶,贯众,降香,南薄荷,上朱砂,上梅冰片
牛蒡子,连翘,紫草茸,陈枳壳,桔梗,麦门冬
金银花,牛蒡子,连翘,绿豆衣,鲜竹叶,知母
青黛,马牙消,朴消,寒水石,芒消,甘草
鲜马齿苋,白蜜
金银花,板蓝根,生石膏,桑叶,牛蒡子,连翘
金银花,板蓝根,山豆根,连翘,玄参,白芍
三颗针,白花蛇舌草,白头翁,野菊花,白英,苦参
白英,半枝莲,龙葵,猕猴桃根,蛇莓
板蓝根,山豆根,忍冬藤,草河车,威灵仙,白鲜皮
秦皮,白头翁,黄柏,黄连
玄参,白盐梅,地龙,乌嘴白雄鸭,古文钱,蜗牛
板蓝根,糖粉,菠萝香精油,淀粉
白糖,板槛根,夏枯草
冰片,川连,山甲,花粉,射干,细辛
射干,九里明,一点红,甘草
冰片,白矾,煅硼砂,麝香,鹿角霜,玄明粉
冰片,朱砂,硼砂,玄明粉
冰片,朱砂,硼砂,玄明粉
八角金盘,冬葵子,陈皮,芦根,赤小豆,益母草
金银花,当归尾,玄参,大黄,炒栀子,贝母
金银花,山豆根,牛蒡子,土牛膝,玄参,射干
连翘,牛蒡,川连,人中黄,当归,紫草茸
皂刺,山甲,全蜈蚣,天花粉,乳香,知母
芒硝,胆南星,滑石粉,牵牛子,关木通,大黄
白酒,地龙,乌芋
大黄粉,麻油50毫升,生地榆粉
蒲公英,金银花,野菊花,连翘,半枝莲,草河车
