藁本,川芎,芍药,防风,当归,前胡
蝎梢,天麻,白僵蚕,防风,天南星,川芎
威灵仙,红花,刘寄奴,白芥子,当归,川芎
地龙,五灵脂,桃仁,红花,没药,当归
山萸,橘核,酒炒破故纸,荔枝核,煨莪术,煨三棱
王不留行,黄耆,通草,熟地,川芎,当归
酒精,75,破故纸
地龙,桃仁,红花,赤芍,归尾,黄耆
鹿角霜,伸筋草,川断,党参,黄芪,当归
桂枝,粳米,甘草,知母,石膏
樟丹,麝香,枯矾,冰片,龙骨
蜈蚣,没药,山甲,乳香,皂刺,花粉
桂枝,木瓜,蜈蚣,川断,当归,防己
桂枝,当归,芍药,枣仁,茱萸,通草
白酒,大豆,麻子仁,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,川断,当归,乌药
蜈蚣,熟地,生地,淡干姜,川乌,白术
地龙,没药,丁香,木鳖子,肉桂,无名异
江米酒,丹参,川芎,杜仲
鸡血藤,丝瓜络,橘核,白芥子,丹参,熟地
鸡血藤,川断,蒲公英,双花,大青叶,苍术
鸡血藤,黄芪,党参,生地,丹皮,络石藤
红花,红花,诃子,炉甘石,麝香,丁香
木瓜,红花,草乌,乌梅,川乌,甘草
芎劳,防风,防己,干姜,独活,人参
桂枝,防己,甘草
蜈蚣,赤芍,白芍,钩藤,川芎,丹参
鸡血藤,赤芍,赤小豆,当归,牛膝,防己
桃仁,红花,瓜蒌根,当归,大黄,柴胡
威灵仙,桂枝,五加皮,没药,荆芥,防风
刘寄奴,王不留行,防风,钩藤,金银花藤,宽筋藤
鸡血藤,比茎藤,臭梧桐,白毛草,苏木子,白鱼鲄
桂枝,芍药,防风,生姜,白术,甘草
桂枝,红花,赤芍,归尾,防风,独活
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
地龙,威灵仙,当归,白僵蚕,木香,漏芦
茜草,五灵脂,丹参,远志,山楂,菖蒲
红花,赤芍,川芎,丹参,降香
桂枝,党参,黄耆,寄生,白芍,牛膝
桂枝,片姜黄,寄生,白芍,当归,独活
白芍,黄芪,川芎,当归,地黄,甘草
白凤仙花,蛇床子,陈米醋,明矾,丹参,白鲜皮
红花,肉桂,当归,干姜,花椒,樟脑
赤芍,益母草,黄芪,川芎,丹参,当归
桂枝,木瓜,当归,川芎,丹参,防风
赤芍,伸筋草,续断,归尾,片姜黄,松节
红花,赤芍,没药,夏枯草,乳香,木香
红花,透骨草,归尾,三七,续断,没药
地龙,桃仁,蜈蚣,黄连,槟榔,川断
刘寄奴,红花,钩藤,没药,当归,栀子
没药,丹参,当归,乳香
没药,丹参,当归,乳香
地龙,没药,天南星,草乌,乳香,川乌
红花,赤芍,防风,木香,丹皮,酒归尾
刘寄奴,赤芍,当归,川芎,枳壳,生地
威灵仙,红花,伸筋草,桃仁,续断,当归
茜草,刘寄奴,透骨草,伸筋草,松节,香油
桂枝,当归,防风,干姜,菊花,黄芩
桃仁,赤芍,蝉蜕,当归,枳壳,生地
木瓜,槟榔,桔梗,紫苏,茱萸,生姜
白芍,金铃子,元胡,黄连,吴萸,香缘皮
威灵仙,桃仁,黄连,天麻,白芍,薄荷
透骨草,橘络,丹参,片姜黄,白芥子,芍药
天麻,羌活,官桂,防风,枣仁,羚羊角
天麻,羌活,川芎,天南星,防风,当归
茜草,丹参,两头尖,凌霄花,当归,川芎
桂枝,丹参,阿胶,干姜,丹皮,茯苓
白芍,当归,柴胡,白芷,桔梗,黄芩
蜈蚣,黄连,杭白芍,全蝎,黄芩,葛根
桃仁,益母草,川芎,当归,炙草,干姜
党参,牛膝,三棱,莪术,茯苓,白术
威灵仙,海风藤,防风,薏仁,布渣叶,豹皮樟
鹿角霜,桃仁,赤芍,白芥子,熟地,玄胡
鸡血藤,寄生,蜈蚣,钩藤,天麻,牛膝
地龙,威灵仙,五灵脂,木瓜,赤小豆,五加皮
红花,白芍,丹参,朱砂,牛膝,生地
木瓜,锁阳,远志,续断,当归,羌活
木瓜,锁阳,黄耆,白芍,续断,当归
瓜蒌根,防风,羌活,肉桂,防己,柴胡
威灵仙,续断,当归,牛膝,海桐皮,广地龙
赤芍,党参,黄耆,丹参,郁金,黄精
地龙,乌梢蛇,蜂房,全虫,白花蛇
地龙,五灵脂,枫香脂,草乌,木鳖子,乳香
鹿角霜,木瓜,防风,芍药,黄耆,肉桂
桃仁,乌药,当归,青皮,陈皮
红花,赤芍,黄连,丹参,栀子,大黄
木瓜,白芍,续断,川芎,当归,牛膝
茜草,木瓜,王不留行,丹参,牛膝,黄柏
大力子,白芍,羌活,防风,川芎,当归
地龙,川芎,牛膝,地骨皮,夏枯草,菊花
鹿角霜,甲珠,水蛭,大伸筋,野南瓜,牛膝
党参,白芍,丹参,当归,山药,麦芽
乌头,天南星,木香,黑附子
桂枝,蜈蚣,乌梢蛇,川芎,草乌,全蝎
威灵仙,桂枝,白芍,当归,丹参,米仁
威灵仙,白芍,当归,川芎,葛根,秦艽
党参,干姜,枣仁,茱萸,半夏,甘草
威灵仙,鸡血藤,桂枝,橘络,蜈蚣,赤芍
威灵仙,五灵脂,木瓜,黄耆,松节,天麻
乌药,羌活,川芎,防风,当归,白芷
桃仁,红花,黄连,白芍,川芎,当归
桂枝,桃仁,赤芍,槟榔,郁金,穿山甲
桃仁,红花,赤芍,白芍,川芎,当归
桃仁,红花,乌药,牛膝,柴胡,杜仲
桃仁,红花,赤芍,牛子,白芥子,天麻
木瓜,蜈蚣,赤芍,川芎,乌蛇,全蝎
柿霜饼,真辽人参,防风,麝香,僵蚕,半夏
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,三棱,莪术,茯苓,白术
红花,赤芍,白酒,天南星,羌活,栀子
红花,赤芍,蒲公英,蝉蜕,薄荷,菊花
蜈蚣,党参,白芍,黄芪,羌活,川芎
鸡血藤,寄生,木瓜,白酒,海风藤,五加皮
黄芪,当归,防风,牛膝
赤芍,大豆,防己,归须,牛膝,萆薢
威灵仙,桂枝,红花,桃仁,元胡,天南星
红花,赤芍,川芎,当归,牛膝,独活
桃仁,红花,没药,丹参,延胡索,连翘
五灵脂,丹参,九香虫,三七,延胡索,木香
橘络,蒲公英,丝瓜络,全瓜蒌,橘叶,白蒺藜
木瓜,红花,透骨草,续断,没药,防风
鸡血藤,白芍,丹参,乳香,没药,当归
蝎梢,天麻,藁本,黄耆,防风,当归
天麻,羌活,当归,独活,萆薢,牛膝
