丹参,甘草,川芎,莲子心,当归,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,桔梗,栀子,甘草,黄连
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,黄连,地龙,黄芩,大黄
椒目,艾曲,干姜,黑附子,桂,细辛
葱,油,苎麻根,活鲤鱼,姜,糯米
香油,白蜡,冰片面,黄柏,铜绿面,生马钱子
大戟,没药,葶苈,乳香,甘遂,黑牵牛
白花败酱草,辅料,丛枝蓼
车前子,青粱米
粳米,车前子
葱,赤小豆,辣椒,鸡汤,活鲤鱼1尾,姜
大腹子,紫苏,茯苓,人参,桑白皮,五味子
蟾酥,血竭,没药,枯矾,乳香,硼砂
蟾酥,没药,枯矾,乳香,胆矾,铜绿
花椒,铜绿,青盐,李仁,蕤仁,菊花
粳米,白糖,茶叶
冰片,没药,川军,乳香,赤芍,白芷
葶苈,紫苏,琥珀,郁李仁,茯苓,杏仁
续随子,甘遂,黑牵牛,全蝎,萝卜子,白牵牛
板蓝根,连翘,白花蛇舌草,贝母,射干,荆芥
白胶香,蓖麻子仁
橘核,青盐,酒炒破故纸,煨莪术,煨三棱,荔枝核
冰片,枯矾,龙衣,胭脂,麝香5厘,陈皮
西瓜霜,西丹参,西月石,老式大泥冰,飞青黛,濂珠
大梅片,真熊胆,瓜制枪消,关犀黄,珍珠,枣仁
西月石,玄明粉,飞辰砂,炒僵蚕,梅冰
冰片,硼砂,明矾丹参,山豆根,青黛,皮硝
青鱼胆,人指甲,马勃,硼砂,人中白,贝母
大梅片,真熊胆,瓜制枪消,白玄明粉,明雄精,明硼砂
紫荆皮,白芷,赤豆,菖蒲,独活
木蜡,川紫荆皮,白芷,独活,芍药
辛夷,冰片粉,白芷,液状石腊,苍耳子,麻油
蒲公英,土鳖虫,三七,赤芍,黄柏,栀子
没药,五倍子,乳香,赤芍,自然铜,无名异
乳香,甘草,北细辛,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,雄黄,朱砂
蓖麻子
白蜡,油,油,黄丹,商陆根,柳白皮
没药,白蜡,乳香,铅粉,密陀僧,轻粉
冰片,白蜡,乳香,樟脑,官粉,轻粉
冰片,樟脑,石膏,轻粉,红粉
冰片,炉甘石,熊胆,硇砂,麝香,珍珠
白锡粉,阿飞勇,李子树胶,可铁刺
紫苏,大腹皮,木瓜,羌活,陈皮,香附
没药,乳香,官粉,雄黄,轻粉,黄蜡
板蓝根,糖粉,菠萝香精油,淀粉
黄蘖,寒水石,石膏,甘草
没药,白蜡,乳香,铜绿,松香,麻油
香油,血竭,没药,木鳖子,乳香,儿茶
金银花,血竭,没药,木鳖子,乳香,儿茶
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤芍,赤小豆,黄柏,白芷
冰片,没药,乳香,麝香,犀黄,前胡
黄柏,寒水石,石膏,甘草
木鳖子,黄柏,无名异,花粉,牡蛎,大黄
九里明,一点红,射干,甘草
乳香,黄丹,密陀僧,麝香,轻粉,白矾
大戟,甘遂,土狗,芫花,大黄
冰片,黄柏,玄明粉,麝香,煅硼砂,甘草
冰片,黄柏,玄明粉,麝香,炒硼砂,甘草
冰片,硼砂,胆矾,麝香,人中黄,苦瓜霜
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
