丹参,甘草,川芎,莲子心,当归,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,桔梗,甘草,木香,黄连
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,地龙,黄连,大黄,黄芩
艾曲,椒目,桂,干姜,黑附子,细辛
油,葱,苎麻根,活鲤鱼,糯米,姜
香油,冰片面,白蜡,煅蛤粉,铜绿面,红粉面
大戟,没药,葶苈,乳香,甘遂,黑牵牛
辅料,白花败酱草,丛枝蓼
青粱米,车前子
粳米,车前子
葱,赤小豆,鸡汤,辣椒,活鲤鱼1尾,姜
大腹子,紫苏,桑白皮,人参,五味子,甘草
蟾酥,血竭,枯矾,没药,硼砂,乳香
蟾酥,没药,枯矾,乳香,铜绿,寒水石
花椒,铜绿,青盐,李仁,蕤仁,白矾
粳米,白糖,茶叶
冰片,乳香,没药,川军,赤芍,花粉
葶苈,紫苏,琥珀,杏仁,防己,陈皮
续随子,甘遂,全蝎,黑牵牛,白牵牛,萝卜子
板蓝根,连翘,贝母,射干,白花蛇舌草,荆芥
白胶香,蓖麻子仁
橘核,青盐,煨莪术,煨三棱,酒炒破故纸,荔枝核
冰片,枯矾,龙衣,胭脂,麝香5厘,陈皮
西丹参,西瓜霜,西月石,老式大泥冰,濂珠,飞青黛
大梅片,瓜制枪消,真熊胆,珍珠,枣仁,关犀黄
西月石,玄明粉,梅冰,炒僵蚕,飞辰砂
冰片,硼砂,明矾丹参,山豆根,皮硝,青黛
硼砂,马勃,人指甲,人中白,青鱼胆,贝母
大梅片,瓜制枪消,真熊胆,珍珠,直僵蚕,明雄精
紫荆皮,赤豆,白芷,菖蒲,独活
白芷,木蜡,川紫荆皮,独活,芍药
白芷,液状石腊,辛夷,冰片粉,薄荷,苍耳子
蒲公英,三七,赤芍,自然铜,土鳖虫,透骨草
没药,乳香,五倍子,自然铜,赤芍,无名异
乳香,甘草,苍术,北细辛
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,朱砂,雄黄
蓖麻子
油,油,白蜡,商陆根,柳白皮,黄丹
