珍珠母,酒曲,牛膝,酒曲,半夏
枣仁,甘草,小麦
钩藤,朱砂,珍珠,天竺黄,琥珀
辰砂,郁金,山栀仁,丹参,黄连
天麻,丹砂,琥珀,干蝎,乌蛇
枣仁,茯苓,远志,贝母,黄芩
益智,茯神,炙草,人参,川芎
珍珠,犀角,茯神,白附子,远志
枣仁,人参,茯神,琥珀,辰砂
菖蒲,人参,朱砂,当归,茯神
枣仁,人参,辰砂
菖蒲,安神膏,五味子,丹参
珍珠母,合欢皮,菖蒲,菟丝子,夜交藤
远志,人参,芡实,石莲肉,莲须
党参,茯神,枣仁,没药,生地
朱砂,白附子,天麻,茯神,莲肉
党参,茯神,菖蒲,枣仁,川芎
茯神,枣仁,龙骨,锁阳,金樱
杏仁,茯神,菖蒲,麦冬,桔梗
菖蒲,龙齿
朱砂,当归,地黄,甘草,黄连
珍珠,人参,天竺黄,枣仁,琥珀
合欢花,合欢皮,夜交藤,女贞子,地黄
朱砂,人参,天麻,僵蚕,甘草
菖蒲,茯神,全蝎,黄连,当归
朱砂,枣仁,生地,茯神,黄连
合欢花,珍珠母,白芍,朱砂,枣仁
朱砂,知母,麦冬,天冬,黄连
铁粉,茯神,菖蒲,白附子,天南星
铁粉,茯神,菖蒲,白附子,天南星
朱砂,代赭石,枣仁,乳香,茯神
辰砂,天南星,白矾,半夏
辰砂,天南星,白矾,半夏
菖蒲,人参,远志,桔梗,桂心
枣仁,龙骨,人参,牡蛎,柴胡
大龟
茯神,远志,沉香,海狗肾,小茴
枣仁,夜交藤,莲肉,淮小麦,甘草
朱砂,天麻,神曲,黄土,全蝎
钩藤,朱砂,天竺黄,桔梗,滑石
白糖,粳米,鲜百合,杏仁
大米,芡实,山药,糯米,莲肉
郁金,白矾
枣仁,人参,朱砂,麦门冬,生龙脑
枣仁,肉桂,远志,人参,柏子仁
枣仁,当归,党参,朱砂,柏子仁
茯神,菖蒲,当归,元参,甘草
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,党参,柏子仁,浮小麦,麻黄根
鹿角霜,鹿角胶,柏子仁,地黄,菟丝子
铅,水银
朱砂,黄丹,白矾,半夏
菖蒲,茯神,人参,远志,丹参
枣仁,大米,扁豆,薏仁,莲肉
檀香,枣仁,沉香,肉豆蔻,天竺黄
檀香,枣仁,沉香,肉豆蔻,天竺黄
枣仁,石灰华,诃子,木棉花,肉豆蔻
枣仁,石灰华,诃子,木棉花,肉豆蔻
人中黄,朱砂,代赭石,禹余粮,磁石
朱砂,巴豆,胆南星,神曲
腻粉,金箔
珍珠,茯神,天竺黄,天南星,琥珀
珍珠,天竺黄,钩藤,犀角,琥珀
巴戟,肉桂,枣仁,人参,覆盆子
琥珀,天麻,辰砂,白附子,天南星
犀角,朱砂,天麻,茯神,琥珀
珍珠,琥珀,龙涎香,丹参,马宝
檀香,雷丸,熊胆,鹤虱,赤小豆
菖蒲,巴戟,何首乌,地骨皮,覆盆子
茯神,原麦冬,辰砂染灯心20支,莲子心30支,生地
茯神,肉桂,泽兰,郁金,黑附子
川芎,茯神,枣仁,当归,远志
菖蒲,人参,朱砂,麦冬,茯神
丁香,蝎梢,半夏
