珍珠母,酒曲,半夏,磁石,酒曲
枣仁,小麦,甘草
钩藤,朱砂,薄荷,琥珀,冰片
辰砂,郁金,山栀仁,丹参,黄连
琥珀,麝香,干蝎,半夏,天南星
枣仁,远志,陈皮,贝母,半夏
茯神,陈皮,桃仁,干姜,益智
金箔,枣仁,远志,茯神,白术
人参,枣仁,辰砂,茯神,琥珀
人参,枣仁,朱砂,远志,菖蒲
枣仁,辰砂,人参
菖蒲,五味子,丹参,安神膏
珍珠母,夜交藤,五味子,地黄,菖蒲
远志,麦冬,人参,莲须,石莲肉
远志,枣仁,琥珀,茯神,莲子
茯苓,朱砂,远志,人参,茯神
川芎,远志,枣仁,当归,茯神
枣仁,远志,肉桂,茯神,牡蛎
远志,麦冬,茯神,菖蒲,陈皮
龙齿,菖蒲
朱砂,当归,地黄,甘草,黄连
枣仁,琥珀,黄连,陈皮,珍珠
桑椹子,夜交藤,女贞子,玄参,地黄
金箔,朱砂,琥珀,僵蚕,地黄
全蝎,茯神,菖蒲,当归,黄连
朱砂,枣仁,茯神,当归,白术
石斛,珍珠母,枣仁,琥珀,朱砂
朱砂,黄连,天冬,麦冬,知母
铁粉,远志,茯神,辰砂,人参
铁粉,远志,茯神,辰砂,人参
代赭石,枣仁,朱砂,麝香,茯神
辰砂,半夏,天南星,白矾
辰砂,半夏,天南星,白矾
远志,桂心,菖蒲,黑附子,桔梗
枣仁,牡蛎,人参,柴胡,生姜
大龟
远志,茯神,枸杞,白术,当归
枣仁,夜交藤,莲肉,甘草,百合
朱砂,全蝎,当归,僵蚕,天麻
朱砂,天竺黄,钩藤,麦芽,滑石
粳米,白糖,鲜百合,杏仁
芡实,糯米,大米,莲肉,山药
郁金,白矾
朱砂,枣仁,生龙脑,茯苓,人参
肉桂,枣仁,远志,五味子,当归
枣仁,朱砂,远志,黄芪,肉桂
茯神,枸杞,菖蒲,当归,甘草
粳米,蜂蜜,柏子仁
粳米,蜂蜜,柏子仁
枣仁,牡蛎,白术,五味子,半夏
地黄,鹿角胶,柏子仁,菟丝子,鹿角霜
铅,水银
朱砂,半夏,白矾,黄丹
远志,茯神,白术,菖蒲,丹参
枣仁,百合,芡实,薏仁,大米
檀香,枣仁,天竺黄,红花,北沙参
檀香,枣仁,天竺黄,红花,北沙参
枣仁,木香,诃子,石灰华,肉豆蔻
枣仁,木香,诃子,石灰华,肉豆蔻
朱砂,代赭石,人中黄,禹余粮,赤石脂
朱砂,胆南星,神曲,巴豆
金箔,腻粉
琥珀,远志,陈皮,茯神,人参
琥珀,薄荷,远志,钩藤,天竺黄
枣仁,肉桂,巴戟,覆盆子,五味子
琥珀,麝香,辰砂,蝉退,白附子
朱砂,茯神,琥珀,人参,犀角
琥珀,龙涎香,丹参,珍珠,马宝
檀香,赤小豆,鹤虱,牵牛,熊胆
远志,覆盆子,巴戟,何首乌,菖蒲
茯神,淡竹叶,生地,丹皮,辰砂染灯心20支
茯神,肉桂,龙齿,郁金,当归
枣仁,远志,川芎,茯神,当归
远志,朱砂,白术,菖蒲,麦冬
地黄,枣仁,远志,人参,茯神
枣仁,粟米,茯神
枣仁,辰砂,白术,全蝎,大赭石
金箔,枣仁,辰砂,白术,僵蚕
地黄,人参,芍药,当归,甘草
陈曲,地黄,枸杞,肉苁蓉,桂
朱砂,麝香,生龙脑,天竺黄,天麻
人参,远志,琥珀,麝香,菖蒲
菖蒲,白术,天门冬,五味子,丹参
米酒,丹参
辰砂,半夏,菖蒲,丹参,青龙齿
枣仁,木通,麦冬,黄连,茯苓
远志,覆盆子,菖蒲,五味子,地骨皮
珍珠,石灰华,丹参,草果,红花
远志,茯神,人参,丹参,菖蒲
牡蛎,寒水石,滑石,干姜,桂枝
枣仁,远志,茯神,独活,白术
茯苓细粉,米粉,白糖等份
枣仁,粳米,茯苓粉
辰砂,远志,菖蒲,茯神,人参
辰砂,远志,茯神,菖蒲,半夏
桂心,枣仁,远志,茯神,独活
茯神,龙齿,人参,羚羊角,甘草
桂心,枣仁,远志,茯神,独活
石斛,茯神,菖蒲,芍药,木通
五味子,风仙花全草,寄生,益母草,泽兰
枸杞,巴戟天,肉苁蓉,菊花
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
牡蛎,桂枝,甘草,龙骨
枣仁,牡蛎,桂心,生姜,芍药
朱砂,21克
珍珠母,茯苓,五味子,钩藤,何首乌
远志,黄芪,枣仁,枣仁,当归
獖猪心,灯心,颗块朱砂
远志,枣仁,金箔,龙齿,当归
远志,茯神,黄柏,莲须,五味子
远志,五味子,菖蒲,五倍子,龟版
远志,菖蒲,干地龙,茜草,五灵脂
朱砂,琥珀,白附子,当归,血苗灰
枣仁,茯神,秦艽,郁李仁,枸杞
覆盆子,五味子,人参,牡丹,天门冬
石斛,五味子,乌犀角,拣人参,枸杞
黄精,甘桑椹,枸杞,地黄,地黄
远志,巴戟,菖蒲,楮实,枸杞
朱砂,木通,淡竹叶,麝香,苏枋
远志,朱砂,人参,菖蒲,琥珀
人参,枣仁,远志,朱砂,菖蒲
檀香,朱砂,琥珀,天竺黄,枳壳
麝香,朱砂,琥珀,全蝎,僵蚕
钩藤,朱砂,琥珀,麝香,天竺黄
远志,菖蒲,茯神,人参,大辰砂
远志,枣仁,黄连,琥珀,茯神
羚羊角,远志,茯神,人参,甘草
朱砂,枣仁,远志,琥珀,天冬
枣仁,远志,茯神,巴戟,牡蛎
琥珀,麝香,辰砂,乳香,没药
远志,金箔,滑石,茯神,辰砂
朱砂,琥珀,薄荷,龙涎香,珍珠
粳米,红糖,合欢花
鸡蛋,山药,芡实,去芯莲子
朱砂,铁粉,人参,麝香,僵蚕
金箔,僵蚕,蝉蜕,朱砂,茯神
铁粉,金箔,远志,朱砂,犀角
金箔,麝香,犀角,辰砂,茯苓
麝香,金箔,天竺黄,龙齿,铁粉
远志,朱砂,金箔,铁粉,地骨皮
金箔,辰砂,天竺黄,半夏,皂荚仁
金箔,辰砂,半夏,天竺黄,皂荚仁
金箔,远志,茯神,辰砂,菖蒲
枣仁,茯神,薄荷,郁金,当归
辰砂,明矾,半夏,天南星
枣仁,朱砂,人参,远志,当归
枣仁,远志,于术,益智仁,阿胶
枣仁,远志,莲子,麦冬,茯苓
朱砂,牵牛,全蝎,琥珀,钩藤
钱,熟军,2钱,土鳖虫,骨碎补
朱砂,黄连,山栀仁,黄柏,雄黄
石斛,五味子,随风子,谷蘖,大腹子
天麻,白附子,天南星,半夏,川姜
远志,钩藤,代赭石,茯神,菖蒲
枣仁,远志,五味子,陈皮,地黄
枣仁,人参,菖蒲,远志,茯神
枣仁,朱砂,远志,人参,菖蒲
远志,半夏,茯神,厚朴,茯苓
枣仁,茯神,琥珀,菖蒲,当归
天麻,白附子,天南星,半夏,川姜
枣仁,远志,石斛,茯神,白芍
远志,羚羊角,茯神,麦冬,当归
茯神,巴戟,干姜,阳起石,肉桂
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,丹参,红花,红景天
檀香,石灰华,丹参,红花,红景天
珍珠母,何首乌,五味子,当归,滑石
远志,菖蒲,龟甲,龙骨
远志,龙齿,茯神,桂心,地骨皮
远志,枣仁,龙骨,琥珀,牡蛎
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
朱砂,琥珀,茯神,郁金,青皮
石斛,五味子,麝香,新莲肉,复以葱
巴戟,肉桂,阳起石,葫芦芭,金铃子
辰砂,人参,真麝香1字,半夏,蝎梢
蜂蜜,干百合
枣仁,茯神,人参,陈皮,半夏
金箔,生地,远志,枣仁,麝香
枣仁,远志,茯神,罗参,陈皮
茯神,钩藤,胆南星,陈皮,天竺黄
羊心,食盐,鲜玫瑰花
辰砂,远志,茯神,麝香,人参
肉桂,龙齿,枣仁,远志,朱砂
远志,茯神,麦冬,菖蒲,黄芩
茯神,五味子,地黄,韭子,肉苁蓉
枣仁,珍珠母,钩藤,甘草,合欢皮
丹参,大朱砂,梅花片,真豆粉,甘草
珍珠母,金银花,栀子,水牛角,板蓝根
枣仁,木香,肉豆蔻,丁香,沉香
菖蒲,地黄,当归,人参,乌梅肉
枣仁,朱砂,远志,人参,益智
枣仁,茯苓,芎藭,知母,甘草
粳米,枣仁
枣仁,夜交藤,生地,丹参,炒柏子仁
光明砂,神曲,磁石
琥珀,麝香,辰砂,当归,滴乳
铁粉,茯苓,天南星,使君子仁,蛇黄
远志,钩藤,辰砂,茯神,天冬
远志,五味子,巴戟天,菟丝子,地黄
枣仁,人参急者用30克,干姜,当归,山药
天南星,琥珀,朱砂
远志,朱砂,肉桂,琥珀,五味子
檀香,朱砂,琥珀,天麻,香附
檀香,朱砂,琥珀,安息香,天麻
肉桂,远志,龙齿,枣仁,辰砂
枣仁,檀香,红花,石灰华,诃子
朱砂,金箔,琥珀,川乌,白附子
金箔,远志,麝香,茯神,铁粉
远志,巴戟,苁蓉,地黄,青皮
三,檀香,白芷,川芎,甘草
枣仁,远志,人参,地黄,当归
枣仁,远志,人参,茯神,菖蒲
远志,天冬,朱砂,枣仁,菖蒲
枣仁,益智仁,五味子,破故纸60宽,菊花
枣仁,远志,桂心,半夏,茯苓
葱,盐,姜,鸡,乌灵参
朱砂,郁金,黄芩,栀子,黄连
枣仁,玄参,莲子心,柏子仁,丹皮
龙齿,茯神,人参,甘草,麦门冬
琥珀,香附,辰砂,枸杞,木通
珍珠母,茯神,钩藤,夏枯草,合欢皮
红糖,小米,龙眼肉
鸡蛋,小米
蜂蜜,枣仁,小米
朱砂,胆南星,真珠,茯苓,半夏
天竺黄,胆南星,西丹参,菖蒲,贝母
远志,牡蛎,辰砂,人参,干姜
枣仁,远志,茯神,人参,当归
朱砂,钩藤,白术,甘草,茯苓
远志,枣仁,人参,淡竹叶,地黄
白糖,葱,食盐,猪心,生姜
枣仁,何首乌,女贞子,合欢皮,甘草
白糖,枣仁,粳米,夜交藤
远志,桂心,芍药,五味子,茯苓X克
枣仁,当归,甘杞子,薏仁,麦冬
枣仁,茯神,生地,当归,川芎
远志,枣仁,龙齿,茯神,茯苓
寒水石,黄金,丁子香,犀角,滑石
朱砂,麝香,人参,螵蛸,肉苁蓉
枣仁,远志,茯神,羚羊角,人参
