珍珠母,磁石,酒曲,酒曲,赭石
枣仁,小麦,甘草
天竺黄,钩藤,僵蚕,雄黄,琥珀
郁金,山栀仁,辰砂,丹参,黄芩
僵蚕,琥珀,干蝎,雄黄,麝香
瓜蒌,枣仁,远志,贝母,黄芩
茯神,川芎,干姜,柏子仁,桃仁
茯神,犀角,远志,人参,独活
茯神,琥珀,人参,枣仁,辰砂
人参,远志,菖蒲,琥珀,茯神
枣仁,人参,辰砂
菖蒲,丹参,安神膏,五味子
珍珠母,夜交藤,合欢皮,菖蒲,旱莲草
远志,芡实,石莲肉,甘草,人参
茯神,远志,琥珀,黄耆,甘草
茯神,麦门冬,天麻,人参,朱砂
于术,远志,茯神,菖蒲,党参
茯神,龙骨,黄柏,牡蛎,芡实
茯神,远志,菖蒲,桔梗,麦冬
菖蒲,龙齿
朱砂,甘草,当归,黄连,地黄
天竺黄,枣仁,琥珀,人参,珍珠
合欢皮,夜交藤,丹参,桑椹子,合欢花
金箔,僵蚕,琥珀,人参,朱砂
茯神,菖蒲,龙胆草,当归,全蝎
茯神,白术,甘草,朱砂,枣仁
珍珠母,茯神,琥珀,麦冬,白芍
朱砂,天冬,麦冬,知母,黄连
茯神,人参,山芋,细辛,远志
茯神,人参,山芋,细辛,远志
茯神,麝香,代赭石,枣仁,朱砂
白矾,半夏,辰砂,天南星
白矾,半夏,辰砂,天南星
菖蒲,远志,桂心,桔梗,黑附子
枣仁,桂枝,牡蛎,柴胡,龙骨
大龟
茯神,远志,人参,沉香,川楝
枣仁,夜交藤,甘草,淮小麦,百合
神曲,朱砂,僵蚕,大黄,天麻
天竺黄,朱砂,钩藤,僵蚕,苍术
粳米,杏仁,白糖,鲜百合
芡实,大米,山药,糯米,莲肉
白矾,郁金
朱砂,麦门冬,甘草,枣仁,人参
枣仁,远志,川芎,人参,茯苓
朱砂,远志,甘草,枣仁,五味子
茯神,熟地,菖蒲,甘草,麦门冬
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,浮小麦,白术,牡蛎,柏子仁
鹿角霜,柏子仁,鹿角胶,地黄,菟丝子
铅,水银
黄丹,朱砂,白矾,半夏
茯神,白术,远志,菖蒲,人参
芡实,枣仁,大米,薏仁,扁豆
天竺黄,檀香,红花,沉香,枣仁
天竺黄,檀香,红花,沉香,枣仁
诃子,枣仁,石灰华,沉香,木香
诃子,枣仁,石灰华,沉香,木香
朱砂,代赭石,人中黄,没药,禹余粮
朱砂,神曲,胆南星,巴豆
金箔,腻粉
麝香,人参,琥珀,天竺黄,僵蚕
远志,僵蚕,犀角,桔梗,天竺黄
枣仁,巴戟,肉桂,五味子,天门冬
僵蚕,天麻,麝香,全蝎,蝉退
犀角,茯神,琥珀,天麻,僵蚕
丹参,琥珀,珍珠,龙涎香,马宝
檀香,雄黄,轻粉,麝香,赤小豆
