黄芪,白芍,黄芩,水牛角浓缩粉,珍珠
铁粉,天南星,银箔,金箔,腻粉
天竺黄,天南星,生龙脑,金箔,天雄
金箔,银箔,丹参,牙消,龙脑
天竺黄,天南星,朱砂,雄黄,僵蚕
天竺黄,升麻,黄芩,犀角屑,朱砂
百部,元参,桔梗,花粉,陈皮
远志,半夏,贝母,黄芩,茯苓
半夏,白术,远志,独活,白附子
杏仁,半夏,桔梗,紫菀,陈皮
杏仁,半夏,枳壳,茯苓,桔梗
半夏,前胡,桔梗,茯苓,杏仁
款冬花,牛膝,桔梗,紫菀,麦冬
远志,杏仁,半夏,桔梗,陈皮
远志,白僵蚕,琥珀,蝉蜕,真珠末
天南星,白附子,黑附子,白术,茯苓
薄荷,贝母,竹叶,小木通,金银花
枳实,花粉,桔梗,连翘,陈皮
半夏,贝母,芍药,枳实,苍术
粳米,陈茶叶
半夏,砂仁,术香,肉豆蔻,槟榔
半夏,远志,山芋,白附子,天南星
二,白附子,天南星,天麻,辰砂
天南星,白附子,辰砂,天麻,白芷
半夏,辰砂,天南星,白矾
半夏,麦糵,皂角,白芷,天南星
半夏,辰砂,天南星,白矾
白附子,半夏,天南星,辰砂,白矾
桔梗,缩砂仁,生姜,草果仁,茯苓
粳米,茶叶,白糖
灵脂,沉香,二丑,大黄,香附
柴胡,半夏,生姜,陈皮,甘草
芍药,半夏,柴胡,贝母,黄连
半夏,柴胡,黄芩,薄荷,丹皮
贝母,葶苈,蜂蜜,桑白皮,麻黄
杏仁,贝母,桔梗,白糖,枇杷叶
桔梗,贝母,薄荷,枇杷叶
杏仁,贝母,蜂蜜
半夏,赤芍,白蔻,牛膝,菊花
桔梗,薄荷,防风,龙脑,川芎
12千克,川芎,薄荷,细辛,09千克
薄荷,桔梗,龙脑,细辛,防风
苏合香,脑香,沉香,诃梨勒皮,吃力伽
沉香,贝母,羚羊角,青礞石,猪脱氧胆酸
贝母,冰糖,粳米
贝母,砂糖,粳米
贝母,桔梗,茯苓,瓜蒌,花粉
杏仁,贝母,百部,五味子,紫菀
杏仁,贝母,知母,款冬花,五味子
柴胡,杏仁,贝母,茯苓,百合
杏仁,贝母,桔梗,紫菀,甘草
地黄,紫菀,黄耆,五味子,桑白皮
黄芪,远志,半夏,柏子仁,胆南星
杏仁,黄芪,半夏,百合,茯苓
盐,缩砂仁,栝楼,白芷,白檀
桔梗,薄荷,川芎,四,防风
桔梗,缩砂仁,薄荷,川芎,防风
桔梗,缩砂仁,薄荷,川芎,防风
盐,缩砂仁,鸡苏叶,瓜蒌根十,荆芥
盐,缩砂仁,鸡苏叶,瓜蒌根,荆芥
盐,缩砂仁,鸡苏叶,瓜蒌根,荆芥
枳实,蓬莪荗,黑牵牛,陈皮,槟榔
杏仁,百部,麻黄
黄连,梅片,珍珠,象牙末,丹参5厘
紫菀,杏仁,五味子,黄芩,石膏
肉豆蔻,贝母,真麝香,柴胡,巴豆
贝母,白芍,元参,麦冬,桔梗
贝母,玄参,白芍,桔梗,地黄
牵牛,粉霜,龙脑,甘遂末,雷丸末
贝母,连翘,蝉蜕,银花,黄芩
千年古石灰不拘多少
麦门冬,生龙脑,茯苓,枣仁,甘草
地黄,贝母,玄参,知母,诃黎勒皮
上好片术
白术,半夏,干姜,甘草,人参
乌嘴凤头白鸭
地龙干,天南星,白僵蚕,五灵脂,全蝎
远志,天南星,茯苓,辰砂,天麻
枳实,天竺黄,天南星,金箔,琥珀
天竺黄,雄黄,僵蚕,茯苓,胆南星
天竺黄,郁金,白矾,雄黄
半夏,枳实,杏仁,生姜,石膏
杏仁,前胡,黄芩,天南星,桔梗
白冰,甜杏
黄芩,天南星,半复
黑附子,半夏,生姜
半夏,苍术,茯苓,广皮,厚朴
半夏,桔梗,贝母,瓜萎仁,知母
半夏,杏仁
半夏,白术,苍术,泽泻,黄柏
白术,半夏,天麻
白术,半夏,生姜,天麻,茯苓
半夏,白术,苍术,泽泻,炒曲
半夏,秫米
半夏,槟榔,苍术,麦芽,茯苓
半夏,枳壳,茯苓,厚朴,诃黎勒皮
半夏,杏仁,牛蒡,槟榔,桔梗
半夏,生姜,茯苓,干苏叶,厚朴
白附子,半夏,白术,滑石,贝母
半夏,防风
半夏,朱砂,白矾,黄丹
半夏,白矾
半夏,瓜蒌子
半夏,茯苓,朴消,枳壳
槟榔,半夏,郁李仁,陈皮,木香
半夏,沉香,猪苓,破故纸
栀子,半夏,天南星,石膏,香附
雪梨,北杏,白砂糖
琥珀,八角金盘,芦根,滑石,赤小豆
檀香,拳参,红花,白葡萄干,丁香
檀香,拳参,红花,白葡萄干,丁香
片脑,儿茶,霍香叶,薄荷,甘松
天南星,巴豆,朱砂,神曲
巴豆,胆南星,大黄,神曲,丹参
荸荠,白茅根,雪梨,生藕,麦冬
独活,胆南星,天麻,薄荷,川芎
独活,半夏,橘络,胆南星,黄芩
天竺黄,远志,贝母,羚羊角,僵蚕
半夏,连翘,僵蚕,银花,黄芩
僵蚕,粉草,黄连,蝉蜕,梅片
天南星,白附子,天麻,僵蚕,蝉退
生姜,半夏,皂角,天南星,白矾
白术,贝母,麦门冬,白芍,茯苓
半夏,杏仁,豆
半夏,干蝎,甘菊,独活,川芎
炒黑丑,大黄,黄芩
半夏,槟榔,大黄,陈皮,京三棱
半夏,天南星,猪牙皂角,白矾,黑牵牛
天南星,木香
干姜,半夏,天南星
杏仁,铅霜,贝母,玄明粉,瓜蒌皮
半夏,蝎尾,干姜,胡椒
半夏,蝉蜕,黄连,僵蚕,桔梗
远志,杏仁,款冬花,胡桃肉,五味子
杏仁,贝母,旋覆花,僵蚕,陈皮
半夏,黄芩,杏仁,款冬花,苏子
半夏,黄芩,杏仁,款冬花,苏子
砂仁,杏仁,五味子,陈皮,石膏
桔梗,陈皮,石膏,五味子,麻黄
杏仁,莱菔,半夏,白芥子,贝母
天竺黄,生犀角,远志,桂,银箔
姜汁,冰片,竹沥膏,玄明粉,生硼砂
白芷,薄荷,川芎,天麻,防风
半夏,麦芽,荜澄茄,茯苓,川丁皮
生犀屑,白芷,川芎,细辛,防风
半夏,枳实,款冬花,五味子,苦梗
半夏,藿香,白蛤粉,茯苓,薄荷
半夏,藿香,茯苓,蛤粉,薄荷
巴豆,杏仁,半夏,马兜铃
杏仁,贝母,旋复花,杭菊,麦冬
天南星,白附子,真珠末,干蝎,天麻
天竺黄,丹砂,天麻,铅白霜,茯苓
瑇瑁,丹砂,犀角,阿胶,龙脑
白术,贝母,麦门冬,黄连,当归
白术,半夏,姜黄,丁香,生姜
威灵仙,天麻,鹅梨,薄荷,皂荚
半夏,鳖甲,紫团参,甘草,阿胶
半夏,前胡,黄芩,枇杷叶,瓜蒌皮
半夏,广皮,茯苓,甘草,羌活
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,茯苓
半夏,茯苓,甘草,陈皮
