白术,熟地,白芥子,薏仁,芡实
黄芪,党参,水牛角浓缩粉,白芍,黄芩
铁粉,天南星,金箔,银箔,脑子
生龙脑,金箔,天南星,丹参,天雄
金箔,银箔,朱砂,龙脑,蛤粉
琥珀,天南星,天竺黄,丹参,茯苓
真珠,龙脑,羚羊角,丹参,朱砂
麦冬,花粉,陈皮,百部,桔梗
黄芩,茯苓,枣仁,陈皮,贝母
天南星,金箔,地黄,天麻,白附子
紫菀,杏仁,紫苏,人参,桑白皮
紫苏,桔梗,枳壳,陈皮,杏仁
杏仁,紫苏,麻黄,陈皮,桔梗
款冬花,紫菀,牛膝,麦冬,天冬
辰砂,菖蒲,麦门冬,白术,丹参
麦冬,菖蒲,杏仁,桔梗,陈皮
银箔,金箔,蝉蜕,白僵蚕,真珠末
白术,天南星,白附子,黑附子,茯苓
薄荷,金银花,贝母,枇杷叶,小木通
芍药,黄连,苍术,神曲,桔梗
粳米,陈茶叶
枳壳,肉豆蔻,砂仁,半夏,术香
铁粉,辰砂,天南星,天麻,山芋
辰砂,枣仁,乳香
天南星,天麻,辰砂,白附子,麝香
天南星,天麻,白附子,辰砂,麝香
天南星,辰砂,白矾,半夏
陈皮,天南星,神曲,白芷,麦糵
天南星,辰砂,白矾,半夏
天南星,辰砂,白附子,半夏,白矾
缩砂仁,草果仁,桔梗,茯苓,甘草
茶叶,粳米,白糖
黄连,茱萸,苍术,神曲,半夏
黄连,苍术,茱萸,半夏,陈皮
二丑,香附,沉香,灵脂,大黄
陈皮,柴胡,生姜,半夏,甘草
芍药,桔梗,黄连,龙胆草,柴胡
红花,赤芍,黄芩,山栀,薄荷
麻黄,葶苈,桑白皮,贝母,蜂蜜
杏仁,枇杷叶,贝母,白糖,柠檬酸5厘
薄荷,枇杷叶,贝母,桔梗
杏仁,贝母,蜂蜜
白蔻,薏仁,钩藤,白蒺藜,半夏
二十,川芎,桔梗,三十,龙脑
薄荷,川芎,细辛,3,150克
川芎,细辛,薄荷,龙脑,桔梗
香附,麝香,荜茇,脑香,苏合香
羚羊角,贝母,青礞石,猪脱氧胆酸,人工竺黄
粳米,贝母,冰糖
粳米,贝母,砂糖
茯苓,陈皮,贝母,花粉,桔梗
紫菀,杏仁,五味子,贝母,甘草
贝母,杏仁,款冬花,知母,五味子
贝母,人参,茯苓,百合,柴胡
杏仁,紫菀,贝母,甘草,桔梗
紫菀,黄耆,五味子,地黄,人参
黄芪,菖蒲,半夏,胆南星,当归
黄芪,紫菀,杏仁,茯苓,百合
缩砂仁,薄荷,栝楼,盐,白芷
薄荷,三,川芎,缩砂仁,四
薄荷,缩砂仁,川芎,甘草,桔梗
薄荷,缩砂仁,川芎,甘草,桔梗
鸡苏叶,缩砂仁,荆芥,盐,甘草
鸡苏叶,缩砂仁,荆芥,瓜蒌根,盐
鸡苏叶,缩砂仁,荆芥,瓜蒌根,盐
陈皮,槟榔,京三棱,黑牵牛,蓬莪荗
麻黄,杏仁,百部
象牙末,丹参5厘,熊胆,麝香5厘,黄连
紫菀,葶苈,杏仁,麻黄,五味子
真麝香,厚朴,神金,辰砂,血竭
白芍,熟地,生地,元参,麦冬
麦冬,桔梗,白芍,玄参,地黄
牵牛,粉霜,龙脑,轻粉,雷丸末
板蓝根,银花,麦冬,连翘,木通
千年古石灰不拘多少
枣仁,麦门冬,朱砂,人参,生龙脑
地黄,知母,玄参,贝母,诃黎勒皮
上好片术
白术,干姜,半夏,人参,甘草
乌嘴凤头白鸭
天南星,白僵蚕,五灵脂,地龙干,全蝎
天南星,辰砂,菖蒲,天麻,麝1字
檀香,琥珀,天南星,辰砂,金箔
琥珀,辰砂,雄黄,天竺黄,胆南星
雄黄,天竺黄,白矾,郁金
茶叶,杏仁,麻黄,半夏,生姜
紫苏,天南星,麻黄,花粉,陈皮
甜杏,白冰
天南星,黄芩,半复
黑附子,半夏,生姜
厚朴,广皮,苍术,半夏,茯苓
贝母,知母,瓜萎仁,半夏,桔梗
杏仁,半夏
旋复花,芍药,地黄,陈皮,人参
神曲,苍术,半夏,柴胡,藁本
白术,半夏,神曲,天麻,干姜
白术,天麻,半夏
白术,茯苓,陈皮,天麻,枣仁
白术,半夏,苍术,天麻,干姜
半夏,秫米
苍术,厚朴,半夏,陈皮,神曲
厚朴,紫苏,枳壳,茯苓,半夏
昆布,枳壳,羚羊角,槟榔,杏仁
干苏叶,厚朴,半夏,茯苓,生姜
白术,滑石,天南星,贝母,白附子
半夏,防风
朱砂,白矾,黄丹,半夏
白矾,半夏
瓜蒌子,半夏
半夏,朴消,枳壳,茯苓
槟榔,陈皮,木香,半夏,郁李仁
猪苓,破故纸,半夏,沉香
天南星,香附,栀子,石膏,半夏
雪梨,北杏,白砂糖
冬葵子,八角金盘,陈皮,琥珀,滑石
檀香,丁香,红花,北沙参,拳参
檀香,丁香,红花,北沙参,拳参
紫苏,片脑,白檀香,薄荷,桂花
金银花,玄参,贝母,黄柏,栀子
朱砂,天南星,巴豆,神曲
巴豆,朱砂,大黄,丹参,神曲
麦冬,白萝卜,雪梨,白茅根,生藕
胆南星,天麻,薄荷,芥穗,羌活
胆南星,钩藤,半夏,羌活,天麻
琥珀,钩藤,犀角,陈皮,天南星
连翘,胆南星,活蝎子,琥珀,钩藤
粉草,蝉蜕,天麻,薄荷,黄连
天南星,琥珀,辰砂,天麻,麝香
天南星,半夏,皂角,生姜,白矾
琥珀,地骨皮,白术,薏仁,麦门冬
半夏,杏仁,豆
半夏,甘菊,川芎,干蝎,防风
木香,陈皮,半夏,黑牵牛,槟榔
天南星,猪牙皂角,黑牵牛,半夏,白矾
木香,天南星
天南星,干姜,半夏
瓜蒌仁,陈皮,贝母,麦冬,紫菀
蝎尾,干姜,半夏,胡椒
黄连,活蝎子,桔梗,蝉蜕,麻黄
巴戟天,仙灵脾,杏仁,苏子,代赭石
杏仁,贝母,黛蛤散,葶苈,旋覆花
麻黄,款冬花,杏仁,黄芩,桑白皮
麻黄,款冬花,杏仁,黄芩,桑白皮
麻黄,杏仁,砂仁,陈皮,五味子
木香,陈皮,石膏,五味子,麻黄
贝母,陈皮,苏子,豆豉,白芥子
银箔,生犀角,金箔,菖蒲,铁粉
薄荷,姜汁,玄明粉,煅金礞石,朱砂面
天麻,薄荷,朱砂,细辛,白芷
厚朴,青皮,陈皮,茯苓,半夏
生犀屑,白芷,菊花,细辛,龙脑
苦梗,麻黄,款冬花,人参,阿胶
天南星,干姜,白蛤粉,寒水石,半夏
天南星,干姜,寒水石,人参,藿香
杏仁,马兜铃,半夏,巴豆
旋复花,陈皮,白蒺藜,白蒺藜,麦冬
真珠末,龙脑,天麻,天南星,白附子
天麻,龙脑,铅白霜,天竺黄,丹参
瑇瑁,真珠,阿胶,犀角,龙脑
白术,贝母,黄连,麦门冬,菖蒲
白术,姜黄,白檀香,丁香,人参
天麻,皂荚,薄荷,白蒺藜,甘草
紫团参,鳖甲,阿胶,半夏,甘草
贝母,菖蒲,紫苏,紫苏,杏仁
广皮,半夏,羌活,茯苓,防风
麻黄,杏仁,桔梗
昆布,陈皮,海藻,茯苓,白芥子
茯苓,陈皮,半夏,甘草
茯苓,陈皮,半夏,甘草
厚朴,广皮,苍术,半夏,茯苓
苏梗,厚朴,陈皮,茯苓,半夏
当归,滑石,陈皮,川芎,香附
茯苓,陈皮,半夏,甘草
陈皮,甘草
贝母,知母,石膏
紫菀,玄参,麦门冬,知母,杏仁
知母,陈皮,贝母,茯苓,半夏
天门冬,知母,贝母,麦门冬
天南星,陈皮,苏梗,菖蒲,半夏
麦冬,瓜蒌仁,竹茹,天冬,百部
天门冬,麦冬,知母,贝母
贝母,北沙参,知母,南沙参,提麦冬
天南星,白僵蚕,飞过枯矾,半夏
厚朴,半夏,陈皮,白姜,草果子
白芷,赤芍,陈皮,花粉,桔梗
芍药,白芷,桔梗,苍术,玄参
白芷,天麻,芎,人参,半夏
木香,杏仁,防己
