芡实,白芥子,诃黎勒,白术,益智
黄芪,水牛角浓缩粉,白芍,川芎,黄芩
腻粉,银箔,金箔,生犀末,天南星
金箔,白矾,腻粉,天竺黄,天南星
银箔,金箔,牙消,甘草,人参
麝香,茯苓,琥珀,僵蚕,朱砂
真珠,升麻,羚羊角,黄芩,犀角屑
花粉,百部,元参,甘草,麦冬
黄芩,甘草,茯苓,贝母,陈皮
金箔,地黄,归身,麦门冬,人参
紫苏,葶苈,甘草,桑白皮,杏仁
枳壳,细辛,紫苏,茯苓,缩砂仁
茯苓,紫苏,前胡,甘草,麻黄
款冬花,天冬,桑白皮,紫菀,生地
菖蒲,白术,麦门冬,人参,辰砂
甘草,菖蒲,杏仁,麦冬,茯神
银箔,金箔,白附子,真珠末,白僵蚕
黑附子,茯苓,白术,天南星,白附子
金银花,枇杷叶,甘草,桑叶,贝母
芍药,山楂,陈皮,川芎,枳实
陈茶叶,粳米
枳壳,槟榔,肉豆蔻,砂仁,丁香
山芋,白附子,辰砂,菖蒲,麦门冬
白附子,天南星,川芎,辰砂,白芷
白附子,天南星,辰砂,白芷,川芎
白矾,辰砂,天南星,半夏
白矾,麦糵,白芷,神曲,天南星
白矾,辰砂,天南星,半夏
白附子,白矾,辰砂,天南星,半夏
茯苓,生姜,桔梗,甘草,缩砂仁
粳米,茶叶,白糖
茱萸,黄连,神曲,茯苓,甘草
茱萸,黄连,茯苓,苍术,陈皮
山芋,陈皮,五味子,黄耆,菟丝子
牙皂,二丑,沉香,香附,灵脂
柴胡,甘草,生姜,陈皮,半夏
芍药,龙胆草,柴胡,贝母,甘草
柴胡,甘草,黄芩,丹皮,山栀
麻黄,贝母,蜂蜜,桑白皮,葶苈
枇杷叶,杏仁,贝母,尼泊金,薄荷5厘
枇杷叶,贝母,薄荷,桔梗
蜂蜜,杏仁,贝母
钩藤,菊花,白蒺藜,薏仁,川芎
二十,薄荷,龙脑,川芎,甘草
1,3,川芎,薄荷,12千克
龙脑,薄荷,细辛,川芎,防风
吃力伽,苏合香,熏陆香,脑香,木香
羚羊角,青礞石,麝香,人工竺黄,沉香
粳米,贝母,冰糖
粳米,砂糖,贝母
花粉,茯苓,陈皮,瓜蒌,贝母
甘草,百部,五味子,紫菀,杏仁
款冬花,甘草,杏仁,知母,五味子
柴胡,甘草,贝母,杏仁,人参
甘草,紫菀,杏仁,贝母,桔梗
地黄,五味子,桑白皮,黄耆,人参
黄芪,当归,菖蒲,甘草,胆南星
黄芪,甘草,茯苓,沙参,百合
白芷,缩砂仁,荆芥,盐,甘草
四,薄荷,三,甘草,防风
缩砂仁,薄荷,甘草,川芎,防风
缩砂仁,薄荷,甘草,川芎,防风
甘草,盐,缩砂仁,荆芥,瓜蒌根十
盐,甘草,缩砂仁,荆芥,瓜蒌根
盐,甘草,缩砂仁,荆芥,瓜蒌根
枳实,蓬莪荗,黑牵牛,槟榔,京三棱
麻黄,杏仁,百部
黄连,梅片,珍珠,象皮,人参
甘草,黄芩,制桑白皮,五味子,杏仁
柴胡,贝母,巴豆,血竭,肉豆蔻
当归,白芍,元参,贝母,熟地
白芍,当归,贝母,地黄,地黄
牵牛,粉霜,轻粉,龙脑,雷丸末
桑叶,连翘,牛蒡,贝母,木通
千年古石灰不拘多少
麦门冬,茯苓,人参,朱砂,枣仁
贝母,地黄,白矾,玄参,知母
上好片术
干姜,甘草,白术,人参,半夏
乌嘴凤头白鸭
五灵脂,地龙干,白僵蚕,天南星,全蝎
菖蒲,山药,天南星,茯苓,麝1字
山药,金箔,枳实,茯苓,琥珀
麝香,茯苓,胆南星,琥珀,僵蚕
白矾,雄黄,郁金,天竺黄
枳实,茶叶,生姜,瓜蒌霜,石膏
山楂,贝母,紫苏,黄芩,枳壳
甜杏,白冰
黄芩,天南星,半复
黑附子,生姜,半夏
茯苓,苍术,广皮,甘草,厚朴
知母,瓜萎仁,贝母,枳亮,桔梗
杏仁,半夏
芍药,芎藭,地黄,茯苓,生姜
黄柏,黄耆,干姜,神曲,泽泻
白术,半夏,天麻
蔓荆子,甘草,茯苓,生姜,白术
黄柏,黄耆,干姜,白术,泽泻
秫米,半夏
神曲,茯苓,甘草,厚朴,苍术
枳壳,茯苓,紫苏,厚朴,诃黎勒皮
牛蒡,茯苓,羚羊角,甘草,槟榔
厚朴,茯苓,干苏叶,生姜,半夏
滑石,白矾,茯苓,白附子,白术
防风,半夏
白矾,黄丹,半夏,朱砂
白矾,半夏
瓜蒌子,半夏
茯苓,朴消,枳壳,半夏
郁李仁,槟榔,半夏,木香,陈皮
猪苓,沉香,破故纸,半夏
栀子,香附,天南星,石膏,半夏
白砂糖,雪梨,北杏
八角金盘,滑石,益母草,赤小豆,琥珀
檀香,红花,白葡萄干,丁香,拳参
檀香,红花,白葡萄干,丁香,拳参
紫苏,乌梅肉,桂花,硼砂,薄荷
黄柏,金银花,当归,栀子,柴胡
巴豆,神曲,天南星,朱砂
巴豆,胆南星,神曲,朱砂,大黄
生藕,白萝卜,荸荠,生地,麦冬
薄荷,芥穗,甘草,防风,淡全蝎
黄芩,钩藤,胆南星,独活,甘草
钩藤,桑叶,茯苓,羚羊角,珍珠
钩藤,桑叶,芥穗,甘草,连翘
钩藤,菖蒲,黄连,胆南星,陈皮
蝉退,白附子,天南星,琥珀,全蝎
白矾,生姜,天南星,半夏,皂角
白芍,贝母,地骨皮,当归,山药
杏仁,豆,半夏
干蝎,川芎,甘菊,独活,防风
黄芩,炒黑丑,大黄
枳壳,陈皮,槟榔,京三棱,黑牵牛
猪牙皂角,白矾,黑牵牛,天南星,半夏
木香,天南星
干姜,天南星,半夏
陈皮,枇杷叶,百部,冬花,天冬
干姜,胡椒,蝎尾,半夏
黄连,甘草,羌活,蝉蜕,麻黄
杏仁,人参,款冬花,巴戟天,五味子
枇杷叶,杏仁,陈皮,贝母,苏子
黄芩,款冬花,甘草,桑白皮,杏仁
黄芩,款冬花,甘草,桑白皮,杏仁
陈皮,麻黄,砂仁,五味子,石膏
麻黄,五味子,木香,陈皮,石膏
白芥子,蒌皮,苏子,杏仁,白桑白皮2
菖蒲,金箔,桂,银箔,丹砂
白矾,甘草,薄荷,郁金,朱砂面
白芷,薄荷,川芎,甘草,细辛
茯苓,荜澄茄,厚朴,半夏,青皮
菊花,龙脑,细辛,生犀屑,白芷
枳实,苦梗,款冬花,茯苓,甘草
藿香,白矾,干姜,茯苓,寒水石
藿香,白矾,干姜,茯苓,寒水石
马兜铃,巴豆,杏仁,半夏
桑叶,贝母,赭石,杭菊,白蒺藜
干蝎,真珠末,白附子,丹砂,龙脑
甘草,茯苓,丹砂,天竺黄,龙脑
真珠,丹砂,犀角,瑇瑁,阿胶
当归,菖蒲,甘草,陈皮,黄连
人参,白术,生姜,甘草,丁香
皂荚,鹅梨,薄荷,防风,白蒺藜
甘草,鳖甲,阿胶,紫团参,半夏
枇杷叶,黄芩,青礞石,菖蒲,白前
茯苓,羌活,广皮,甘草,半夏
麻黄,杏仁,桔梗
茯苓,白芥子,甘草,昆布,陈皮
茯苓,甘草,陈皮,半夏
茯苓,甘草,陈皮,半夏
茯苓,苍术,广皮,甘草,厚朴
茯苓,甘草,厚朴,苏梗,半夏
滑石,当归,茯苓,枳实,甘草
茯苓,甘草,陈皮,半夏
陈皮,甘草
贝母,石膏,知母
麦门冬,知母,款冬花,杏仁,玄参
茯苓,甘草,知母,陈皮,贝母
麦门冬,天门冬,贝母,知母
菖蒲,甘草,沙参,生地,茯苓
百部,瓜蒌仁,天冬,竹茹,麦冬
知母,贝母,天门冬,麦冬
知母,贝母,淡天冬,南沙参,北沙参
竹茹,白芍,龙骨,菖蒲,泽泻
白僵蚕,飞过枯矾,天南星,半夏
白姜,黑附子,草果子,厚朴,甘草
黄芩,花粉,贝母,陈皮,元参
芍药,陈皮,花粉,贝母,黄芩
芎,白芷,人参,茯苓,防风
杏仁,木香,防己
天冬,黄连,贝母,石斛,茯苓
蜂蜜,白皮大萝卜
茯苓,甘草,陈皮,半夏
白鲜,枳实,茯神,黄芩,羚羊角
金银花,苇根,陈皮,冬瓜子,薏仁
白花蛇舌草,黄芪,党参,白术,茯苓
白芥子,桑叶,瓜蒌皮,枳壳,梨膏
竹茹,白芍,贝母,黄芩,丹皮
白矾,粉霜,黑牵牛子,半夏
陈皮
