红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,赤芍,孩儿参
红花,姜黄,羌活,刘寄奴,当归
虎杖,茜草,莪术,黄芩,全瓜蒌
地龙,防风,细辛,荆芥,全蝎
没药,乳香,紫荆皮,白芷,甘草
桃仁,大黄,石苇,牡丹,黄芩
没药,自然铜,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,骨碎补
桃仁,红花,当归尾,栝楼,牛膝
没药,三七,香油,乳香,冰片
没药,乳香,知母,皂刺,全蜈蚣
丹参,杜仲,芎藭
桃仁,泽兰,红花,丹皮,白芍药
红花,三七,琥珀,乳香,苏木
桃仁,蛴螬,黄芩,干漆,大黄
地龙,没药,自然铜,丹皮,肉桂
黑豆,丹参,泽兰,玄胡,香附
桃仁,丹参,没药,蔓荆子,苏木
红花,鸡血藤,黄耆,炼蜜,胆草
桃仁,红花,莪术,皂角刺,穿山甲
没药,玄胡,丹皮,乳香,金银花
桃仁,红花,玄胡,川楝,赤芍
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,穿山甲,大黄,当归
全虫,蜈蚣,虫,川山甲
桃仁,五灵脂,红花,丹皮,玄胡
桃仁,红花,灵脂,玄胡,丹皮
丹参,黄芩,川楝,乌药,柴胡
桃仁,牡丹,茯苓,芍药,桂枝
桃仁,丹皮,芍药,茯苓,桂枝
桃仁,归尾,泽兰,红花,玄胡
桃仁,丹参,莪术,赤芍,三棱
桃仁,丹参,莪术,赤芍,三棱
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,蒲黄,熟干地黄,甘草
没药,元胡,丹皮,连翘,乳香
红花,75,酒精
丹参,参三七,琥珀,龙齿,姜川连
紫苏,何首乌,肉桂,防风,羌活
红花,紫苏,莪术,黄柏,苏木
归尾,伸筋草,松节,姜黄,防风
没药,香油,蛇蜕,儿茶面,乳香
桃仁,红花,当归尾,白蒺藜,荆芥
桃仁,归尾,玄胡,赤芍,黄芩
蝙蝠,当归,骨碎补,大黄,补骨脂
丹参,泽兰,金钱草,山药,车前子
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,莪术,三棱
红花,丹皮,防风,酒归尾,赤芍
当归,酒生地,血竭,刘寄奴,枳壳
红花,珍珠,蟾酥,人参,灵芝
没药,肉桂,党参,炮姜,白术
黑豆,桃仁,五灵脂,没药,红花
丹参,红花,细辛,灵仙,秦艽
桃仁,丹参,莪术,穿山甲,大黄
桃仁,丹参,莪术,穿山甲,大黄
丹参,三七,茜草,赤芍,降香
丹参,三七,党参,益母草,川芎
桃仁,姜黄,五灵脂,没药,红花
伸筋草,香油,松节,茜草,刘寄奴
鸡血藤,土茯苓,乳香,元参,双花
桃仁,玄胡,丹皮,栀子,黄芩
丹参,泽兰,没药,鸡血藤,玄胡
蒲公英,丹皮,土贝母,川军,冬瓜子
香油,章丹
丹参,红花,赤芍,川芎,降香
自然铜,鸡子,朱砂,孩儿牙齿
黑豆,桃仁,红花,玄胡,益母草
没药,自然铜,土鳖虫,熟军,乳香
桃仁,红花,党参,附子,白术
红花,穿山甲,独活,牛膝,当归
桃仁,当归,益母草,炮姜,炙草
没药,乳香,瓜蒌,甘草,当归
桃仁,归尾,红花,赤芍,板蓝根
桃仁,红花,白芍药,熟地黄,当归
茅根,丹皮,芍药,当归,川芎
丹参,土贝母,茜草,元参,黄柏
酒黄芩,丹皮,秦皮,生地,栀子
茅根,鸡血藤,丹皮,茜草,山栀
红花,黄耆,人参1,川芎,茯苓
丹参,红花,鸡血藤,丹皮,桑椹
桃仁,丹参,红花,赤芍,川芎
没药,自然铜,土鳖虫,麻黄,乳香
醋,半夏
桃仁,红花,海金砂,昆布,大黄
泽兰,山栀,川楝,郁金,香附
丹参,制半夏,赤芍,川芎,五味子
没药,桂心,赤芍,当归,木香
红花,五灵脂,黄芩,生地,生姜
炉甘石,珍珠,硼砂,牛黄,冰片
丹参,牡丹,薏苡仁,生姜,甘草
归尾,草决,蔓荆子,栀子,连翘
玄胡,肉桂,缩砂,莪术,青皮
丹参,茜草,黄柏,木瓜,茯苓
地龙,没药,玄胡,乳香,儿茶
红花,归尾,益母草,酒生地,刘寄奴
桃仁,泽兰,参三七,青皮,枳壳
丹参,泽兰,桃仁,没药,红花
地龙,肉桂,仙灵脾,穿山甲,木通
丹参,青皮,黄芪,白芍,柴胡
丹参,地龙,皂角刺,川楝,橘叶
丹参,橘叶,昆布,瓜蒌,莪术
红花,三七,龙血竭,麝香,冰片
桃仁,地龙,没药,红花,灵脂
红花,川芎,党参,黄芪,当归
桃仁,当归,人参,黄芩,大黄
玄胡,乳香,广郁金,香附,白芍
桃仁,泽兰,红花,香附,当归尾
桃仁,当归,炙草,川芎,黑姜
红花,干葛,白芷,防风,羌活
没药,灵脂,元胡,香附
五灵脂,没药,玄胡,赤芍,川芎
