乳香,白莴苣子,没药,乌梅,白粟米
蓖麻仁,片松香,铜绿,杏仁
石膏,踯躅花,羌活,鹅不食草,蔓荆子
草乌,红花,藁本,威灵仙,紫丁皮
芙蓉叶,赤小豆,黄柏,白芷,赤芍
三七,红花,蒲黄,五灵脂,玄胡
破故纸,五灵脂,乳香,丁公藤,茴香
白芍,石韦,海金沙,栀子,滑石
破故纸,没药,五灵脂,乳香,茴香
草乌,川乌,细辛,红花,当归
三七,炙马钱子,没药,骨碎补,乳香
草乌,川乌,细辛,红花,当归
草乌,樟脑,冰片,大黄,茴香
地龙,漏芦,威灵仙,芎藭,白芷
三七,樟脑,水杨酸甲酯,冰片,红花
乳香,没药,雄黄,黄米,蜈蚣
乳香,川芎,没药,陈皮,红花
樟脑,冰片,川乌,甘松,丁香
血竭,三七,马前子,没药,透骨草
没药,乳香,紫荆藤,三七,川芎
乳香,没药,五加皮,陈皮,川断
乳香,没药,地黄,丹皮,川芎
三七,夏枯草,当归,红花,知母
芍药
银花,槐花,当归,升麻,滑石
草乌,天南星,芍药,肉桂,白芷
血竭,乳香,土鳖虫,当归,自然铜
乳香,没药,川芎,木通,陈皮
草乌,肉桂,红花,天南星,半夏
金铃子,玄胡
银花,没药,红花,乳香,丹参
白芍,威灵仙,甘草,红花,麻黄
乳香,没药,柴胡,贯众,栀子
乳香,轻粉,没药,当归,猪油
没药,乳香,川芎,三七,木香
马钱子,麻黄,没药,乳香
川芎,透骨草,铁屑,当归,防风
老鹳草
血竭,没药,朴消,羚羊角,红花
草乌,麻黄,何首乌,羌活,石斛
杜仲,白芍,乳香,龟甲,茴香
冰片,乳香,没药,轻粉
元胡,螵蛸,鹿角胶,白芨,白芍
蒲黄,闹羊花,红花,当归,白芷
乳香,珠子沥青,白黄蜡
草乌,茴香,五灵脂,陈皮,川楝
草乌,茴香,五灵脂,川楝,陈皮
乳香,川芎,没药,川乌,苍术
元胡,砂仁,陈皮,片姜黄,蔻仁
血竭,自然铜,没药,地龙,乳香
破故纸,延胡索,当归,杜仲,牛膝
乳香,没药,芍药,陈皮,贝母
没药,羌活,杜仲,乳香,马钱子
血竭,干胭脂,轻粉,密陀僧
红花,柴胡,杜仲,生姜,青皮
白芥子,郁李仁,白芍,柴胡,甘草
元参,当归,甘草,金银花
冰片,樟脑,水杨酸甲酯,颠茄流浸膏,薄荷
元胡,车前子,茯苓皮,甘草,大青叶
羌活,骨碎补,川芎,当归,独活
杜仲,羌活,地黄,独活,黑附子
银花,乳香,没药,牛蒡,花粉
破故纸,当归,玄胡索,牛膝
朴消,玄胡索
玄胡索,川芎,白芍,当归,熟地
乳香,麝香,没药,黄米饭,犀黄
银花,赤芍,薏仁,延胡索,丹皮
藁本,夏枯草,桑叶,荷叶,白茅根
三七,赤芍,麦冬,北沙参
五加皮,三七,没药,乳香,川断
