山药,胡椒末,糯米,白糖
芡实,白术,山药,益智,肉豆蔻
白术,天仙藤,紫苏,砂仁未,茯苓皮
白术,陈皮,续断,杜仲,地黄
神曲,青皮,三棱,麦曲,陈皮
白术,干葛,甘草,茯苓
苍术,陈皮,藿香,厚朴,甘草
砂仁,肉豆蔻,术香,槟榔,全蝎
扁豆,芡实,何首乌,冬青子,知母
巴戟,韭子,鹿角胶,何首乌,杜仲
山药,巴戟,山萸,云苓,菖蒲
草果,葱,胡椒,赤小豆,鸡汤
白术,去皮,黑附子lt,甘草,炮裂
赤小豆
白术,陈皮,柴胡,甘草,草豆蔻
草果仁,生姜,甘草,缩砂仁,桔梗
苍术,地榆
云苓,苍术,甘草,川椒,茴香
苍术,茯芩
苍术,茯苓
苍术
精羊肉,生姜,肉苁蓉,粳米2茎
精羊肉,肉苁蓉
党参,白术,干姜,肉豆蔻,甘草
通草,党参,山药,扁豆,甘草
白术,生姜,肉豆蔻,陈皮,甘草
使君子
神曲,山药,良姜,苍术,萝卜子
白术,黄芩,猪苓,茯苓,泽泻
白术,人参,白豆蔻,甘草,山楂
贝母,山楂,薏仁,麦冬,九肋鳖甲
白术,槟榔,蓬莪术,茱萸,乌药
白术,黄芪,山药,麦冬,山萸
白术,山药,陈皮,干姜,莲肉
白术,鹿角霜,白芍,续断,菟丝子
党参,阿胶,杜仲,川断,陈皮
白术,党参,鹿角霜,砂仁,杜仲
白术,麦门冬,陈皮,枸杞,茯苓
白术,麦门冬,陈皮,枸杞,茯苓
白术,山药,丁香,缩砂仁,茴香
大黑豆,甘草,何首乌,青盐,茯苓
党参,白术,云苓,甘草,神曲
党参,白术,升麻,黄芪,苍术
白术,苍术,大腹皮,紫苏,陈皮
芡实,神曲,苍术,山药,甘草
小白菜,苡米
芡实,白术,花粉,山药,薏仁
干柿不拘多少
上好片术
白术,绵白糖
白术,槟榔,生姜
白术,橘络,甘草,茯苓,荆芥
白术,人参,甘草,茯苓
白术,川椒,牡蛎,芎藭
