山药,糯米,胡椒末,白糖
诃黎勒,山药,肉桂,益智,白术
白术,大腹皮,茯苓皮,冬葵子,人参
杜仲,当归,白芍,白术,麦冬
神曲,蓬术,枳壳,香附,人参
白术,干葛,甘草,茯苓
半夏,厚朴,苍术,藿香,陈皮
术香,槟榔,肉豆蔻,全蝎,枳壳
扁豆,天冬,人参量加,何首乌,枸杞
杜仲,巴戟,韭子,枸杞,当归
巴戟,山药,杜仲,山萸,菖蒲
胡椒,葱,陈皮,赤小豆,盐
白术,阿胶,当归,芍药,炮裂
赤小豆
柴胡,白术,草豆蔻,陈皮,人参
茯苓,生姜,桔梗,甘草,缩砂仁
地榆,苍术
芍药,苍术,川椒,破故纸,厚朴
苍术,茯芩
苍术,茯苓
苍术
肉苁蓉,生姜,粳米2茎,精羊肉
肉苁蓉,精羊肉
肉桂,干姜,白术,肉豆蔻,党参
扁豆,通草,山药,白术炭,肉豆蔻
五味子,白术,肉豆蔻,黄耆,人参
使君子
沉香,茯苓,郁李仁,防己,杏仁
山药,神曲,干姜,良姜,莪术
枸杞,麝香,仙灵脾,鹿茸,韭子
白术,柴胡,黄芩,泽泻,茯苓
石斛,山楂,甘草,白术,白豆蔻
柴胡,茯苓,九肋鳖甲,贝母,山楂
硇砂,半夏,肉豆蔻,槟榔,川苦楝子
山药,杜仲,白术,白芍,山萸
干姜,白芍,莲肉,山药,白术
白术,当归,白芍,乌贼骨,女贞子
杜仲,阿胶,党参,甘草,白芍
杜仲,党参,白术,阿胶,当归
麦门冬,枸杞,人参,白术,生地
麦门冬,枸杞,人参,白术,生地
桂,巴戟,山药,白术,沉香
茯苓,大黑豆,何首乌,甘草,青盐
蔻仁,山药,神曲,枣仁,白术
升麻,桔梗,白术,党参,黄芪
白芍,白术,木瓜,苍术,厚朴
山药,神曲,甘草,苍术,山楂
苡米,小白菜
山药,牛膝,花粉,白术,芡实
干柿不拘多少
上好片术
白术,绵白糖
槟榔,白术,生姜
白术,荆芥,橘络,茯苓,甘草
白术,人参,甘草,茯苓
牡蛎,白术,芎藭,川椒
白术,葛根,人参,木香,茯苓
白术,大腹皮,生姜,茯苓,陈皮
干姜,厚朴,人参,白术
扁豆,粳米
扁豆,人参,粳米
干姜,白术,川芎,苍术,猪苓
半夏,厚朴,苍术,甘草,广皮
干姜,红豆蔻,黑附子,草豆蔻,半夏
天麻,白术,半夏
白附子,白术,滑石,贝母,天南星
人参,扁豆,山药,甘草,芡实
扁豆,米仁,使君子肉,莲心,白砂糖
扁豆,生米仁,使君子,砂仁,糯米
扁豆,粳米,莲子,山药,糯米
枣仁,山药,扁豆,百合,大米
桔梗,扁豆,黄连,人参,白术
杜仲,韭子,胡桃仁,菟丝子,玫瑰花
黄连,黄芩,白术,神曲,萝卜子
川白姜,肉豆蔻,厚朴,1两半,1两半
白盐,甘草,椒子,削术
红糖,肉豆蔻,生姜,面粉
草豆蔻,白术,高良姜,人参,白豆蔻
白术,厚朴,枳实,白蔻仁,茯苓
白芍,神曲,炙草,豆蔻,白术
蜂王浆
橘子,生姜,盐,甘草
山药,五味子,人参,芡实,麦冬
白术,芍药,川芎,当归,泽泻
芎,芍药,当归,白术,泽泻
芍药,白术,黄芩,当归,芎藭
白术,桑白皮,茯苓,木香,陈皮
苍术,厚朴,陈皮,甘草
桑白皮,厚朴,甘草,苍术,陈皮
苍术,厚朴,陈皮,甘草
羊肉1脚子,良姜,草果
白术,芍药,川芎,糯米,木通
竹叶,陈皮,枣仁
木香,枣仁
白术,豆蔻,当归,山楂,谷芽
干姜,肉桂,神曲,胡椒,黑附子
良姜,藿香,丁香,甘草
桂,扁豆,胡椒,山药,白术
黄连,白术,半夏,山楂,白豆蔻
白术,黄连,山楂,半夏,广青皮
扁豆,白鲜皮,五加皮,桑白皮,大腹皮
扁豆,五加皮,白藓皮,桑白皮,冬瓜皮
白术,狗脊,白附子,木鳖子,羌活
薏仁,粳米,冬麻子
黄耆,升麻,党参,当归,桂圆肉
麦门冬,白术
党参,于潜术,桂园肉,绵黄耆
白术,白芍,柴胡,龙胆草,薄荷
山栀,丹皮
黄芪,山药,枣仁,白术,党参
半夏,茯苓,甘草,陈皮
甘草,陈皮
牛膝,白术,苍术,金银花,茯苓皮
茱萸,白术,神曲,厚朴,破故纸
茯苓,熟地,凤尾草,菟丝子,匾蓄
白术,干姜,黑附子,甘草,党参
柿饼,枣仁,栗子,胡桃
麻黄,白术,防风,苍术
白术,防己,甘草,黄耆
茯苓,桂枝,甘草,黄耆,防己
白糖等份,米粉,茯苓细粉
粳米,茯苓粉,白糖,车前子
枣仁,茯苓粉,粳米
茯苓,粳米
茯苓,鸡肝
白术,茯苓
白术,甘草,桂枝,茯苓
白术,茯苓,戎盐
枣仁,粳米,白糖,茯苓粉
苏子,乌药,白术,扁豆,五灵脂
苍术,白鲜皮,泽泻,茯苓,佩兰
福橘,茱萸,山药,黄精,莲肉
苡米,扁豆,白术,莲子,芡实
神曲,使君子肉,大黄,百部,胡连
扁豆,糯米,粳米,芡实,白术
黄连,肉豆蔻,神曲,槟榔,使君子
芦荟,白术,神曲,使君子,黄连
黄连,扁豆,白术,黄耆,麦冬
黄连,槟榔,肉豆蔻,白术,神曲
黄连,扁豆,使君子肉,山药,神曲
白术,槟榔,胡连,石斛,芜荑
黄连,肉豆蔻,槟榔,神曲,使君子仁
黄连,白术,神曲,龙胆草,槟榔
神曲,使君子,莲肉,山楂,木香
故纸,白术,山萸,枣仁,干姜
白术,黄芩,黄连,莱菔,糖球子
竹茹,菖蒲,厚朴,郁金,苍术
半夏,生姜,草豆蔻,晋州绛矾,丁皮
干姜,官桂,芍药,益智仁,白术
巴戟,枸杞,山萸,桑叶,冬青
薄荷,白术,白芍,党参,鹿角胶
白术,益智仁,党参,黄连,豆蔻
肉桂,蓍草,七叶一枝花,高良姜,木香
党参,黄耆,胎盘粉,陈皮,麦芽
黄芪,扶芳藤,红参
扁豆,猪苓,赤芍,萆,山药
赤苓,扁豆,猪苓,山药,泽泻
党参,猪苓,泽泻,五加皮,茯苓
佛手柑
干姜,枳壳,白术,当归,茯苓
神曲,莲肉,鸡肫皮,锅焦,山楂
神曲,枳壳,莪术,麦芽,三棱
白术,干生姜,木香,神曲,猪苓
白术,干生姜,神曲,猪苓,木香
山药,白芍,柴胡,防风,细辛
焦三仙,枳壳,佩兰,苍术,茵陈
真芦荟,芜荑,厚朴,甘草,青黛
高良姜,肉桂,白术,草豆蔻,枣仁
白术,党参,肉桂,黑附子,当归
白术,肉桂,人参,黑附子,炒干姜
干姜,白术,肉桂,党参,甘草
干生姜,白术,半夏,泽泻,茯苓
干姜,荜茇,桂枝,白术,肉豆蔻
白芍,白术,柴胡,苍术,黄芪
当归,白术,党参,黄芪,木香
茯神,白术,黄耆,龙眼肉,人参
当归,白术,黄耆,人参,龙眼肉
当归,白术,党参,黄芪,枣仁
茯神,五味子,山药,黄耆,当归
白术,虾蟆,神曲,黄连,龙胆草
螵蛸,白芷,白术,甘草,白芍
