莲子心,桔梗,甘草,当归,赤芍
白糖,粳米,牛蒡
乳香,绿豆粉
连翘,当归,甘草,槟榔,黄连
白酒,羌活,鲜仙人掌,杏仁
黄连,黄柏,乳香,地龙,黄芩
椒目,艾曲,细辛,干姜,桂
葱,活鲤鱼,油,盐,糯米
生地,防风,香油,甘草,当归
槟榔,甘遂,大戟,葶苈,没药
丛枝蓼,白花败酱草,辅料
车前子,青粱米
车前子,粳米
葱,赤小豆,辣椒,胡椒,鸡汤
紫苏,大腹子,茯苓,桑白皮,五味子
朱砂,麝香,硼砂,铜绿,蟾酥
麝香,朱砂,乳香,胆矾,没药
李仁,花椒,白矾,青盐,防风
白糖,粳米,茶叶
白芷,乳香,川军,贝母,没药
葶苈,紫苏,茯苓,郁李仁,沉香
续随子,白牵牛,胡椒,甘遂,全蝎
贝母,板蓝根,柴胡,连翘,葛根
白胶香,蓖麻子仁
青盐,山萸,荔枝核,川楝,通草
陈皮,麝香5厘,龙衣,胭脂,冰片
西月石,西瓜霜,西丹参,飞青黛,老式大泥冰
瓜制枪消,枣仁,珍珠,真熊胆,关犀黄
西月石,玄明粉,飞辰砂,炒僵蚕,梅冰
皮硝,山豆根,硼砂,明矾丹参,青黛
贝母,青鱼胆,人指甲,硼砂,丹参
瓜制枪消,珍珠,真熊胆,大梅片,白玄明粉
赤豆,紫荆皮,独活,白芷,菖蒲
木蜡,川紫荆皮,独活,白芷,芍药
白芷,苍耳子,麻油,液状石腊,薄荷
蒲公英,生地,黄连,归尾,防风
当归,五倍子,乳香,川芎,没药
乳香,甘草,苍术,北细辛
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
巴豆,鲫鱼
白矾,食盐,朱砂,雄黄,皂矾
蓖麻子
白蜡,黄丹,柳白皮,胡粉,油
黄蜡,乳香,没药,白蜡,铅粉
樟脑,轻粉,白蜡,乳香,官粉
红粉,樟脑,石膏,轻粉,冰片
熊胆,麝香,硇砂,螵蛸,冰片
阿飞勇,李子树胶,可铁刺,白锡粉
紫苏,槟榔,羌活,陈皮,木瓜
黄蜡,乳香,孩儿茶,轻粉,没药
板蓝根,菠萝香精油,糖粉,淀粉
黄蘖,寒水石,石膏,甘草
黄蜡,没药,麻油,松香,铜绿
巴豆,乳香,没药,香油,木鳖子
金银花,红粉,苍术,没药,栀子
黄丹,赤小豆,白芷,蒲黄,半夏
赤小豆,五倍子,芙蓉叶,白芷,贝母
巴豆,乳香,麝香,没药,斑蝥
黄柏,甘草,寒水石,石膏
