珍珠母,磁石,赭石,酒曲,酒曲
枣仁,甘草,小麦
朱砂,天竺黄,珍珠,琥珀,天麻
辰砂,郁金,黄芩,丹参,山栀仁
琥珀,天麻,乌蛇,丹参,天南星
枣仁,远志,贝母,黄芩,瓜蒌
茯神,柏子仁,炙草,益智,干姜
茯神,枣仁,远志,辰砂,金箔
茯神,枣仁,辰砂,琥珀,人参
茯神,枣仁,远志,菖蒲,朱砂
枣仁,辰砂,人参
菖蒲,安神膏,五味子,丹参
珍珠母,菖蒲,夜交藤,合欢皮,丹参
远志,石莲肉,芡实,麦冬,莲须
茯神,枣仁,远志,琥珀,白芍
茯神,远志,麦门冬,朱砂,天麻
茯神,枣仁,远志,菖蒲,炙草
茯神,枣仁,远志,牡蛎,芡实
茯神,远志,菖蒲,麦冬,甘草
菖蒲,龙齿
朱砂,甘草,地黄,当归,黄连
枣仁,天竺黄,珍珠,琥珀,丹参
合欢花,夜交藤,桑椹子,合欢皮,丹参
金箔,朱砂,琥珀,天麻,山药
茯神,菖蒲,全蝎,黄连,当归
茯神,枣仁,朱砂,生地,白参
茯神,珍珠母,枣仁,合欢花,朱砂
朱砂,麦冬,天冬,知母,黄连
茯神,远志,辰砂,菖蒲,铁粉
茯神,远志,辰砂,菖蒲,铁粉
茯神,枣仁,朱砂,代赭石,乳香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,牛膝,桂心
枣仁,桂枝,牡蛎,龙骨,柴胡
大龟
茯神,远志,枸杞,白芍,熟地
枣仁,夜交藤,淮小麦,莲肉,甘草
朱砂,天麻,僵蚕,牙皂,黄土
朱砂,天竺黄,天南星,苍术,丹参
粳米,白糖,鲜百合,杏仁
大米,糯米,芡实,山药,莲肉
枣仁,朱砂,麦门冬,人参,生龙脑
枣仁,远志,柏子仁,黄耆,五味子
枣仁,远志,朱砂,柏子仁,五味子
茯神,麦门冬,菖蒲,柏子仁,枸杞
粳米,蜂蜜,柏子仁
粳米,蜂蜜,柏子仁
枣仁,柏子仁,牡蛎,五味子,麻黄根
鹿角霜,柏子仁,鹿角胶,菟丝子,地黄
铅,水银
朱砂,白矾,黄丹,半夏
茯神,远志,麦门冬,菖蒲,丹参
枣仁,大米,薏仁,芡实,山药
檀香,枣仁,天竺黄,北沙参,红花
檀香,枣仁,天竺黄,北沙参,红花
枣仁,石灰华,木棉花,诃子,沉香
枣仁,石灰华,木棉花,诃子,沉香
朱砂,磁石,人中黄,代赭石,没药
朱砂,胆南星,神曲,巴豆
金箔,腻粉
茯神,天竺黄,远志,辰砂,珍珠
远志,天竺黄,珍珠,琥珀,天麻
枣仁,巴戟,覆盆子,柏子仁,枸杞
辰砂,琥珀,防风,天麻,天南星
茯神,朱砂,琥珀,天麻,防风
琥珀,珍珠,马宝,丹参,龙涎香
檀香,赤小豆,熊胆,鹤虱,牵牛
远志,巴戟,覆盆子,菖蒲,细辛
茯神,丹皮,莲子心30支,生地,莹白童便150毫升
茯神,黑附子,郁金,龙齿,熟地
茯神,枣仁,远志,熟地,酒炒白芍
茯神,远志,菖蒲,朱砂,麦冬
蝎梢,丁香,半夏
茯神,枣仁,远志,柏子仁,五味子
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,金银箔,僵蚕
枣仁,金箔,辰砂,麦门冬,僵蚕
陈曲,枸杞,肉苁蓉,桂,甘菊
朱砂,天竺黄,天麻,丹参,生龙脑
茯神,天竺黄,远志,菖蒲,琥珀
菖蒲,麦门冬,贝母,天门冬,五味子
米酒,丹参
辰砂,菖蒲,紫贝齿,丹参,青龙齿
枣仁,麦冬,生地,玄参,木通
远志,覆盆子,菖蒲,柏子仁,麦门冬
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,红花
茯神,远志,菖蒲,麦门冬,天门冬
寒水石,桂枝,牡蛎,紫石英,白石脂
茯神,枣仁,远志,独活,细辛
白糖等份,米粉,茯苓细粉
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,天南星
茯神,远志,辰砂,菖蒲,天南星
茯神,枣仁,远志,独活,细辛
茯神,麦门冬,龙齿,防风,羚羊角
茯神,枣仁,远志,独活,细辛
茯神,麦门冬,菖蒲,丹皮,石斛
寄生,风仙花全草,五味子,益母草,泽兰
枣仁,甘草,小麦
枣仁,甘草,小麦
枣仁,甘草,小麦
桂枝,牡蛎,龙骨,甘草
枣仁,牡蛎,芍药,龙骨,桂心
朱砂,21克
珍珠母,丹皮,磁石,仙茅酒,五味子
枣仁,枣仁,远志,龙眼肉,黄芪
颗块朱砂,獖猪心,灯心
茯神,枣仁,远志,金箔,龙齿
茯神,远志,五味子,山药,莲须
远志,菖蒲,五味子,五倍子,龟版
远志,菖蒲,旋覆花,丹参,茜草
朱砂,琥珀,白附子,白僵蚕,麝
茯神,枣仁,麦门冬,枸杞,芍药
牡丹,覆盆子,黑附子,肉苁蓉,鹿角胶
拣人参,乌犀角,枸杞,石斛,麦门冬
黄精,甘桑椹,麦门冬,枸杞,天门冬
远志,巴戟,菖蒲,枸杞,肉苁蓉
朱砂,枳壳,芍药,麝香,黄芩
朱砂,远志,菖蒲,琥珀,白芍
茯神,枣仁,远志,菖蒲,朱砂
檀香,朱砂,天竺黄,琥珀,山药
朱砂,天竺黄,琥珀,丹参,天南星
朱砂,天竺黄,珍珠,琥珀,贝母
茯神,远志,菖蒲,天南星,人参
茯神,枣仁,远志,辰砂,琥珀
茯神,远志,羚羊角,人参,甘草
茯神,枣仁,远志,朱砂,琥珀
茯神,枣仁,远志,巴戟,辰砂
辰砂,琥珀,麝香,没药,乳香
茯神,远志,金箔,辰砂,山药
朱砂,珍珠,琥珀,丹参,薄荷
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,山药,蜈蚣
茯神,天竺黄,金箔,朱砂,山药
茯神,天竺黄,远志,金箔,朱砂
金箔,辰砂,天麻,防风,丹参
金箔,天竺黄,铁粉,龙齿,丹参
茯神,远志,金箔,朱砂,铁粉
金箔,天竺黄,辰砂,白矾,皂荚仁
金箔,天竺黄,辰砂,白矾,皂荚仁
茯神,远志,辰砂,金箔,菖蒲
茯神,枣仁,合欢花,郁金,白芍
辰砂,明矾,天南星,半夏
茯神,枣仁,远志,菖蒲,朱砂
枣仁,远志,麦门冬,丹皮,熟地
枣仁,远志,丹皮,熟地,麦冬
朱砂,琥珀,天麻,牵牛,丹参
钱,土鳖虫,熟军,2钱,自然铜
朱砂,黄芩,减半,雄黄,山栀仁
谷蘖,大腹子,随风子,石斛,薏仁
川姜,天麻,天南星,白僵蚕,白附子
茯神,远志,菖蒲,贝母,丹参
枣仁,远志,五味子,竹茹,枳实
茯神,枣仁,远志,菖蒲,柏子仁
枣仁,远志,朱砂,菖蒲,柏子仁
茯神,远志,厚朴,甘草,茯苓
茯神,枣仁,菖蒲,琥珀,枸杞
川姜,天麻,天南星,白僵蚕,白附子
茯神,枣仁,远志,白芍,麦冬
茯神,远志,麦冬,羚羊角,犀角
茯神,巴戟,阳起石,黑附子,肉苁蓉
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,榜嘎,洪连,红景天
檀香,石灰华,榜嘎,洪连,红景天
珍珠母,太子参,地骨皮,菟丝子,五味子
远志,菖蒲,龙骨,龟甲
茯神,远志,麦门冬,龙齿,天门冬
枣仁,远志,菖蒲,琥珀,桂枝
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参
蜜,锉,研为细末,控干,洗去蜜酒令尽
巴戟,金铃子,肉蔻,灵砂,葫芦芭
辰砂,蝎梢,真麝香1字,蜈蚣,白僵蚕
干百合,蜂蜜
茯神,枣仁,五味子,赤芍,人参
茯神,枣仁,远志,辰砂,金箔
茯神,枣仁,远志,黄耆,莲肉
茯神,天竺黄,贝母,胆南星,防风
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,黄蓍
