珍珠母,酒曲,磁石,赭石,牛膝
枣仁,小麦,甘草
朱砂,天竺黄,珍珠,琥珀,天麻
辰砂,郁金,黄芩,丹参,山栀仁
琥珀,天麻,丹参,雄黄,乌蛇
枣仁,远志,贝母,黄芩,瓜蒌
茯神,柏子仁,炙草,人参,益智
茯神,金箔,枣仁,远志,辰砂
茯神,枣仁,辰砂,琥珀,人参
茯神,枣仁,远志,朱砂,菖蒲
枣仁,辰砂,人参
菖蒲,安神膏,丹参,五味子
珍珠母,合欢皮,菖蒲,夜交藤,菟丝子
远志,石莲肉,芡实,麦冬,人参
茯神,枣仁,远志,琥珀,白芍
茯神,远志,朱砂,天麻,麦门冬
茯神,枣仁,远志,菖蒲,于术
茯神,枣仁,远志,牡蛎,芡实
茯神,远志,菖蒲,麦冬,杏仁
菖蒲,龙齿
朱砂,当归,地黄,甘草,黄连
枣仁,天竺黄,珍珠,琥珀,丹参
合欢花,合欢皮,桑椹子,夜交藤,女贞子
朱砂,金箔,琥珀,天麻,防风
茯神,菖蒲,当归,全蝎,龙胆草
茯神,枣仁,朱砂,生地,寸冬
茯神,珍珠母,枣仁,朱砂,合欢花
朱砂,天冬,麦冬,知母,黄连
茯神,远志,辰砂,山芋,菖蒲
茯神,远志,辰砂,山芋,菖蒲
茯神,枣仁,朱砂,代赭石,乳香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,牛膝,桂心
枣仁,牡蛎,桂枝,黄芩,人参
大龟
茯神,远志,枸杞,白芍,熟地
枣仁,夜交藤,莲肉,百合,淮小麦
朱砂,天麻,僵蚕,当归,大黄
朱砂,天竺黄,苍术,丹参,僵蚕
白糖,粳米,鲜百合,杏仁
大米,山药,芡实,糯米,莲肉
枣仁,朱砂,麦门冬,人参,生龙脑
枣仁,远志,柏子仁,人参,黄耆
枣仁,朱砂,远志,柏子仁,当归
茯神,菖蒲,枸杞,柏子仁,麦门冬
柏子仁,粳米,蜂蜜
柏子仁,粳米,蜂蜜
枣仁,柏子仁,牡蛎,浮小麦,麻黄根
柏子仁,鹿角霜,鹿角胶,菟丝子,地黄
铅,水银
朱砂,白矾,黄丹,半夏
茯神,远志,菖蒲,麦门冬,丹参
枣仁,大米,薏仁,芡实,山药
檀香,枣仁,天竺黄,红花,紫檀香
檀香,枣仁,天竺黄,红花,紫檀香
枣仁,石灰华,木棉花,乳香,诃子
枣仁,石灰华,木棉花,乳香,诃子
朱砂,磁石,人中黄,代赭石,乳香
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,天竺黄,远志,辰砂,珍珠
远志,天竺黄,珍珠,琥珀,防风
枣仁,巴戟,覆盆子,柏子仁,枸杞
辰砂,琥珀,防风,天麻,天南星
茯神,朱砂,琥珀,天麻,防风
琥珀,珍珠,丹参,马宝,龙涎香
檀香,黄芩,熊胆,赤小豆,鹤虱
远志,巴戟,覆盆子,菖蒲,细辛
茯神,原麦冬,丹皮,益元散,辰砂染灯心20支
茯神,郁金,黑附子,熟地,龙齿
茯神,枣仁,远志,熟地,酒炒白芍
茯神,远志,朱砂,菖蒲,人参
蝎梢,丁香,半夏
茯神,枣仁,远志,柏子仁,人参
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,人参,僵蚕
枣仁,金箔,辰砂,麦门冬,蚌粉
陈曲,枸杞,肉苁蓉,桂,地黄
朱砂,天竺黄,天麻,丹参,人参
茯神,天竺黄,远志,菖蒲,琥珀
菖蒲,麦门冬,贝母,丹参,天门冬
米酒,丹参
辰砂,菖蒲,丹参,紫贝齿,青龙齿
枣仁,生地,麦冬,木通,玄参
远志,菖蒲,覆盆子,柏子仁,生地
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,红花
茯神,远志,菖蒲,麦门冬,天门冬
寒水石,桂枝,牡蛎,干姜,紫石英
茯神,枣仁,远志,独活,细辛
米粉,茯苓细粉,白糖等份
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,人参
茯神,远志,辰砂,菖蒲,人参
茯神,枣仁,远志,独活,细辛
茯神,麦门冬,防风,龙齿,人参
茯神,枣仁,远志,独活,细辛
茯神,菖蒲,石斛,麦门冬,丹皮
风仙花全草,寄生,益母草,泽兰,五味子
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
桂枝,牡蛎,龙骨,甘草
枣仁,牡蛎,芍药,龙骨,桂心
朱砂,21克
珍珠母,丹皮,仙茅酒,磁石,浮小麦
枣仁,枣仁,远志,龙眼肉,当归
獖猪心,颗块朱砂,灯心
茯神,金箔,枣仁,远志,龙齿
茯神,远志,山药,山萸,五味子
远志,菖蒲,人参,当归,五味子
远志,菖蒲,丹参,五灵脂,薤白
朱砂,琥珀,麝,当归,白附子
茯神,枣仁,枸杞,麦门冬,黄芩
牡丹,覆盆子,黑附子,鹿角胶,肉苁蓉
拣人参,乌犀角,枸杞,防风,石斛
黄精,甘桑椹,枸杞,麦门冬,牛膝
远志,巴戟,菖蒲,枸杞,肉苁蓉
朱砂,黄芩,芍药,枳壳,人参
朱砂,远志,琥珀,菖蒲,白芍
茯神,枣仁,远志,朱砂,菖蒲
檀香,朱砂,天竺黄,琥珀,山药
朱砂,天竺黄,琥珀,赤苓,丹参
朱砂,天竺黄,珍珠,琥珀,天麻
茯神,远志,菖蒲,人参,真琥珀
茯神,枣仁,远志,辰砂,琥珀
茯神,远志,人参,真琥珀,羚羊角
茯神,枣仁,远志,朱砂,琥珀
