金钱草,滑石,车前子,木通,琥珀末
银花,泽泻,茯苓,范制面,归身炭
金银花,槐花,夏枯草,连翘,红花
茵陈,猪苓,泽泻,茯苓,防己
赤小豆,当归
檀香,生军,苍术,麝香,沉香
薏仁,大豆,木瓜,通草,吴萸
蒲公英,薏仁,金银花,败酱草,冬瓜子
扁豆,诃子,苍术炭,莲子,茯苓
浮萍,皂刺,苦参,茯苓,何首乌
椿根白皮,龟版,侧柏叶,芍药,升麻
猪苓,泽泻,柴胡,肉桂,茯苓
猪苓,泽泻,柴胡,茯苓,黄芩
车前子,莲子心,茯苓,萆薢,丹参
川萆解,益智仁,菖蒲,乌药
车前子,莲子心,茯苓,川萆,菖蒲
鹿角霜,木通,生白芍,故纸,椿皮
茜草,檀香,乌梅肉,益智仁,茯苓
茵陈,葶苈,龙胆草,黄芩,山栀仁
赤小豆,滑石,冬葵子,陈皮,八角金盘
扁豆,使君子,砂仁,建莲,糯米
滑石,泽泻,车前子,木通,赤苓
茵陈,黄芩,虎杖,玉米须,木香
益智,蓬术,巴豆,青皮,三棱
泽泻,茯苓,当归,芍药,芎
茵陈,猪苓,苦参,泽泻,苍术
干地龙,桂枝,香独活,小木通,酒杭芍
大豆,泽泻,黑附子,茯苓,水
白糖,冬葵子,萆薢
滑石,茯苓,川芎,陈皮,枳实
凤尾草,匾蓄,菟丝子,飞廉草,茯苓
猪苓,薏仁,茯苓皮,大腹皮,通草
桂枝,茯苓,甘草,白术
戎盐,茯苓,白术
滑石,地黄,关木通,海金沙,白芍
茵陈,猪苓,泽泻,木通,茯苓
猪苓,泽泻,滑石,车前子,木通
茵陈,地黄,地黄,枇杷叶,黄芩
茵陈,地黄,地黄,枇杷叶,黄芩
茵陈,滑石,木通,白蔻,淡芩
赤小豆,黑豆,绿豆,甘草
旱莲草,苋菜,蜂蜜10毫升,甘草
滑石,泽泻,茯苓,人参,寒水石
泽泻,茯苓,青皮,当归,枳壳
白糖,冬瓜皮,茯苓皮,生姜皮,黄芪
猪苓,滑石,茯苓皮,大腹皮,通草
赤小豆,昆布,黄耆
茵陈,大豆,金银花,板蓝根,赤芍
茵陈,蒲公英,板蓝根,虎杖,陈皮
青蒿脑4,陈广皮,青子芩4,碧玉散,茯苓
冬瓜皮,西瓜皮,葫芦壳,枣仁
粳米,冰糖,新鲜荷叶
滑石,砂仁,益智仁,远志,茯苓
滑石,生杭芍,黄柏,知母
