菟丝子,川椒,破故纸,萆薢,苍术
枸杞,巴戟,金樱子,何首乌,鹿角胶
何首乌,仙茅,苍术,牛膝,茯苓
枸杞,覆盆子,菟丝子,青盐,仙茅
车前子,青粱米
粳米,车前子
粳米,车前子叶,葱白
菟丝子,车前子,决明子,防风,羚羊角
菊花,车前子,地黄,麦门冬
粳米,鲜车前叶,葱白
石决明,芍药,苍术,十,十
石决明,芍药,苍术,川芎,防风
石决明,芍药,苍术,蛇退,川芎
菊花,青盐,蕤仁,花椒,白矾
菊花,青盐,椒,刮皮术
菟丝子,桂心,远志,肉苁蓉,蛇床子
山药,苍术,茴香,川椒,甘草
苍术
苍术,茯苓
苍术,茴香,川椒,茯苓
苍术
枸杞,菊花,巴戟,苁蓉
枸杞,菊花,巴戟,苁蓉
枸杞,菊花,巴戟,苁蓉,川楝
黄踯躅,磁石,十,芍药,一
黄踯躅,磁石,芍药,黑牵牛,牛膝
枸杞,菊花,白术,磁石,辰砂
磁石,硇砂
菟丝子,黑附子,苁蓉,地黄,鹿茸
枸杞,菟丝子,陈皮,黄精,全蝎
楮实,桂心,牛膝,干姜
青盐,地骨皮,百药煎,没石子,破故纸
钟乳粉不拘多少
蔓菁花
胡桃瓤,破故纸
雄雀儿粪,破故纸,地黄,安息香,木香
黑桑椹,大豆
芜菁子
白瓜子
地肤子1斗,地黄
覆盆子,蔓荆子,石斛,山药,牛膝
菟丝子,青葙子,车前子,决明子,细辛
青盐,破故纸,陈皮,陈皮,巴戟天
枸杞,巴戟,苍术,五味子,莲肉
菟丝子,白术,陈皮,山药,芡实
夏,夏,知母春秋,冬,冬
菟丝子,全蝎,五味子,破故纸,山药
马牙消
菟丝子,石斛,陈皮,苁蓉,炼成白石英
白檀香,柿霜,白粉霜,河南真绿豆粉,玄明粉
枸杞,菟丝子,何首乌,何首乌,丁香
石决明,炉甘石,熊胆,珍珠,冰片
夜明砂,柏叶
菊花,木贼,蔓荆子,蒙花,地骨皮
炉甘石,黄连
熊胆,甘石,冰片,麝香
菊花,木贼,甘石,蒙花,连翘
枸杞,菊花,巴戟天,黑附子,川椒
枸杞,菟丝子,山药,茱萸,牛膝
炉甘石,熊胆,珍珠,冰片,麝香
炉甘石,琥珀,珠子,麝香,梅片
磁石,人中黄,代赭石,朱砂,没药
菊花,椒红,决明子,芎,苍术
椒,辰砂
石决明,青葙子,木贼,犀角,草决明
何首乌,地骨皮,苍术
鹰眼睛
