冰片,雄黄,牛黄,桔梗,大黄
郁金,牛黄,山栀仁,辰砂,黄芩
冰片,胆南星,全蝎,朱砂,牛黄
黄酒,牛蒡根,蝉蜕
绿豆粉,乳香
连翘,山栀子,当归,木香,桔梗
白酒,炒杏仁,鲜仙人掌,羌活
地龙,乳香,黄柏,黄芩,川大黄
冰片,珍珠,水牛角浓缩粉,牛黄,雄黄
冰片,珍珠,水牛角浓缩粉,牛黄,雄黄
犀角,郁金,朱砂,牛黄,雄黄
板蓝根,大青叶,败酱草,赤芍,牡蛎粉
金银花,连翘,丹皮,山栀子,大豆黄卷
冰片,胡黄连,软石膏,辰砂
枯矾,雄黄,朱砂,寒水石,胆矾
地丁草,松节油,天花粉,独活,南星
板蓝根,连翘,白花蛇舌草,射干,浙贝
牛蒡子,连翘,干葛,天花粉,桔梗
野菊花,三颗针,法半夏,紫地丁,郁金
西瓜霜,西牛黄,飞青黛,西月石,濂珠
山豆根,冰片,青黛,硼砂,明矾牛黄
矮茶风,墨旱莲,侧耳根,女贞子,破故纸
连翘,野菊花,细辛,桔梗,黄柏
辛荑,芥穗,细辛,龙胆草,蔓荆子
大青叶,贯众,明雄黄,南薄荷,上朱砂
牛蒡子,连翘,陈枳壳,紫草茸,麦门冬
金银花,连翘,牛蒡子,薄荷,鲜竹叶
青黛,寒水石,马牙消,甘草,消石
鲜马齿苋,白蜜
金银花,板蓝根,桑叶,牛蒡子,连翘
金银花,板蓝根,山豆根,连翘,玄参
野菊花,白花蛇舌草,三颗针,白英,苦参
白英,龙葵,半枝莲,蛇莓,猕猴桃根
板蓝根,山豆根,忍冬藤,草河车,土茯苓
秦皮,白头翁,黄柏,黄连
玄参,地龙,古文钱,乌嘴白雄鸭,白盐梅
板蓝根,菠萝香精油,糖粉,淀粉
白糖,板槛根,夏枯草
冰片,山甲,细辛,全蝎,射干
九里明,一点红,射干,甘草
冰片,白矾,黄柏,煅硼砂,麝香
冰片,朱砂,硼砂,玄明粉
冰片,朱砂,硼砂,玄明粉
八角金盘,冬葵子,陈皮,赤小豆,芦根
金银花,当归尾,玄参,炒栀子,柴胡
金银花,山豆根,牛蒡子,玄参,射干
连翘,人中黄,牛蒡,紫草茸,当归
全蜈蚣,山甲,皂刺,天花粉,乳香
芒硝,滑石粉,关木通,胆南星,大黄
白酒,地龙,乌芋
大黄粉,生地榆粉,麻油50毫升
蒲公英,金银花,野菊花,连翘,半枝莲
山豆根,牛蒡子,连翘,人中黄,苦参
板蓝根,山豆根,玄参,桔梗,甘草
金银花,白术,茯苓皮,薏苡仁,川牛膝
珍珠,朱砂,五灵脂膏,牛黄,石灰华
蜂房,槐花,苦参,胡连,刺猬皮
芒硝,连翘,白术,栀子,当归
牛蒡子,连翘,玄参,人参,桔梗
芙蓉叶,冰片,泽兰叶,大黄,黄柏
金银花,连翘,川贝母,化橘红,桔梗
金银花,半枝莲,鱼腥草,桔梗,虎杖
牛蒡子,生石膏,鱼腥草,炒杏仁,川贝母
蒲公英,金银花,野菊花,连翘,黄耆
金银花,板蓝根,连翘,鱼腥草,黄芩
蒲公英,马齿苋,白矾,如意草
马齿苋,大青叶,蜂房,生苡仁
蒲公英,大青叶,丹皮,赤芍,甘草
金银花,连翘,红藤,丹皮,大黄
金银花,芒硝,三颗针,红藤,薏仁
板蓝根,连翘,木贼,香附,苡仁
蒲公英,生大黄,川楝子,白芍药,木香
车前草,地锦草,辣蓼
马齿苋,仙鹤草,铁苋菜,地榆
金银花,人参,牛膝,黄耆,当归
板蓝根,败酱草,玄参,郁金,当归
金银花,青皮,当归,瓜蒌,甘草
萝卜,橄榄
山豆根,冰片,西瓜霜,青黛,射干
金银花,牛蒡子,连翘,皂刺,陈皮
牛蒡子,栝楼,甘草金银花,生姜
双花,连翘,苦参,黄柏,大葱
板蓝根,大青叶,连翘,拳参
山芝麻,土牛膝,金钱风,毛冬青,岗梅
冰片,滑石粉,雄黄,甘草粉,朱砂面
黑乌蛇,雄黄,大黄,白花蛇
连翘,玄参,丹皮,桔梗,土贝母
金银花,牛蒡子,防风,当归,大黄
西瓜霜,月石,硫酸黄连素,蒸馏水,硝苯汞
五倍子,黄连
金银花,甘草节,连翘,桔梗,归尾
连翘,玄参,姜黄,天花粉,桔梗
枯矾,五倍子,白凤仙花,朱砂,雄黄
板蓝根,丹皮,赤芍,虎杖,蝉蜕
冰片,虎杖,红药子,麻油
蒲公英,板蓝根,陈皮,茵陈,虎杖
蓝叶,川朴消,苏枋,朱砂,淡竹叶
金银花,连翘,红藤,丹皮,元胡
青黛,滑石,甘草,琥珀
獾油,冰片面
金银花,板蓝根,玄参,当归,何首乌
蒲公英,玄参,灵仙,金银花藤,路路通
姜黄,天花粉,白芷,赤芍药
实黄芩,京赤芍,陈枳壳,尖槟榔,净连翘
金银花,槐花,当归,槐角,柴胡
黄酒,山慈菇,核桃肉
金银花,当归,木瓜,土茯苓,甘草
蒲公英,金银花,京赤芍,丹皮,败酱草
化毒散,祛湿药膏
牛蒡子,连翘,玄参,人中黄,竹叶
川黄连,生石膏,干生地,黑玄参,肥知母
双花,玄参,鸡血藤,土茯苓,乳香
蒲公英,红藤,生大黄,厚朴
谷精草,黄精,急性子,金果榄,密蒙花
金银花
金银花
金银花,牛蒡子,连翘,细辛,青黛
海金沙,雄黄,当归,大黄,川牛膝
连翘,生石膏,栀子,丹皮,大黄
珍珠,人参三七,嫩滑石,真琥珀,甘草
金银花,秦皮,车前子,归尾,防风
蒲公英,大青叶,野菊花,蚤休,花粉
冰片,连翘,南星,薄荷脑,羊毛脂
连翘,赤芍,当归,甘草,红花
蒲公英,金银花,玄参,当归,红花
金银花,连翘,天花粉,防风,酒黄芩
金银花,玄参,鸡血藤,玄胡,血竭
蒲公英,山豆根,连翘,生石膏,丹皮
板蓝根,连翘,陈皮,川楝子,薄荷
蒲公英,金银花,连翘,薄荷,天花粉
金银花,连翘,天花粉,甘草,薏苡仁
蒲公英,金银花,连翘,桔梗,防风
绿豆,山慈菇,连翘,雄黄,天花粉
牛蒡子,犀角,紫草茸,生地黄,归尾
蒲公英,金银花,甘草节,连翘,丹皮
蒲公英,双花,干生地,黑玄参,耳环石斛
板蓝根,贯众,青黛,甘草
蒲公英,鱼腥草,败酱草,小蓟,虎杖
金银花,秦皮,白头翁,山楂,炒地榆
犀角,当归,地骨皮,川芎,白芍
牛蒡子,连翘,玄参,人参,桔梗
金银花,连翘,山栀,甘草,牡丹皮
金银花,板蓝根,连翘,京赤芍,射干
冰片,雄黄,牛黄,火消,麝香
冰片,水牛角浓缩粉,雄黄,牛黄,朱砂
冰片,牛黄,乳香,黄柏,青鱼胆
薄荷叶,鸡内金,栀子,升麻,黄连
粳米,君达莱
川黄连,生草,槐枝,乳香,黄柏
金银花,板蓝根,山豆根,大青叶,牛蒡子
蒲公英,蜂房,玄参,郁金,薄荷
蒲公英,金银花,连翘,青陈皮,炒山甲
蒲公英,金银花,连翘,青陈皮,炒山甲
金银花,茜草根,白藓皮,白芍,刺蒺藜
金银花,茜草根,白芍,刺蒺藜,当归
牛蒡子,玄参,射干,桔梗,防风
蒲公英,金银花,野菊花,连翘,陈皮
金银花,大青叶,连翘,龙胆草,泽泻
山慈菇,茜草根,荆芥炭,丹皮,川连
板蓝根,炮山甲,白术,熟地,赤芍
山豆根,芒硝,青黛,鲜狗胆,射干
金银花,陈皮,明矾,蝉蜕,僵蚕
连翘,赤芍,当归,车前子,瞿麦
白蔻,茵陈,山栀,薄荷,滑石
连翘,玄参,麦冬,生地,黄芩
板蓝根,鱼腥草,贯众,紫草,丹皮
金银花,绵马贯众,赤芍
冰片,儿茶,牛黄,胡黄连,麝香
芙蓉叶,儿茶,川贝母,真西黄,文蛤
金银花,玄参,天冬,甘草,麦冬
板蓝根,马齿苋,白花蛇舌草,紫草,木贼草
蒲公英,金银花,白花蛇舌草,连翘,川楝子
蒲公英,金银花,川楝子,丹皮,大黄
金银花,川楝子,木香,大黄,牡丹皮
蒲公英,金银花,大青叶,红藤,生大黄
三颗针,红藤,川楝子,丹皮,大黄
地丁草,红藤,川楝子
蒲公英,金银花,红藤,连翘,夏枯草
金银花,连翘,苦参,花粉,薄荷
金银花,连翘,白茯苓,薄荷叶,独活
金银花,连翘,苦参,薄荷,天花粉
连翘,玄参,陈皮,天花粉,当归
金银花,连翘,独活,牡蛎,山栀子
绿豆,粳米,白菜心
绿豆,北粳米
绿豆,白菜心
绿豆,白糖
金银花,白花蛇舌草,车前子,泽泻,败酱草
金银花,夏枯草,当归,川芎,白芷
枯矾,穿心莲粉,猪胆汁粉
牛蒡子,大青叶,连翘,玄参,漏芦
金银花,车前子,茵陈,萆解,淮山
大青叶,连翘,生石膏,淡竹叶,丹皮
泽兰,郁金,枳实,山栀,川楝子
板蓝根,白花蛇舌草,苦参,白藓皮,全蝎
金银花,板蓝根,连翘,玄参,大黄
冰片,雄黄,麝香,蟾酥,犀牛黄
冰片,雄黄,麝香,蟾酥,犀牛黄
马齿苋,大青叶,紫草,败酱草,煅龙牡
绿豆,马齿苋
马齿苋
