藁本,当归,川芎,芍药,防风
蝎梢,天南星,天麻,川芎,防风
威灵仙,刘寄奴,红花,白芥子,当归
地龙,红花,桃仁,五灵脂,当归
山萸,橘核,煨莪术,荔枝核,煨三棱
王不留行,黄耆,川芎,熟地,通草
75,酒精,破故纸
地龙,归尾,红花,桃仁,赤芍
鹿角霜,党参,伸筋草,川断,黄芪
桂枝,粳米,石膏,知母,甘草
樟丹,冰片,枯矾,龙骨,麝香
蜈蚣,皂刺,没药,山甲,乳香
桂枝,木瓜,蜈蚣,干地龙,川断
桂枝,通草,当归,芍药,枣仁
大豆,麻子仁,白酒,乌蛇
地龙,白酒,乌芋
地龙,桃仁,川断,当归,元胡
蜈蚣,熟地,淡干姜,生地,川乌
地龙,没药,木鳖子,乳香,肉桂
江米酒,丹参,川芎,杜仲
鸡血藤,橘核,丝瓜络,白芥子,丹参
鸡血藤,蒲公英,石斛,川断,苍术
鸡血藤,党参,黄芪,生地,络石藤
红花,红花,草乌,朱砂,龙骨
红花,木瓜,草乌,麻黄,川乌
芎劳,防己,防风,秦艽,独活
桂枝,防己,甘草
蜈蚣,白芍,赤芍,钩藤,川芎
鸡血藤,赤小豆,赤芍,防己,当归
红花,桃仁,瓜蒌根,当归,柴胡
威灵仙,桂枝,没药,防风,荆芥
刘寄奴,王不留行,钩藤,宽筋藤,金银花藤
鸡血藤,金银花,比茎藤,白鱼鲄,白毛草
桂枝,芍药,防风,麻黄,生姜
红花,桂枝,归尾,赤芍,防风
桂枝,赤芍,当归,枣仁,生姜
桂枝,赤芍,当归,枣仁,生姜
地龙,威灵仙,当归,漏芦,白僵蚕
茜草,五灵脂,干地龙,远志,丹参
红花,赤芍,川芎,丹参,降香
桂枝,党参,白芍,牛膝,黄耆
桂枝,白芍,片姜黄,当归,防风
黄芪,白芍,川芎,当归,地黄
蛇床子,陈米醋,丹参,白凤仙花,明矾
红花,当归,肉桂,花椒,干姜
益母草,赤芍,黄芪,丹参,苍术
桂枝,木瓜,干地龙,丹参,当归
伸筋草,归尾,片姜黄,赤芍,松节
红花,赤芍,没药,乳香,夏枯草
红花,透骨草,归尾,三七,防己
地龙,蜈蚣,桃仁,川断,山甲
红花,刘寄奴,钩藤,当归,没药
丹参,当归,没药,乳香
丹参,当归,没药,乳香
地龙,天南星,没药,草乌,乳香
红花,赤芍,防风,丹皮,木香
刘寄奴,赤芍,川芎,当归,枳壳
威灵仙,红花,桃仁,伸筋草,当归
茜草,刘寄奴,透骨草,伸筋草,松节
桂枝,当归,防风,黄芩,干姜
桃仁,赤芍,当归,柴胡,枳壳
木瓜,槟榔,桔梗,茱萸,紫苏
金铃子,吴萸,白芍,香缘皮,煅瓦楞
威灵仙,桃仁,白芍,天麻,海风藤
橘络,透骨草,片姜黄,丹参,鸡血藤膏
天麻,官桂,羌活,防风,枣仁
天麻,天南星,当归,川芎,羌活
茜草,凌霄花,两头尖,丹参,艾叶
桂枝,丹参,阿胶,干姜,何首乌
白芍,当归,柴胡,桔梗,黄芩
蜈蚣,杭白芍,金银花,黄连,全蝎
桃仁,益母草,川芎,当归,炒芥穗
党参,牛膝,三棱,莪术,白术
威灵仙,山楂,防风,布渣叶,吊子风
鹿角霜,桃仁,赤芍,白芥子,熟地
鸡血藤,蜈蚣,钩藤,天麻,牛膝
地龙,威灵仙,木瓜,赤小豆,五灵脂
红花,白芍,丹参,牛膝,朱砂
木瓜,锁阳,当归,羌活,牛膝
木瓜,锁阳,白芍,当归,羌活
瓜蒌根,防己,羌活,柴胡,防风
威灵仙,当归,续断,牛膝,海桐皮
党参,黄精,赤芍,黄耆,丹参
地龙,乌梢蛇,蜂房,全虫,白花蛇
地龙,五灵脂,草乌,木鳖子,乳香
鹿角霜,木瓜,当归,羌活,续断
桃仁,当归,乌药,青皮,陈皮
红花,赤芍,丹参,黄连,生地
木瓜,白芍,续断,当归,川芎
