丹参,川芎,甘草,莲子心,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,木香,桔梗
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,地龙,黄连,大黄
椒目,艾曲,干姜,黑附子,桂
油,葱,苎麻根,活鲤鱼,糯米
香油,白蜡,冰片面,铜绿面,生马钱子
大戟,葶苈,甘遂,没药,乳香
辅料,丛枝蓼,白花败酱草
车前子,青粱米
粳米,车前子
赤小豆,葱,鸡汤,活鲤鱼1尾,辣椒
大腹子,紫苏,人参,桑白皮,五味子
血竭,枯矾,蟾酥,没药,硼砂
枯矾,蟾酥,没药,乳香,铜绿
花椒,铜绿,青盐,李仁,蕤仁
粳米,白糖,茶叶
冰片,没药,乳香,川军,赤芍
葶苈,紫苏,琥珀,郁李仁,沉香
甘遂,续随子,全蝎,黑牵牛,萝卜子
板蓝根,连翘,射干,贝母,白花蛇舌草
蓖麻子仁,白胶香
橘核,煨莪术,酒炒破故纸,煨三棱,荔枝核
冰片,枯矾,龙衣,麝香5厘,胭脂
西丹参,西月石,西瓜霜,濂珠,飞青黛
大梅片,瓜制枪消,真熊胆,关犀黄,珍珠
西月石,梅冰,玄明粉,炒僵蚕,飞辰砂
冰片,硼砂,山豆根,明矾丹参,青黛
硼砂,人中白,人指甲,马勃,青鱼胆
大梅片,瓜制枪消,真熊胆,白玄明粉,直僵蚕
紫荆皮,赤豆,白芷,菖蒲,独活
木蜡,川紫荆皮,白芷,独活,芍药
冰片粉,液状石腊,辛夷,白芷,薄荷
蒲公英,三七,透骨草,赤芍,土鳖虫
五倍子,没药,乳香,赤芍,无名异
乳香,北细辛,甘草,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,雄黄
蓖麻子
油,油,商陆根,黄丹,白蜡
没药,乳香,白蜡,铅粉,密陀僧
冰片,乳香,白蜡,轻粉,樟脑
冰片,石膏,轻粉,樟脑,红粉
冰片,炉甘石,硇砂,麝香,熊胆
可铁刺,白锡粉,李子树胶,阿飞勇
