丹参,川芎,甘草,莲子心,朱砂
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,甘草
白酒,羌活,鲜仙人掌,杏仁
乳香,黄柏,地龙,黄连,大黄
艾曲,椒目,细辛,干姜,黑附子
油,葱,苎麻根,活鲤鱼,糯米
香油,冰片面,白蜡,煅蛤粉,生马钱子
没药,葶苈,大戟,甘遂,乳香
辅料,白花败酱草,丛枝蓼
车前子,青粱米
粳米,车前子
葱,赤小豆,鸡汤,活鲤鱼1尾,辣椒
大腹子,紫苏,人参,桑白皮,五味子
没药,蟾酥,血竭,枯矾,乳香
没药,蟾酥,枯矾,乳香,铜绿
花椒,铜绿,青盐,李仁,蕤仁
粳米,白糖,茶叶
冰片,没药,川军,赤芍,乳香
葶苈,紫苏,琥珀,郁李仁,防己
续随子,甘遂,黑牵牛,萝卜子,白牵牛
板蓝根,连翘,贝母,射干,柴胡
白胶香,蓖麻子仁
橘核,煨莪术,煨三棱,酒炒破故纸,荔枝核
冰片,枯矾,龙衣,胭脂,麝香5厘
西丹参,西月石,西瓜霜,濂珠,飞青黛
大梅片,真熊胆,瓜制枪消,关犀黄,珍珠
西月石,梅冰,玄明粉,飞辰砂,炒僵蚕
冰片,硼砂,明矾丹参,青黛,山豆根
硼砂,青鱼胆,人中白,马勃,人指甲
大梅片,真熊胆,瓜制枪消,白玄明粉,明雄精
紫荆皮,赤豆,白芷,菖蒲,独活
木蜡,川紫荆皮,白芷,独活,芍药
冰片粉,苍耳子,辛夷,液状石腊,白芷
蒲公英,三七,赤芍,透骨草,自然铜
没药,五倍子,乳香,赤芍,无名异
乳香,北细辛,甘草,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,雄黄
蓖麻子
油,油,白蜡,黄丹,商陆根
没药,乳香,铅粉,白蜡,密陀僧
冰片,白蜡,乳香,樟脑,官粉
冰片,樟脑,石膏,轻粉,红粉
冰片,炉甘石,硇砂,熊胆,珍珠
阿飞勇,李子树胶,可铁刺,白锡粉
紫苏,羌活,大腹皮,木瓜,陈皮
