丹参,川芎,甘草,薄荷,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,槟榔,黄连,当归
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,地龙,黄连,黄芩
艾曲,椒目,细辛,干姜,黑附子
油,葱,苎麻根,活鲤鱼,糯米
香油,冰片面,黄柏,白蜡,以上8味药料
大戟,没药,乳香,葶苈,甘遂
丛枝蓼,白花败酱草,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,辣椒,鸡汤,活鲤鱼1尾
大腹子,人参,紫苏,桑白皮,五味子
没药,血竭,枯矾,蟾酥,乳香
没药,枯矾,蟾酥,乳香,铜绿
花椒,铜绿,白矾,蕤仁,青盐
粳米,白糖,茶叶
冰片,乳香,没药,川军,赤芍
葶苈,紫苏,防己,茯苓,琥珀
续随子,甘遂,全蝎,黑牵牛,白牵牛
连翘,板蓝根,射干,贝母,柴胡
白胶香,蓖麻子仁
橘核,青盐,煨莪术,荔枝核,酒炒破故纸
冰片,枯矾,龙衣,胭脂,麝香5厘
西瓜霜,西丹参,西月石,飞青黛,濂珠
大梅片,瓜制枪消,真熊胆,珍珠,关犀黄
西月石,玄明粉,梅冰,飞辰砂,炒僵蚕
冰片,硼砂,明矾丹参,青黛,山豆根
硼砂,人中白,马勃,人指甲,青鱼胆
大梅片,真熊胆,瓜制枪消,珍珠,直僵蚕
紫荆皮,赤豆,白芷,菖蒲,独活
川紫荆皮,木蜡,白芷,独活,芍药
薄荷,苍耳子,白芷,液状石腊,冰片粉
蒲公英,三七,赤芍,土鳖虫,黄柏
没药,乳香,五倍子,赤芍,苏木
乳香,北细辛,甘草,苍术
鲜败酱草
蓖麻子
黑丑,香附,五灵脂
鲫鱼,巴豆
食盐,硼砂,火消,雄黄,皂矾
蓖麻子
油,油,黄丹,白蜡,柳白皮
没药,乳香,铅粉,密陀僧,轻粉
冰片,乳香,轻粉,樟脑,白蜡
冰片,轻粉,石膏,樟脑,红粉
冰片,熊胆,炉甘石,硇砂,麝香
李子树胶,可铁刺,阿飞勇,白锡粉
紫苏,木瓜,槟榔,木香,羌活
