丹参,川芎,甘草,当归,莲子心
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,桔梗,栀子,黄连
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,黄连,地龙,大黄
椒目,艾曲,细辛,干姜,黑附子
油,葱,苎麻根,活鲤鱼,糯米
香油,白蜡,冰片面,铜绿面,黄柏
没药,大戟,葶苈,甘遂,乳香
白花败酱草,丛枝蓼,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,活鲤鱼1尾,辣椒,鸡汤
大腹子,紫苏,桑白皮,人参,五味子
蟾酥,没药,血竭,乳香,铜绿
蟾酥,没药,乳香,铜绿,枯矾
花椒,铜绿,李仁,青盐,蕤仁
粳米,白糖,茶叶
冰片,川军,没药,乳香,赤芍
葶苈,紫苏,琥珀,郁李仁,沉香
甘遂,续随子,黑牵牛,全蝎,萝卜子
板蓝根,连翘,射干,贝母,白花蛇舌草
白胶香,蓖麻子仁
橘核,煨莪术,酒炒破故纸,煨三棱,荔枝核
冰片,枯矾,龙衣,胭脂,麝香5厘
西丹参,西月石,西瓜霜,老式大泥冰,飞青黛
大梅片,瓜制枪消,真熊胆,关犀黄,珍珠
西月石,梅冰,炒僵蚕,飞辰砂,玄明粉
冰片,硼砂,青黛,明矾丹参,山豆根
硼砂,人中白,马勃,贝母,琥珀
大梅片,瓜制枪消,真熊胆,明雄精,直僵蚕
紫荆皮,赤豆,白芷,菖蒲,独活
木蜡,川紫荆皮,白芷,独活,芍药
辛夷,液状石腊,冰片粉,白芷,苍耳子
蒲公英,三七,赤芍,黄柏,透骨草
没药,五倍子,乳香,赤芍,无名异
乳香,北细辛,甘草,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,雄黄
蓖麻子
油,油,黄丹,白蜡,商陆根
没药,白蜡,乳香,铅粉,密陀僧
冰片,白蜡,乳香,轻粉,樟脑
冰片,轻粉,樟脑,红粉,石膏
冰片,炉甘石,熊胆,硇砂,珍珠
可铁刺,白锡粉,阿飞勇,李子树胶
紫苏,木瓜,羌活,大腹皮,香附
