丹参,甘草,莲子心,川芎,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,槟榔,桔梗
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,黄连,地龙,大黄
椒目,艾曲,细辛,干姜,黑附子
葱,油,苎麻根,活鲤鱼,糯米
香油,冰片面,白蜡,黄柏,轻粉面
没药,葶苈,大戟,甘遂,乳香
白花败酱草,辅料,丛枝蓼
车前子,青粱米
粳米,车前子
葱,赤小豆,活鲤鱼1尾,鸡汤,辣椒
大腹子,人参,紫苏,桑白皮,五味子
蟾酥,没药,血竭,枯矾,乳香
没药,蟾酥,枯矾,乳香,胆矾
花椒,铜绿,李仁,青盐,蕤仁
粳米,白糖,茶叶
冰片,没药,川军,乳香,白芷
葶苈,紫苏,琥珀,郁李仁,茯苓
甘遂,续随子,全蝎,黑牵牛,萝卜子
板蓝根,连翘,贝母,射干,荆芥
白胶香,蓖麻子仁
橘核,煨三棱,酒炒破故纸,青盐,煨莪术
冰片,枯矾,龙衣,麝香5厘,胭脂
西瓜霜,西丹参,西月石,濂珠,老式大泥冰
大梅片,珍珠,真熊胆,瓜制枪消,关犀黄
西月石,梅冰,炒僵蚕,玄明粉,飞辰砂
冰片,硼砂,明矾丹参,青黛,山豆根
硼砂,珍珠,青鱼胆,人指甲,人中白
大梅片,珍珠,真熊胆,瓜制枪消,明雄精
紫荆皮,白芷,赤豆,菖蒲,独活
白芷,木蜡,川紫荆皮,独活,芍药
白芷,薄荷,液状石腊,辛夷,冰片粉
蒲公英,三七,赤芍,黄柏,透骨草
没药,五倍子,乳香,赤芍,苏木
乳香,北细辛,甘草,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,雄黄
蓖麻子
油,油,黄丹,白蜡,商陆根
没药,乳香,铅粉,白蜡,密陀僧
冰片,乳香,白蜡,官粉,樟脑
冰片,石膏,樟脑,轻粉,红粉
冰片,炉甘石,硇砂,熊胆,麝香
阿飞勇,可铁刺,白锡粉,李子树胶
紫苏,木瓜,大腹皮,羌活,香附
