丹参,川芎,莲子心,甘草,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,地龙,黄连,大黄
椒目,艾曲,细辛,干姜,黑附子
油,葱,苎麻根,活鲤鱼,糯米
香油,冰片面,白蜡,铜绿面,生马钱子
没药,葶苈,大戟,甘遂,乳香
丛枝蓼,白花败酱草,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,活鲤鱼1尾,鸡汤,辣椒
大腹子,紫苏,桑白皮,人参,五味子
蟾酥,没药,血竭,枯矾,硼砂
没药,蟾酥,枯矾,乳香,胆矾
花椒,铜绿,李仁,青盐,蕤仁
粳米,白糖,茶叶
冰片,没药,赤芍,白芷,川军
葶苈,紫苏,琥珀,郁李仁,泽泻
续随子,甘遂,全蝎,黑牵牛,白牵牛
板蓝根,连翘,贝母,荆芥,射干
白胶香,蓖麻子仁
橘核,荔枝核,煨三棱,酒炒破故纸,煨莪术
冰片,枯矾,龙衣,麝香5厘,胭脂
西月石,西丹参,西瓜霜,老式大泥冰,濂珠
大梅片,真熊胆,瓜制枪消,珍珠,关犀黄
西月石,飞辰砂,炒僵蚕,梅冰,玄明粉
冰片,硼砂,青黛,明矾丹参,山豆根
硼砂,马勃,青鱼胆,人指甲,珍珠
大梅片,真熊胆,瓜制枪消,珍珠,明雄精
紫荆皮,赤豆,白芷,菖蒲,独活
川紫荆皮,木蜡,白芷,独活,芍药
液状石腊,冰片粉,白芷,辛夷,苍耳子
蒲公英,赤芍,三七,透骨草,土鳖虫
没药,五倍子,乳香,赤芍,苏木
乳香,北细辛,甘草,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,雄黄,火消,皂矾
蓖麻子
油,油,黄丹,白蜡,商陆根
没药,乳香,白蜡,密陀僧,黄蜡
冰片,乳香,白蜡,轻粉,官粉
冰片,轻粉,石膏,樟脑,红粉
冰片,炉甘石,熊胆,硇砂,麝香
白锡粉,可铁刺,阿飞勇,李子树胶
紫苏,木瓜,羌活,大腹皮,香附
