丹参,甘草,川芎,当归,莲子心
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,大黄,地龙,黄连
艾曲,椒目,干姜,细辛,桂
葱,油,活鲤鱼,苎麻根,糯米
香油,冰片面,白蜡,黄柏,青黛面
没药,大戟,葶苈,甘遂,乳香
白花败酱草,辅料,丛枝蓼
车前子,青粱米
粳米,车前子
赤小豆,葱,辣椒,鸡汤,活鲤鱼1尾
大腹子,紫苏,人参,桑白皮,陈皮
没药,蟾酥,血竭,乳香,硼砂
没药,蟾酥,乳香,寒水石,铜绿
花椒,青盐,李仁,铜绿,蕤仁
粳米,白糖,茶叶
冰片,川军,没药,赤芍,白芷
葶苈,紫苏,琥珀,郁李仁,沉香
续随子,甘遂,全蝎,黑牵牛,白牵牛
板蓝根,连翘,贝母,射干,白花蛇舌草
白胶香,蓖麻子仁
橘核,荔枝核,青盐,煨三棱,煨莪术
冰片,枯矾,龙衣,麝香5厘,胭脂
西丹参,西瓜霜,西月石,老式大泥冰,飞青黛
大梅片,珍珠,真熊胆,瓜制枪消,关犀黄
玄明粉,西月石,梅冰,炒僵蚕,飞辰砂
冰片,硼砂,青黛,明矾丹参,山豆根
贝母,青鱼胆,硼砂,人中白,珍珠
大梅片,珍珠,真熊胆,瓜制枪消,明硼砂
白芷,紫荆皮,赤豆,菖蒲,独活
白芷,川紫荆皮,木蜡,独活,芍药
白芷,薄荷,液状石腊,辛夷,冰片粉
蒲公英,三七,赤芍,黄柏,透骨草
没药,乳香,五倍子,赤芍,无名异
乳香,北细辛,甘草,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,朱砂,火消,皂矾
蓖麻子
油,油,黄丹,商陆根,白蜡
没药,乳香,白蜡,密陀僧,铅粉
冰片,乳香,白蜡,樟脑,轻粉
冰片,轻粉,樟脑,石膏,红粉
冰片,炉甘石,硇砂,熊胆,麝香
可铁刺,阿飞勇,李子树胶,白锡粉
紫苏,木瓜,香附,羌活,大腹皮
