红花,三七,葛根,山楂,川芎
红花,三七,葛根,山楂,川芎
丹参,桃仁,红花,陈皮,赤芍,茯苓,白芍
红花,羌活,刘寄奴,姜黄,芥子,路通,白芷
虎杖,莪术,茜草,茯苓,赤芍,郁金,当归
地龙,全蝎,细辛,荆芥,防风,川芎
没药,白芷,乳香,紫荆皮,甘草
桃仁,石苇,牡丹,虫,瞿麦,蜣螂,蜂窠
没药,自然铜,乳香,土鳖
三七,黑豆,川续断,杜仲,鸡血藤膏,血琥珀,沉香
桃仁,薤白,红花,当归尾,牛膝,柴胡,栝楼
没药,三七,乳香,樟脑,冰片,东丹,香油
没药,知母,乳香,全蜈蚣,天花粉,山甲,皂刺
丹参,芎藭,杜仲
桃仁,红花,泽兰,丹皮,元胡索,青皮,白芍药
三七,红花,赤芍,大黄,砂仁,生地,乳香
桃仁,干地黄,虻虫,水蛭,蛴螬,虫,干漆
没药,地龙,自然铜,肉桂,丹皮,木鳖子,丁香
丹参,泽兰,玄胡,赤芍,楂炭,黑豆,焦艾
丹参,桃仁,没药,泽兰叶,白芷,羌活,蔓荆子
红花,鸡血藤,炼蜜,当归,黄耆,胆草
桃仁,红花,赤芍,皂角刺,三棱,莪术,穿山甲
没药,玄胡,赤芍,丹皮,金银花,红藤,紫花地丁
桃仁,红藤,红花,炮姜,玄胡,赤芍,牛膝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,柴胡,大黄,穿山甲,甘草,当归
全虫,虫,川山甲,蜈蚣
桃仁,五灵脂,丹皮,红花,赤芍,玄胡,甘草
桃仁,丹皮,玄胡,红花,赤芍,灵脂,甘草
丹参,百合,郁金,柴胡,乌药,黄芩,川楝
桃仁,牡丹,茯苓,芍药,桂枝
桃仁,丹皮,芍药,茯苓,桂枝
桃仁,玄胡,泽兰,归尾,红花,牛膝
丹参,桃仁,赤芍,三棱,莪术
丹参,桃仁,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
肉桂,黑豆,甘草,蒲黄,当归,熟干地黄,干姜
没药,元胡,银花,红藤,丹皮,紫花地丁,甘草
红花,75,酒精
丹参,丁香,参三七,藿香,荆芥,豆豉,石菖蒲
肉桂,紫苏,独活,防风,白芷,陈皮,赤芍
红花,紫苏,菖蒲,莪术,赤芍,乳香,三棱
伸筋草,松节,归尾,赤芍,路路通,羌,落得打
没药,黄丹,乳香,红粉,香油,冰片,轻粉
桃仁,赤芍,红花,当归尾,白蒺藜,荆芥,甘草
桃仁,玄胡,赤芍,归尾,陈皮,黄芩,川芎
蝙蝠,补骨脂,当归,大黄,骨碎补,桂
丹参,泽兰,金钱草,泽泻,大腹皮,黄芪,车前子
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,赤芍,丹皮,木香,防风,酒归尾
刘寄奴,酒生地,血竭,苏木,赤芍,当归,川芎
红花,珍珠,蟾酥,熊胆,附子,人参,牛黄
没药,炮姜,当归,肉桂,乳香,党参,熟地
桃仁,五灵脂,没药,青皮,玄胡,红花,红花
丹参,红花,虫,水蛭,虻虫,血通,当归
