牛黄,冰片,大黄,黄芩,雄黄,石膏,桔梗
牛黄,辰砂,黄芩,郁金,山栀仁,黄连
朱砂,牛黄,冰片,僵蚕,胆南星,甘草,天麻
黄酒,牛蒡根,蝉蜕
绿豆粉,乳香
连翘,薄荷,当归,黄芩,芍药,甘草,槟榔
白酒,炒杏仁,鲜仙人掌,羌活
黄芩,川大黄,乳香,黄柏,地龙,黄连
朱砂,珍珠,牛黄,黄芩,水牛角浓缩粉,冰片,麝香
朱砂,珍珠,牛黄,黄芩,水牛角浓缩粉,冰片,麝香
朱砂,犀角,麝香,雄黄,黄芩,牛黄,山栀
板蓝根,大青叶,夏枯草,败酱草,苡仁,赤芍,牡蛎粉
金银花,连翘,白鲜皮,丹皮,木通,甘草,山栀子
软石膏,冰片,辰砂,胡黄连
朱砂,没药,雄黄,寒水石,麝香,蟾酥,乳香
地丁草,松节油,苍术,独活,大黄,天花粉,川乌
板蓝根,射干,白花蛇舌草,连翘,荆芥,柴胡,浙贝
连翘,牛蒡子,升麻,石膏,黄芩,天花粉,干葛
三颗针,法半夏,黄芩,紫地丁,大黄,白芍,夏枯草
西瓜霜,飞青黛,濂珠,西月石,老式大泥冰,西牛黄
山豆根,冰片,硼砂,青黛,芒消,明矾牛黄
墨旱莲,矮茶风,侧耳根,破故纸,五味子,女贞子
连翘,辛夷,荆芥,麻黄,细辛,甘草,黄柏
薄荷,牛角,辛荑,蔓荆子,芥穗,黄芩,龙胆草
大青叶,贯众,川大黄,降香,香白芷,珠兰茶,明雄黄
牛蒡子,连翘,紫草茸,升麻,木通,荆芥,陈枳壳
金银花,连翘,牛蒡子,薄荷,绿豆衣,鲜竹叶,生地
青黛,消石,石膏,寒水石,马牙消,朴消,甘草
鲜马齿苋,白蜜
板蓝根,牛蒡子,金银花,连翘,黄芩,生石膏,木通
板蓝根,金银花,山豆根,连翘,玄参,紫花地丁,麦冬
白花蛇舌草,三颗针,白头翁,臭牡丹,苦参,白英,七叶一枝花
半枝莲,蛇莓,白英,猕猴桃根,龙葵
板蓝根,白鲜皮,山豆根,忍冬藤,甘草,威灵仙,土茯苓
白头翁,秦皮,黄柏,黄连
玄参,枇杷叶,地龙,生地,古文钱,白盐梅,乌嘴白雄鸭
大黄,槟榔,芍药,枳实,厚朴
板蓝根,菠萝香精油,淀粉,糖粉
白糖,夏枯草,板槛根
蟾酥,射干,山栀,白及,没药,冰片,花粉
射干,一点红,九里明,甘草
冰片,白矾,麝香,玄明粉,黄柏,甘草,鹿角霜
朱砂,冰片,玄明粉,硼砂
朱砂,冰片,玄明粉,硼砂
滑石,琥珀,益母草,冬葵子,芦根,八角金盘,赤小豆
金银花,玄参,贝母,柴胡,大黄,当归尾,黄柏
金银花,土牛膝,山豆根,牛蒡子,射干,玄参,丹皮
紫草茸,人中黄,当归,连翘,黄芩,红花,川连
皂刺,天花粉,没药,乳香,全蜈蚣,山甲,知母
滑石粉,芒硝,胆南星,牵牛子,大黄,关木通,槟榔
白酒,乌芋,地龙
生地榆粉,麻油50毫升,大黄粉
蒲公英,金银花,连翘,甘草,半枝莲,黑山栀,地丁
连翘,山豆根,牛蒡子,苦参,栀子仁,人中黄,黄芩
黄柏,白及,大黄
板蓝根,玄参,山豆根,乌梅,甘草,白蔹,白薇
金银花,苍术,白术,茯苓皮,川牛膝,薏苡仁
朱砂,珍珠,檀香,麝香,牛黄,降香,丁香
刺猬皮,马钱子,胡连,蜂房,苦参,槐花,苍术
连翘,滑石,麻黄,当归,大黄,芒硝,薄荷
牛蒡子,连翘,酒柏,玄参,升麻,人参,甘草
芙蓉叶,泽兰叶,黄芩,冰片,大黄,黄柏,黄连
金银花,连翘,化橘红,杏仁,川贝母,代赭石,旋覆花
金银花,虎杖,半枝莲,黄芩,桔梗,鱼腥草
牛蒡子,麻黄,生石膏,化橘红,川贝母,炒杏仁,甘草
蒲公英,当归,金银花,连翘,紫花地丁,黄耆,野菊花
板蓝根,金银花,黄芩,连翘,鱼腥草
蒲公英,白矾,马齿苋,如意草
大青叶,马齿苋,生苡仁,蜂房
大青叶,蒲公英,黄芩,丹皮,甘草,赤芍
金银花,连翘,枳壳,丹皮,没药,红藤,紫花地丁
金银花,红藤,三颗针,薏仁,丹皮,大黄,芒硝
板蓝根,连翘,苡仁,香附,木贼
蒲公英,川楝子,黄芩,生大黄,延胡索,枳壳,柴胡
辣蓼,地锦草,车前草
马齿苋,铁苋菜,地榆,仙鹤草
金银花,当归,牛膝,人参,黄耆,金钗石斛
板蓝根,当归,玄参,枳壳,败酱草,柴胡,赤芍
金银花,当归,白芷,没药,青皮,瓜蒌,乳香
萝卜,橄榄
西瓜霜,山豆根,射干,硼砂,冰片,薄荷脑,黄芩
金银花,牛蒡子,皂刺,栝楼仁,连翘,黄芩,花粉
牛蒡子,甘草金银花,生姜,栝楼
双花,连翘,苦参,黄柏,川椒,冬青叶,大葱
大青叶,板蓝根,拳参,连翘
土牛膝,金钱风,毛冬青,岗梅,山芝麻
滑石粉,冰片,雄黄,甘草粉,朱砂面
黑乌蛇,雄黄,大黄,白花蛇
连翘,玄参,白僵蚕,黄芩,丹皮,土贝母,黄连
金银花,牛蒡子,当归,黄芩,大黄,升麻,防风
西瓜霜,硫酸黄连素,硝苯汞,月石,蒸馏水
五倍子,黄连
金银花,连翘,甘草节,升麻,黄芩,川芎,柴胡
姜黄,天花粉,玄参,连翘,薄荷,黄芩,大黄
朱砂,雄黄,白鲜皮,白附子,白芷,明矾,枯矾
板蓝根,虎杖,丹皮,赤芍,甘草,蝉蜕
虎杖,冰片,红药子,麻油
板蓝根,蒲公英,虎杖,陈皮,茵陈
苏枋,朱砂,蓝叶,枳壳,羚羊角屑,川朴消,桑根白皮
金银花,丹皮,连翘,没药,紫花地丁,红藤,大黄
滑石,琥珀,青黛,甘草
冰片面,獾油
板蓝根,金银花,当归,夏枯草,玄参,何首乌,生地
蒲公英,玄参,当归,丹参,川芎,金银花藤,灵仙
姜黄,天花粉,赤芍药,白芷
薄荷叶,实黄芩,杭川芎,京赤芍,陈枳壳,尖槟榔,粉滑石
金银花,滑石,当归,升麻,槐花,黄芩,槐角
黄酒,山慈菇,核桃肉
金银花,当归,白鲜皮,木通,白芷,皂角刺,木瓜
蒲公英,金银花,当归,大黄,丹皮,京赤芍,败酱草
化毒散,祛湿药膏
连翘,牛蒡子,玄参,石膏,竹叶,升麻,人中黄
川黄连,生石膏,肥知母,青连翘,凌霄花,干生地,甘草
玄参,双花,甘草,鸡血藤,乳香,土茯苓
蒲公英,红藤,厚朴,生大黄
谷精草,黄精,急性子,菟丝子,炙甘草,金果榄,密蒙花
金银花
金银花
金银花,牛蒡子,连翘,玄参,天花粉,石决明,黄芩
当归,大黄,雄黄,广木香,川牛膝,海金沙
连翘,水蛭,黄芩,生石膏,延胡索,丹皮,大黄
珍珠,人参三七,嫩滑石,真琥珀,甘草
金银花,柴胡,秦皮,车前子,防风,赤芍,归尾
大青叶,蒲公英,紫花地丁,花粉,赤芍,蚤休,野菊花
连翘,冰片,黄芩,薄荷脑,松香,白芷,南星
连翘,当归,红花,枳壳,赤芍,柴胡,生地
蒲公英,金银花,丹参,当归,玄参,红花,紫花地丁
金银花,连翘,枳壳,天花粉,防风,荆芥,牡丹皮
金银花,没药,夏枯草,玄参,血竭,玄胡,鸡血藤
蒲公英,当归,山豆根,连翘,大黄,升麻,丹皮
板蓝根,连翘,僵蚕,薄荷,黄芩,川楝子,柴胡
蒲公英,金银花,黄芩,连翘,薄荷,天花粉,赤芍
金银花,连翘,天花粉,白芷,赤芍,甘草,薏苡仁
蒲公英,金银花,没药,连翘,黄芪,黄柏,地丁
绿豆,连翘,黄芩,山慈菇,辰砂,天花粉,甘草
牛蒡子,生地黄,犀角,紫草茸,茜根,远志,木通
蒲公英,金银花,连翘,赤小豆,甘草节,丹皮,败酱草
蒲公英,双花,紫丹参,耳环石斛,南北沙参,佛手参,西洋参
板蓝根,贯众,青黛,甘草
蒲公英,虎杖,黄芩,平地木,败酱草,鸭跖草,小蓟
金银花,白头翁,仙鹤草,秦皮,大黄,乌梅,山楂
犀角,升麻,白芍,当归,麦冬,甘菊花,黄芩
牛蒡子,连翘,玄参,黄芩,升麻,人参,荆芥
金银花,连翘,黄芩,芍药,山栀,牡丹皮,甘草
甘草,桔梗
板蓝根,射干,金银花,连翘,淡竹叶,天花粉,京赤芍
牛黄,雄黄,炉甘石,冰片,麝香,火消,黄丹
朱砂,牛黄,水牛角浓缩粉,琥珀,冰片,玳瑁,麝香
牛黄,赤石脂,没药,熊胆,孩儿茶,冰片,黄柏
薄荷叶,升麻,鸡内金,栀子,黄连
粳米,君达莱
川黄连,白鲜皮,黄柏,白僵蚕,生草,乳香,槐枝
大青叶,板蓝根,金银花,射干,牛蒡子,山豆根,连翘
蒲公英,玄参,马勃,薄荷,生地,苦桔梗,蜂房
蒲公英,金银花,连翘,青陈皮,白芷,炒皂刺,炒山甲
蒲公英,金银花,连翘,青陈皮,白芷,炒皂刺,炒山甲
金银花,茜草根,当归,白茅根,白藓皮,蝉衣,赤芍
金银花,白鲜皮,茜草根,当归,蝉衣,白芍,赤芍
牛蒡子,玄参,射干,桔梗,防风,甘草
蒲公英,金银花,连翘,天花粉,黄芩,炒皂刺,炒山甲
大青叶,金银花,黄芩,六一散,连翘,木通,丹皮
茜草根,山慈菇,川连,荆芥炭,侧柏叶,丹皮,丹参
板蓝根,炮山甲,夏枯草,熟地,白术,红花,白芍
射干,硼砂,山豆根,青黛,芒硝,砂,雄黄
金银花,绿豆衣,僵蚕,明矾,陈皮,蝉蜕,甘草
连翘,滑石,当归,黄芩,北柴胡,荆芥,木通
滑石,白蔻,石菖蒲,藿香,枳壳,木通,薄荷
连翘,黄芩,玄参,麦冬,生地
板蓝根,虎杖,贯众,丹皮,紫草,赤芍,鱼腥草
金银花,绵马贯众,赤芍
牛黄,熊胆,胡黄连,冰片,麝香,儿茶,京墨
芙蓉叶,川贝母,辰砂,真西黄,真熊胆,胡黄连,文蛤
金银花,玄参,天冬,麦冬,甘草
板蓝根,白花蛇舌草,马齿苋,夏枯草,生苡仁,红花,紫草
蒲公英,白花蛇舌草,金银花,连翘,大黄,败酱草,木香
蒲公英,金银花,丹皮,大黄,川楝子,甘草,赤芍
金银花,延胡索,川楝子,大黄,牡丹皮,木香,桃仁
蒲公英,大青叶,金银花,滑石粉,黄芩,红藤,败酱草
三颗针,红藤,川楝子,大黄,丹皮,芒消
地丁草,川楝子,红藤
蒲公英,金银花,夏枯草,连翘,红藤,贝母
金银花,连翘,麻黄,当归,花粉,苦参,大黄
金银花,连翘,荆芥,独活,枳壳,薄荷叶,前胡
金银花,连翘,麻黄,当归,天花粉,大黄,苦参
连翘,天花粉,射干,当归,玄参,黄芩,红花
金银花,连翘,川大黄,山栀子,独活,牡蛎,黄耆
粳米,绿豆,白菜心
北粳米,绿豆
绿豆,白菜心
白糖,绿豆
金银花,白花蛇舌草,败酱草,黄柏,车前子,仙鹤草,赤芍
金银花,当归,夏枯草,川芎,白芷
穿心莲粉,猪胆汁粉,枯矾
大青叶,牛蒡子,连翘,黄芩,玄参,升麻,漏芦
金银花,竹叶,淮山,车前子,黄柏,萆解,茵陈
大青叶,连翘,黄芩,丹皮,生石膏,赤芍,淡竹叶
大黄,雄黄,黄柏,黄芩,栀子,甘草,黄连
川楝子,枳实,柴胡,泽兰,山栀,香附,郁金
板蓝根,白花蛇舌草,苦参,僵蚕,丹皮,白藓皮,赤芍
板蓝根,金银花,芦根,黄芩,玄参,连翘,竹叶
雄黄,犀牛黄,蟾酥,冰片,珍珠粉,麝香
雄黄,犀牛黄,蟾酥,冰片,珍珠粉,麝香
大青叶,马齿苋,煅龙牡,黄连,紫草,败酱草,酸枣仁
马齿苋,绿豆
马齿苋
牛黄,珍珠,冰片,炉甘石,硼砂,麝香
鲜茅根,大米
朱砂,珍珠,没药,牛黄,冰片,雄黄,蟾酥
蒲公英,粳米
蒲公英
蒲公英,黄芩,四季青,野菊花
金银花,连翘,竹叶,丹皮,生石膏,甘草,赤芍
